repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Atlantic18/DoctrineExtensions.git,v2.1.0,30890,8340,1219,2.81%,5.8276947285602,0,1018,464,2447,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.1.1,30978,8358,1223,2.80%,5.8136256851997,0,1018,464,2451,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.2.0,34167,9088,1286,2.88%,5.6264891380519,0,1018,464,2652,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.2.1,34168,9088,1286,2.88%,5.6264891380519,0,1018,464,2652,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.2.2,34370,9150,1292,2.86%,5.5881133379406,0,1018,464,2665,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.2.3,34370,9150,1294,2.86%,5.5881133379406,0,1018,464,2665,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.0,36196,9594,1337,3.05%,5.6075866579464,0,1018,464,2831,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.1,43670,11421,1679,2.53%,5.3251366120219,0,1018,464,3647,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.2,45232,11798,1730,2.77%,5.3465398837824,0,1018,464,3710,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.3,51355,13383,1882,3.63%,5.2294489611563,0,1018,464,4047,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.4,52173,13569,1909,3.55%,5.2393617021277,0,1018,464,4108,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.5,54879,14299,1998,3.75%,5.0849564857024,0,1018,464,4282,2
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.6,54713,13707,2037,3.76%,5.0716919295371,0,1018,464,4307,2
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.7,55973,13861,2101,3.34%,5.1144457783113,0,1018,464,4407,2
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.8,58214,14436,2140,3.51%,5.0781547845978,0,1018,464,4499,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.9,60766,15140,2221,4.10%,4.9696860339228,0,1018,464,4616,1
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.10,60487,15384,2172,4.16%,4.9290068124776,0,1018,464,4583,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.11,60520,15398,2174,4.15%,4.9279828018631,0,1018,464,4605,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.3.12,61899,15796,2226,4.03%,4.8796102992345,0,1018,464,4684,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.0,61929,15847,2226,4.05%,4.8776077885953,0,1018,464,4688,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.1,61942,15847,2229,4.05%,4.8786509040334,0,1018,464,4689,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.2,62615,15979,2248,4.01%,4.8960413080895,0,1018,464,4740,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.3,62777,16004,2277,4.00%,4.9039917412251,0,1018,464,4765,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.4,63689,16272,2294,4.23%,4.8953960731212,0,1018,464,4815,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.5,64039,16370,2303,4.20%,4.8918827888178,0,1018,464,4823,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.6,64100,16384,2310,4.20%,4.8913189771198,0,1018,464,4823,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.7,64251,16409,2318,4.19%,4.8883299798793,0,1018,464,4829,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.8,64692,16524,2325,4.08%,4.8818635607321,0,1018,464,4857,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.9,64806,16540,2332,4.07%,4.8969414893617,0,1018,464,4866,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.10,64857,16568,2282,4.05%,4.9159747592162,0,1018,464,4799,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.11,65269,16655,2296,4.09%,4.919801980198,0,1018,464,4818,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.12,65276,16656,2297,4.09%,4.9201320132013,0,1018,464,4819,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.13,65276,16656,2297,4.09%,4.9201320132013,0,1018,464,4819,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.14,65506,16657,2314,4.08%,4.9285008237232,0,1018,464,4851,0
git@github.com:Atlantic18/DoctrineExtensions.git,v2.4.15,65506,16657,2314,4.08%,4.9285008237232,0,1018,464,4851,0
