repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:BookStackApp/BookStack.git,v0.5.0,9134,2399,166,0.00%,3.2201492537313,0,370,81,296,57
git@github.com:BookStackApp/BookStack.git,v0.6.0,9934,2620,189,0.00%,3.2624584717608,0,370,81,335,58
git@github.com:BookStackApp/BookStack.git,v0.6.1,9934,2620,189,0.00%,3.2624584717608,0,370,81,335,58
git@github.com:BookStackApp/BookStack.git,v0.6.2,9967,2620,193,0.00%,3.2814569536424,0,370,81,339,59
git@github.com:BookStackApp/BookStack.git,v0.6.3,10071,2633,193,0.00%,3.2508038585209,0,370,81,359,59
git@github.com:BookStackApp/BookStack.git,v0.7.0,11368,3121,242,0.00%,3.3832853025937,0,370,81,431,64
git@github.com:BookStackApp/BookStack.git,0.7.2,11371,3121,242,0.00%,3.3832853025937,0,370,81,432,64
git@github.com:BookStackApp/BookStack.git,v0.7.3,11420,3126,250,0.00%,3.3965517241379,0,370,81,457,65
git@github.com:BookStackApp/BookStack.git,v0.7.4,11429,3126,250,0.00%,3.3965517241379,0,370,81,457,65
git@github.com:BookStackApp/BookStack.git,v0.7.5,12094,3258,258,0.00%,3.377308707124,0,370,81,528,68
git@github.com:BookStackApp/BookStack.git,v0.7.6,14671,3596,330,0.00%,3.6324786324786,0,370,81,884,82
git@github.com:BookStackApp/BookStack.git,v0.8.0,15298,3755,355,0.00%,3.7612244897959,0,370,81,943,82
git@github.com:BookStackApp/BookStack.git,v0.8.1,15299,3755,356,0.00%,3.7612244897959,0,370,81,943,82
git@github.com:BookStackApp/BookStack.git,v0.8.2,15459,3767,368,0.45%,3.8209255533199,0,370,81,979,82
git@github.com:BookStackApp/BookStack.git,v0.9.0,15780,3839,383,0.44%,3.8245614035088,0,370,81,1009,82
git@github.com:BookStackApp/BookStack.git,v0.9.1,15780,3839,384,0.44%,3.8245614035088,0,370,81,1009,82
git@github.com:BookStackApp/BookStack.git,v0.9.2,15811,3840,386,0.44%,3.821359223301,0,370,81,1011,82
git@github.com:BookStackApp/BookStack.git,v0.9.3,15821,3841,387,0.44%,3.8252427184466,0,370,81,1011,82
git@github.com:BookStackApp/BookStack.git,v0.10.0,17263,4265,462,0.40%,3.9286956521739,0,370,81,1026,82
git@github.com:BookStackApp/BookStack.git,v0.11.0,17806,4344,493,0.39%,4.0152542372881,0,370,81,1064,86
git@github.com:BookStackApp/BookStack.git,v0.11.1,17885,4372,504,0.39%,4.0219966159052,0,370,81,1065,86
git@github.com:BookStackApp/BookStack.git,v0.11.2,17912,4373,507,0.39%,4.0253807106599,0,370,81,1065,86
git@github.com:BookStackApp/BookStack.git,v0.12.0,18171,4423,529,0.38%,4.0552763819095,0,370,81,1066,87
git@github.com:BookStackApp/BookStack.git,v0.12.1,18171,4423,529,0.38%,4.0552763819095,0,370,81,1066,87
git@github.com:BookStackApp/BookStack.git,v0.12.2,18281,4437,535,0.38%,4.0498338870432,0,370,81,1072,87
git@github.com:BookStackApp/BookStack.git,v0.13.0,20372,4913,583,0.34%,4.0734632683658,0,370,81,1137,87
git@github.com:BookStackApp/BookStack.git,v0.13.1,20370,4913,583,0.34%,4.0734632683658,0,370,81,1137,87
git@github.com:BookStackApp/BookStack.git,v0.14.0,22535,5229,603,0.31%,4.138036809816,0,370,81,1213,94
git@github.com:BookStackApp/BookStack.git,v0.14.1,22536,5229,605,0.31%,4.138036809816,0,370,81,1213,94
git@github.com:BookStackApp/BookStack.git,v0.14.2,22536,5229,608,0.31%,4.138036809816,0,370,81,1213,94
git@github.com:BookStackApp/BookStack.git,v0.14.3,22557,5233,609,0.31%,4.1408882082695,0,370,81,1213,94
git@github.com:BookStackApp/BookStack.git,v0.15.0,23879,5420,624,0.29%,4.2281976744186,0,370,81,1232,96
git@github.com:BookStackApp/BookStack.git,v0.15.1,23879,5420,624,0.29%,4.2281976744186,0,370,81,1232,96
git@github.com:BookStackApp/BookStack.git,v0.15.2,25418,5723,629,2.07%,4.2272069464544,0,370,81,1234,96
git@github.com:BookStackApp/BookStack.git,v0.15.3,25445,5723,629,2.07%,4.2456647398844,0,370,81,1241,96
git@github.com:BookStackApp/BookStack.git,v0.16.0,26940,5995,645,0.65%,4.3194444444444,0,370,81,1237,96
git@github.com:BookStackApp/BookStack.git,v0.16.1,27046,6025,651,0.65%,4.3066298342541,0,370,81,1237,96
git@github.com:BookStackApp/BookStack.git,v0.16.2,27046,6025,652,0.65%,4.3066298342541,0,370,81,1237,96
git@github.com:BookStackApp/BookStack.git,v0.16.3,27046,6025,652,0.65%,4.3066298342541,0,370,81,1237,96
git@github.com:BookStackApp/BookStack.git,v0.17.0,27977,6196,655,0.63%,4.320987654321,0,370,81,1242,96
git@github.com:BookStackApp/BookStack.git,v0.17.1,27980,6196,656,0.63%,4.323731138546,0,370,81,1242,96
git@github.com:BookStackApp/BookStack.git,v0.17.2,28031,6224,656,0.63%,4.301912568306,0,370,81,1242,96
git@github.com:BookStackApp/BookStack.git,v0.17.3,28035,6224,657,0.63%,4.3073770491803,0,370,81,1245,96
git@github.com:BookStackApp/BookStack.git,v0.17.4,28838,6377,657,0.61%,4.3151432469304,0,370,81,1249,96
git@github.com:BookStackApp/BookStack.git,v0.18.0,30750,6687,668,0.57%,4.3446920052425,0,370,81,1283,103
git@github.com:BookStackApp/BookStack.git,v0.18.1,32388,7000,668,1.29%,4.3551769331586,0,370,81,1283,103
git@github.com:BookStackApp/BookStack.git,v0.18.2,32487,7013,668,1.29%,4.3529411764706,0,370,81,1284,103
git@github.com:BookStackApp/BookStack.git,v0.18.3,32506,7015,671,1.29%,4.3660130718954,0,370,81,1290,103
git@github.com:BookStackApp/BookStack.git,v0.18.4,32539,7017,672,1.29%,4.3825065274151,0,370,81,1291,103
git@github.com:BookStackApp/BookStack.git,v0.18.5,32539,7017,672,1.29%,4.3825065274151,0,370,81,1291,103
git@github.com:BookStackApp/BookStack.git,v0.19.0,33088,7102,688,1.36%,4.3602564102564,0,370,81,1318,105
git@github.com:BookStackApp/BookStack.git,v0.20.0,35822,7595,705,1.26%,4.4185185185185,0,370,81,1372,105
git@github.com:BookStackApp/BookStack.git,v0.20.1,36108,7653,719,0.96%,4.4332925336597,0,370,81,1376,105
git@github.com:BookStackApp/BookStack.git,v0.20.2,36108,7653,719,0.96%,4.4332925336597,0,370,81,1376,105
git@github.com:BookStackApp/BookStack.git,v0.20.3,36108,7653,719,0.96%,4.4332925336597,0,370,81,1376,105
git@github.com:BookStackApp/BookStack.git,v0.21.0,37392,7878,730,0.67%,4.5006045949214,0,370,81,1389,109
git@github.com:BookStackApp/BookStack.git,v0.22.0,37660,7931,741,0.66%,4.5475330926594,0,370,81,1393,114
git@github.com:BookStackApp/BookStack.git,v0.23.0,38250,8020,759,0.75%,4.596449704142,0,370,81,1456,115
git@github.com:BookStackApp/BookStack.git,v0.23.1,38312,8042,760,0.75%,4.590318772137,0,370,81,1455,115
git@github.com:BookStackApp/BookStack.git,v0.23.2,38313,8043,760,0.75%,4.590318772137,0,370,81,1455,115
git@github.com:BookStackApp/BookStack.git,v0.24.0,41532,8599,792,0.77%,4.6954148471616,0,370,81,1631,130
git@github.com:BookStackApp/BookStack.git,v0.24.1,41560,8607,795,0.77%,4.6954148471616,0,370,81,1633,130
git@github.com:BookStackApp/BookStack.git,v0.24.2,42908,8891,800,0.75%,4.6508620689655,0,370,81,1636,130
git@github.com:BookStackApp/BookStack.git,v0.24.3,42963,8896,800,0.75%,4.6508620689655,0,370,81,1636,130
