repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:CachetHQ/Cachet.git,v1.0.0,21061,5486,206,0.97%,2.9507575757576,0,1058,185,208,56
git@github.com:CachetHQ/Cachet.git,v1.1.0,21728,5647,199,0.94%,2.7992700729927,0,1058,185,185,59
git@github.com:CachetHQ/Cachet.git,v1.1.1,21776,5659,198,0.94%,2.7985347985348,0,1058,185,185,59
git@github.com:CachetHQ/Cachet.git,v1.2.0,21809,5676,200,0.94%,2.8095238095238,0,1058,185,186,59
git@github.com:CachetHQ/Cachet.git,v1.2.1,21842,5687,203,0.93%,2.8036363636364,0,1058,185,188,59
git@github.com:CachetHQ/Cachet.git,v2.0.0,31761,9133,253,0.34%,2.6092184368737,0,1058,185,447,70
git@github.com:CachetHQ/Cachet.git,v2.0.1,31749,9133,253,0.34%,2.6092184368737,0,1058,185,447,70
git@github.com:CachetHQ/Cachet.git,v2.0.2,31749,9133,253,0.34%,2.6092184368737,0,1058,185,447,70
git@github.com:CachetHQ/Cachet.git,v2.0.3,31750,9133,253,0.34%,2.6092184368737,0,1058,185,447,70
git@github.com:CachetHQ/Cachet.git,v2.0.4,31761,9140,253,0.34%,2.604,0,1058,185,449,70
git@github.com:CachetHQ/Cachet.git,v2.1.0,48509,11921,282,15.97%,2.6018348623853,0,1058,185,478,73
git@github.com:CachetHQ/Cachet.git,v2.1.1,48524,11921,283,15.97%,2.6110091743119,0,1058,185,478,73
git@github.com:CachetHQ/Cachet.git,v2.1.2,48493,11921,283,14.15%,2.6110091743119,0,1058,185,478,73
git@github.com:CachetHQ/Cachet.git,v2.2.0,49843,12092,305,13.74%,2.6678635547576,0,1058,185,490,76
git@github.com:CachetHQ/Cachet.git,v2.2.1,50123,12147,307,12.45%,2.6696428571429,0,1058,185,494,76
git@github.com:CachetHQ/Cachet.git,v2.2.2,50148,12154,309,12.45%,2.6737967914439,0,1058,185,497,76
git@github.com:CachetHQ/Cachet.git,v2.2.3,50148,12154,309,12.45%,2.6737967914439,0,1058,185,497,76
git@github.com:CachetHQ/Cachet.git,v2.2.4,50148,12154,309,12.45%,2.6737967914439,0,1058,185,497,76
git@github.com:CachetHQ/Cachet.git,v2.3.0,52956,12934,351,11.47%,2.6818181818182,0,1058,185,574,79
git@github.com:CachetHQ/Cachet.git,v2.3.1,52956,12934,351,11.47%,2.6818181818182,0,1058,185,574,79
git@github.com:CachetHQ/Cachet.git,v2.3.2,53032,12984,351,10.91%,2.6812080536913,0,1058,185,574,79
git@github.com:CachetHQ/Cachet.git,v2.3.3,53065,12983,352,10.91%,2.6845637583893,0,1058,185,577,79
git@github.com:CachetHQ/Cachet.git,v2.3.4,53071,12983,354,10.91%,2.6672268907563,0,1058,185,579,79
git@github.com:CachetHQ/Cachet.git,v2.3.5,53071,12983,354,10.91%,2.6672268907563,0,1058,185,579,79
git@github.com:CachetHQ/Cachet.git,v2.3.6,53071,12983,354,10.91%,2.6672268907563,0,1058,185,579,79
git@github.com:CachetHQ/Cachet.git,v2.3.7,53110,12996,352,10.90%,2.6644295302013,0,1058,185,579,79
git@github.com:CachetHQ/Cachet.git,v2.3.8,53126,12997,353,10.86%,2.6711409395973,0,1058,185,579,79
git@github.com:CachetHQ/Cachet.git,v2.3.9,53125,12997,353,10.86%,2.6711409395973,0,1058,185,579,79
git@github.com:CachetHQ/Cachet.git,v2.3.10,53162,13011,353,10.86%,2.661101836394,0,1058,185,581,79
git@github.com:CachetHQ/Cachet.git,v2.3.11,53164,13011,352,10.86%,2.6538461538462,0,1058,185,581,79
git@github.com:CachetHQ/Cachet.git,v2.3.12,53351,13105,352,10.82%,2.6567164179104,0,1058,185,582,79
git@github.com:CachetHQ/Cachet.git,v2.3.13,53351,13105,352,10.82%,2.6567164179104,0,1058,185,582,79
git@github.com:CachetHQ/Cachet.git,v2.3.14,53300,13115,352,10.75%,2.6694214876033,0,1058,185,582,79
git@github.com:CachetHQ/Cachet.git,v2.3.15,53309,13115,354,10.75%,2.6727272727273,0,1058,185,584,79
