repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Codeception/Codeception.git,1.0.1,15460,5478,1158,0.00%,3.6609442060086,0,1206,703,679,0
git@github.com:Codeception/Codeception.git,v1.0.1,15460,5478,1158,0.00%,3.6609442060086,0,1206,703,679,0
git@github.com:Codeception/Codeception.git,1.0.9,21521,6704,1445,0.74%,3.6354359925788,0,1206,703,1150,10
git@github.com:Codeception/Codeception.git,1.0.10,21998,6855,1460,0.72%,3.6564472497746,0,1206,703,1183,10
git@github.com:Codeception/Codeception.git,1.0.11,22596,7061,1500,0.70%,3.6599297012302,0,1206,703,1240,10
git@github.com:Codeception/Codeception.git,1.0.12,22610,7067,1503,0.70%,3.6602282704126,0,1206,703,1243,10
git@github.com:Codeception/Codeception.git,1.0.13,22816,7184,1499,0.70%,3.621645021645,0,1206,703,1245,10
git@github.com:Codeception/Codeception.git,1.0.14,22980,7238,1513,0.70%,3.6294067067928,0,1206,703,1254,10
git@github.com:Codeception/Codeception.git,1.1.0,66085,20073,3106,0.90%,3.8790891597178,0,1206,703,4240,27
git@github.com:Codeception/Codeception.git,1.1.2,14600,3560,877,3.15%,3.8356481481481,0,1206,703,998,11
git@github.com:Codeception/Codeception.git,1.1.3,14771,3633,884,3.11%,3.8125714285714,0,1206,703,1012,11
git@github.com:Codeception/Codeception.git,1.1.4,15333,3776,915,3.00%,3.8170731707317,0,1206,703,1047,12
git@github.com:Codeception/Codeception.git,1.1.5,15570,3838,937,2.95%,3.8266085059978,0,1206,703,1072,11
git@github.com:Codeception/Codeception.git,1.5.0,20097,5770,1202,8.63%,3.7369814651368,0,1206,703,1255,11
git@github.com:Codeception/Codeception.git,1.5.1,22370,6918,1308,16.78%,3.7254901960784,0,1206,703,1270,11
git@github.com:Codeception/Codeception.git,1.5.2,22478,6943,1309,16.70%,3.6933656957929,0,1206,703,1272,11
git@github.com:Codeception/Codeception.git,1.5.3,20982,6177,1219,8.15%,3.69795221843,0,1206,703,0,0
git@github.com:Codeception/Codeception.git,1.5.4,21099,6194,1224,8.26%,3.6928270042194,0,1206,703,1287,11
git@github.com:Codeception/Codeception.git,1.5.5,21785,6790,1231,8.49%,3.7231543624161,0,1206,703,1293,11
git@github.com:Codeception/Codeception.git,1.5.6,22136,6837,1247,8.42%,3.7063166529943,0,1206,703,1302,12
git@github.com:Codeception/Codeception.git,1.5.7,22591,6958,1266,8.46%,3.7072394590294,0,1206,703,1334,12
git@github.com:Codeception/Codeception.git,1.6.0,22769,6949,1267,8.40%,3.7557494052339,0,1206,703,1367,12
git@github.com:Codeception/Codeception.git,1.6.1,24115,7586,1315,9.38%,3.7230538922156,0,1206,703,1401,12
git@github.com:Codeception/Codeception.git,1.6.2,24388,7658,1326,9.17%,3.7164948453608,0,1206,703,1414,12
git@github.com:Codeception/Codeception.git,1.6.3,27307,8490,1431,10.39%,3.7142857142857,0,1206,703,1538,13
