repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:ConsoleTVs/Charts.git,1.0.1,929,126,65,0.00%,2.6111111111111,0,253,46,38,0
git@github.com:ConsoleTVs/Charts.git,1.0.2,929,126,65,0.00%,2.6111111111111,0,253,46,38,0
git@github.com:ConsoleTVs/Charts.git,1.3.1,1988,127,150,9.91%,2.6666666666667,0,253,46,77,0
git@github.com:ConsoleTVs/Charts.git,1.3.2,1991,127,150,12.81%,2.6666666666667,0,253,46,77,0
git@github.com:ConsoleTVs/Charts.git,1.3.3,2014,137,151,12.66%,2.55,0,253,46,78,0
git@github.com:ConsoleTVs/Charts.git,1.4.1,2281,212,180,11.18%,4.6,0,253,46,93,0
git@github.com:ConsoleTVs/Charts.git,1.6.1,2839,212,322,15.53%,4.6,0,253,46,107,0
git@github.com:ConsoleTVs/Charts.git,1.6.2,2846,212,321,14.86%,4.6,0,253,46,107,0
git@github.com:ConsoleTVs/Charts.git,1.8.1,3949,279,454,20.59%,4.4722222222222,0,253,46,170,0
git@github.com:ConsoleTVs/Charts.git,1.8.2,3949,279,454,20.59%,4.4722222222222,0,253,46,170,0
git@github.com:ConsoleTVs/Charts.git,1.8.3,4218,284,466,20.96%,4.4324324324324,0,253,46,173,0
git@github.com:ConsoleTVs/Charts.git,1.8.4,4245,289,471,21.13%,4.5263157894737,0,253,46,178,0
git@github.com:ConsoleTVs/Charts.git,1.8.5,4257,291,474,21.07%,4.6315789473684,0,253,46,178,0
git@github.com:ConsoleTVs/Charts.git,2.0.1,6043,393,705,22.04%,4.28,0,253,46,368,0
git@github.com:ConsoleTVs/Charts.git,2.0.2,6043,393,705,22.04%,4.28,0,253,46,368,0
git@github.com:ConsoleTVs/Charts.git,3.0.1,5599,449,75,0.00%,4.4038461538462,0,253,46,65,111
git@github.com:ConsoleTVs/Charts.git,3.0.2,5599,449,75,0.00%,4.4038461538462,0,253,46,65,111
git@github.com:ConsoleTVs/Charts.git,3.0.3,5651,456,83,0.00%,4.7169811320755,0,253,46,68,111
git@github.com:ConsoleTVs/Charts.git,3.0.4,5659,456,83,0.00%,4.7169811320755,0,253,46,68,111
git@github.com:ConsoleTVs/Charts.git,3.0.5,5660,457,84,0.00%,4.7169811320755,0,253,46,68,111
git@github.com:ConsoleTVs/Charts.git,3.0.6,5660,457,84,0.00%,4.7169811320755,0,253,46,68,111
git@github.com:ConsoleTVs/Charts.git,3.0.7,5698,463,90,0.00%,4.7777777777778,0,253,46,75,111
git@github.com:ConsoleTVs/Charts.git,3.0.8,5698,463,90,0.00%,4.7777777777778,0,253,46,75,111
git@github.com:ConsoleTVs/Charts.git,3.0.9,5771,468,90,0.00%,4.7272727272727,0,253,46,76,111
git@github.com:ConsoleTVs/Charts.git,3.0.10,5771,468,90,0.00%,4.7272727272727,0,253,46,76,111
git@github.com:ConsoleTVs/Charts.git,3.0.11,5776,468,90,0.00%,4.7272727272727,0,253,46,76,111
git@github.com:ConsoleTVs/Charts.git,3.0.12,5849,468,90,0.00%,4.7272727272727,0,253,46,76,112
git@github.com:ConsoleTVs/Charts.git,3.0.13,5849,468,90,0.00%,4.7272727272727,0,253,46,76,112
git@github.com:ConsoleTVs/Charts.git,4.0.1,6493,650,111,0.00%,4.4430379746835,0,253,46,108,117
git@github.com:ConsoleTVs/Charts.git,4.0.2,6497,650,111,0.00%,4.4810126582278,0,253,46,111,117
git@github.com:ConsoleTVs/Charts.git,4.0.3,6497,650,112,0.00%,4.4810126582278,0,253,46,111,117
git@github.com:ConsoleTVs/Charts.git,4.0.4,6497,650,112,0.00%,4.4810126582278,0,253,46,111,117
git@github.com:ConsoleTVs/Charts.git,4.0.5,6495,650,112,0.00%,4.4810126582278,0,253,46,111,117
git@github.com:ConsoleTVs/Charts.git,4.0.6,6505,650,114,0.00%,4.4810126582278,0,253,46,113,117
git@github.com:ConsoleTVs/Charts.git,4.0.7,6645,791,114,0.00%,4.4810126582278,0,253,46,113,117
git@github.com:ConsoleTVs/Charts.git,4.0.8,6645,791,114,0.00%,4.4810126582278,0,253,46,113,117
git@github.com:ConsoleTVs/Charts.git,4.2.1,6681,799,114,0.00%,4.4625,0,253,46,114,117
git@github.com:ConsoleTVs/Charts.git,4.4.1,6809,843,102,0.00%,4.2738095238095,0,253,46,109,117
git@github.com:ConsoleTVs/Charts.git,4.4.2,6813,843,104,0.00%,4.2738095238095,0,253,46,110,117
git@github.com:ConsoleTVs/Charts.git,4.4.3,6813,843,104,0.00%,4.2738095238095,0,253,46,110,117
git@github.com:ConsoleTVs/Charts.git,4.4.4,6813,843,104,0.00%,4.2738095238095,0,253,46,110,117
git@github.com:ConsoleTVs/Charts.git,4.4.5,6825,846,107,0.00%,4.3333333333333,0,253,46,111,117
git@github.com:ConsoleTVs/Charts.git,4.5.0,6833,846,107,0.00%,4.3333333333333,0,253,46,111,120
git@github.com:ConsoleTVs/Charts.git,4.5.1,6823,846,107,0.00%,4.3333333333333,0,253,46,111,120
git@github.com:ConsoleTVs/Charts.git,4.6.0,6947,924,108,0.00%,4.2840909090909,0,253,46,118,120
git@github.com:ConsoleTVs/Charts.git,5.0.0,7591,962,112,0.00%,4.2391304347826,0,253,46,122,129
git@github.com:ConsoleTVs/Charts.git,5.0.1,7652,962,112,0.00%,4.2391304347826,0,253,46,122,130
git@github.com:ConsoleTVs/Charts.git,5.0.2,7647,962,112,0.00%,4.2391304347826,0,253,46,122,130
git@github.com:ConsoleTVs/Charts.git,5.1.0,7646,963,112,0.00%,4.2282608695652,0,253,46,122,130
git@github.com:ConsoleTVs/Charts.git,5.1.1,7647,963,112,0.00%,4.2391304347826,0,253,46,122,130
