repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Crinsane/LaravelShoppingcart.git,1.2.1,1118,239,41,2.06%,3.9444444444444,0,842,24,212,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.0.0,1874,485,42,0.00%,4.3917525773196,0,842,24,58,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.0.1,1889,486,43,0.00%,4.3979591836735,0,842,24,58,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.0.2,1944,492,43,0.00%,4.4,0,842,24,59,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.1.0,2034,519,46,0.00%,4.4660194174757,0,842,24,61,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.1.1,2036,519,46,0.00%,4.4660194174757,0,842,24,61,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.1.2,2032,519,45,0.00%,4.4466019417476,0,842,24,61,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.2.0,2109,543,47,0.00%,4.4423076923077,0,842,24,70,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.2.1,2221,579,59,0.00%,4.5504587155963,0,842,24,71,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.2.2,2233,579,59,0.00%,4.5504587155963,0,842,24,71,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.2.3,2237,579,59,0.00%,4.5688073394495,0,842,24,71,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.2.4,2239,579,59,0.00%,4.5779816513761,0,842,24,71,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.3.0,2239,579,59,0.00%,4.5779816513761,0,842,24,71,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.4.0,2309,621,60,0.00%,4.0521739130435,0,842,24,67,0
git@github.com:Crinsane/LaravelShoppingcart.git,2.5.0,2309,621,60,0.00%,4.0521739130435,0,842,24,67,0
