repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,0.1.0,0,0,0,100.00%,0,0,1470,70,0,10
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.0.0,290,185,6,0.00%,1.5384615384615,0,1470,70,5,1
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.0.1,290,185,6,0.00%,1.5384615384615,0,1470,70,5,1
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.1.0,343,229,7,0.00%,1.6153846153846,0,1470,70,5,1
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.2.0,330,198,7,0.00%,1.6153846153846,0,1470,70,5,1
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.2.1,330,198,7,0.00%,1.6153846153846,0,1470,70,5,1
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.3.0,378,233,9,0.00%,1.4615384615385,0,1470,70,5,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.4.0,351,215,7,0.00%,1.7692307692308,0,1470,70,2,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.5.0,349,213,7,0.00%,1.7692307692308,0,1470,70,2,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.5.1,349,213,7,0.00%,1.7692307692308,0,1470,70,2,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.6.0,681,416,20,0.00%,2.3478260869565,0,1470,70,13,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.6.1,701,433,20,0.00%,2.304347826087,0,1470,70,13,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,2.6.2,762,478,23,0.00%,2.3478260869565,0,1470,70,14,0
git@github.com:DevinVinson/WordPress-Plugin-Boilerplate.git,3.0.0,819,547,4,0.00%,1.75,0,1470,70,1,0
