repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.0,635,83,41,0.00%,4.7096774193548,0,495,198,77,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.1,635,83,42,0.00%,4.7096774193548,0,495,198,77,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.2,643,85,45,0.00%,4.5,0,495,198,82,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.3,821,108,70,0.00%,4.7027027027027,0,495,198,91,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.4,1252,387,83,0.00%,5.35,0,495,198,107,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.5,1334,399,94,0.00%,5.6428571428571,0,495,198,110,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.6,1378,406,102,0.00%,5.5116279069767,0,495,198,165,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.7,1402,408,110,0.00%,5.6511627906977,0,495,198,167,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.0.8,1818,539,137,0.00%,5.1774193548387,0,495,198,179,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.1.0,2261,667,169,0.00%,5.0266666666667,0,495,198,91,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.2.0,2541,753,170,0.00%,4.6190476190476,0,495,198,282,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.2.1,2598,784,173,0.00%,4.6279069767442,0,495,198,280,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.3.0,2598,784,173,0.00%,4.6279069767442,0,495,198,280,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.4.0,2730,815,171,0.00%,4.5888888888889,0,495,198,286,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.5.0,5330,1693,217,0.00%,3.3770491803279,0,495,198,501,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.5.1,5320,1696,217,0.00%,3.330612244898,0,495,198,501,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.5.2,5320,1696,217,0.00%,3.330612244898,0,495,198,501,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.5.3,5887,1728,231,3.74%,3.2794612794613,0,495,198,630,0
git@github.com:EasyCorp/EasyAdminBundle.git,v1.5.4,5961,1745,231,3.69%,3.2358803986711,0,495,198,660,0
