repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Folkloreatelier/laravel-graphql.git,v0.1.0,211,54,7,0.00%,2.3333333333333,0,216,61,1,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.1.1,211,54,7,0.00%,2.3333333333333,0,216,61,1,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.2.0,557,111,26,0.00%,2.5185185185185,0,216,61,12,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.2.1,611,118,28,0.00%,2.551724137931,0,216,61,12,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.2.2,639,118,31,0.00%,2.6451612903226,0,216,61,13,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.2.3,665,122,34,0.00%,2.741935483871,0,216,61,14,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.2.4,671,122,37,0.00%,2.8064516129032,0,216,61,14,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.2.5,673,122,37,0.00%,2.8709677419355,0,216,61,14,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.3.0,802,136,43,0.00%,2.8108108108108,0,216,61,22,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.3.1,802,136,43,0.00%,2.8108108108108,0,216,61,22,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.3.2,813,136,44,0.00%,2.8648648648649,0,216,61,25,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.3.3,823,136,45,0.00%,2.8918918918919,0,216,61,26,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.0,823,136,45,0.00%,2.8918918918919,0,216,61,26,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.1,831,136,46,0.00%,2.9189189189189,0,216,61,26,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.2,831,136,46,0.00%,2.9189189189189,0,216,61,26,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.3,841,139,46,0.00%,2.9459459459459,0,216,61,27,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.4,842,139,46,0.00%,2.8611111111111,0,216,61,27,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.5,846,143,46,0.00%,2.8611111111111,0,216,61,27,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.6,846,143,47,0.00%,2.8611111111111,0,216,61,27,1
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.7,1159,183,47,0.00%,2.75,0,216,61,28,0
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.8,1159,183,47,0.00%,2.75,0,216,61,28,0
git@github.com:Folkloreatelier/laravel-graphql.git,v0.4.9,1159,183,47,0.00%,2.75,0,216,61,28,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.0,2984,584,76,0.00%,3.1069182389937,0,216,61,52,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.1,2990,584,76,0.00%,3.1194968553459,0,216,61,52,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.2,3019,588,76,0.00%,3.1375,0,216,61,53,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.3,3019,588,76,0.00%,3.1375,0,216,61,53,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.4,3045,598,76,0.00%,3.1296296296296,0,216,61,54,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.5,3253,617,78,0.00%,3.1506024096386,0,216,61,54,0
git@github.com:Folkloreatelier/laravel-graphql.git,v1.0.6,3292,619,83,0.00%,3.1746987951807,0,216,61,57,0
