repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:FriendsOfPHP/Goutte.git,v0.1.0,512,46,21,0.00%,5.4444444444444,0,857,74,30,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.0,513,46,21,0.00%,5.4814814814815,0,857,74,31,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.1,513,46,21,0.00%,5.4814814814815,0,857,74,31,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.2,547,46,23,0.00%,5.8148148148148,0,857,74,31,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.3,548,46,23,0.00%,5.8148148148148,0,857,74,31,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.4,492,38,21,0.00%,6.04,0,857,74,30,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.5,492,38,21,0.00%,6.04,0,857,74,30,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.6,484,38,21,0.00%,5.8846153846154,0,857,74,30,0
git@github.com:FriendsOfPHP/Goutte.git,v1.0.7,484,38,22,0.00%,5.8846153846154,0,857,74,30,0
git@github.com:FriendsOfPHP/Goutte.git,v2.0.0,448,37,16,0.00%,5.6923076923077,0,857,74,32,0
git@github.com:FriendsOfPHP/Goutte.git,v2.0.1,496,38,17,0.00%,5.9655172413793,0,857,74,37,0
git@github.com:FriendsOfPHP/Goutte.git,v2.0.2,496,38,18,0.00%,5.9655172413793,0,857,74,37,0
git@github.com:FriendsOfPHP/Goutte.git,v2.0.3,504,39,18,0.00%,6.1379310344828,0,857,74,37,0
git@github.com:FriendsOfPHP/Goutte.git,v2.0.4,503,39,18,0.00%,6.1379310344828,0,857,74,37,0
git@github.com:FriendsOfPHP/Goutte.git,v3.0.0,508,41,19,0.00%,5.9642857142857,0,857,74,23,0
git@github.com:FriendsOfPHP/Goutte.git,v3.1.0,580,41,22,0.00%,6.1612903225806,0,857,74,27,0
git@github.com:FriendsOfPHP/Goutte.git,v3.1.1,597,46,22,0.00%,6.1875,0,857,74,28,0
git@github.com:FriendsOfPHP/Goutte.git,v3.1.2,597,46,22,0.00%,6.1875,0,857,74,28,0
git@github.com:FriendsOfPHP/Goutte.git,v3.2.0,646,49,22,0.00%,6.1388888888889,0,857,74,29,0
git@github.com:FriendsOfPHP/Goutte.git,v3.2.1,646,49,22,0.00%,6.1388888888889,0,857,74,29,0
git@github.com:FriendsOfPHP/Goutte.git,v3.2.2,649,52,22,0.00%,6.1111111111111,0,857,74,29,0
git@github.com:FriendsOfPHP/Goutte.git,v3.2.3,711,60,29,0.00%,6.2564102564103,0,857,74,31,0
