repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:FriendsOfPHP/Sami.git,v1.4.1,5562,588,376,0.00%,2.7709923664122,0,267,62,307,0
git@github.com:FriendsOfPHP/Sami.git,v2.0.0,5563,588,376,0.00%,2.7709923664122,0,267,62,307,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.0,5763,599,387,0.00%,2.7688442211055,0,267,62,294,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.1,5767,599,395,0.00%,2.7713567839196,0,267,62,294,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.2,5769,599,395,0.00%,2.7713567839196,0,267,62,294,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.3,5770,599,395,0.00%,2.7738693467337,0,267,62,294,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.4,5770,599,395,0.00%,2.7738693467337,0,267,62,294,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.5,5939,628,403,0.00%,2.7647058823529,0,267,62,301,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.6,5939,628,403,0.00%,2.7647058823529,0,267,62,301,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.7,5939,628,403,0.00%,2.7647058823529,0,267,62,301,0
git@github.com:FriendsOfPHP/Sami.git,v3.0.8,5940,630,403,0.00%,2.7647058823529,0,267,62,301,0
git@github.com:FriendsOfPHP/Sami.git,v3.1.0,6034,635,414,0.51%,2.8058252427184,0,267,62,299,0
git@github.com:FriendsOfPHP/Sami.git,v3.2.0,6234,659,425,0.50%,2.8052256532067,0,267,62,306,0
git@github.com:FriendsOfPHP/Sami.git,v3.2.1,6240,659,427,0.50%,2.8076009501188,0,267,62,307,0
git@github.com:FriendsOfPHP/Sami.git,v3.2.2,6252,660,423,0.50%,2.7966903073286,0,267,62,309,0
git@github.com:FriendsOfPHP/Sami.git,v3.2.3,6252,660,424,0.50%,2.7966903073286,0,267,62,309,0
git@github.com:FriendsOfPHP/Sami.git,v3.3.0,6455,665,423,0.48%,2.8047058823529,0,267,62,306,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.0,6466,661,424,0.48%,2.7938388625592,0,267,62,307,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.1,6478,661,426,0.48%,2.8080568720379,0,267,62,311,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.2,6478,661,427,0.48%,2.8080568720379,0,267,62,311,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.3,6569,667,430,0.47%,2.8615023474178,0,267,62,313,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.4,6569,667,430,0.47%,2.8615023474178,0,267,62,313,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.5,6720,682,431,0.46%,2.92343387471,0,267,62,317,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.6,6782,682,433,0.46%,2.9607390300231,0,267,62,319,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.7,6787,683,434,0.46%,2.9630484988453,0,267,62,319,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.8,6789,683,436,0.46%,2.9653579676674,0,267,62,319,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.9,6794,683,436,0.46%,2.9608294930876,0,267,62,319,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.10,6849,693,436,0.45%,2.9862068965517,0,267,62,320,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.11,6861,693,427,0.45%,2.9862068965517,0,267,62,319,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.12,6876,693,427,0.45%,2.9816933638444,0,267,62,320,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.13,6965,693,437,0.45%,3.0205479452055,0,267,62,332,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.14,6971,693,438,0.44%,3.0251141552511,0,267,62,333,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.15,7086,718,448,0.44%,3.0610859728507,0,267,62,340,0
git@github.com:FriendsOfPHP/Sami.git,v4.0.16,7094,721,449,0.44%,3.0633484162896,0,267,62,340,0
git@github.com:FriendsOfPHP/Sami.git,v4.1.0,7219,728,456,0.43%,3.1275167785235,0,267,62,344,0
git@github.com:FriendsOfPHP/Sami.git,v4.1.1,7216,728,456,0.43%,3.1230425055928,0,267,62,344,0
git@github.com:FriendsOfPHP/Sami.git,v4.1.2,7216,728,456,0.43%,3.1230425055928,0,267,62,344,0
