repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:FrozenNode/Laravel-Administrator.git,v1.2.0,1812,322,155,0.00%,11.190476190476,0,540,79,76,5
git@github.com:FrozenNode/Laravel-Administrator.git,v2.0.0,2528,792,136,1.78%,4.8301886792453,0,540,79,120,5
git@github.com:FrozenNode/Laravel-Administrator.git,v2.1.0,3325,964,140,1.35%,3.6625,0,540,79,152,5
git@github.com:FrozenNode/Laravel-Administrator.git,v2.2.0,3960,1196,168,1.14%,3.5425531914894,0,540,79,171,5
git@github.com:FrozenNode/Laravel-Administrator.git,v2.3.0,4203,1290,188,0.95%,3.8484848484848,0,540,79,187,5
git@github.com:FrozenNode/Laravel-Administrator.git,v3.0.0,5693,1792,273,0.70%,4.8045112781955,0,540,79,259,7
git@github.com:FrozenNode/Laravel-Administrator.git,v3.1.0,6083,1909,280,0.66%,4.9389312977099,0,540,79,248,4
git@github.com:FrozenNode/Laravel-Administrator.git,v3.2.0,7748,2341,350,0.52%,5.3541666666667,0,540,79,296,2
git@github.com:FrozenNode/Laravel-Administrator.git,v3.3.0,7962,2389,361,0.50%,5.4722222222222,0,540,79,316,2
git@github.com:FrozenNode/Laravel-Administrator.git,v3.3.1,7962,2389,361,0.50%,5.4722222222222,0,540,79,316,2
git@github.com:FrozenNode/Laravel-Administrator.git,v3.3.2,7964,2389,361,0.50%,5.4861111111111,0,540,79,316,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.0.0,7003,2096,365,0.86%,6.536,0,540,79,279,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.0.1,8063,2363,369,0.74%,5.62,0,540,79,290,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.1.0,8136,2392,377,0.75%,5.6052631578947,0,540,79,290,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.2.0,8275,2428,387,0.74%,5.6732026143791,0,540,79,295,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.3.0,13552,3699,366,0.43%,4.0738137082601,0,540,79,1604,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.4.0,14063,3818,389,0.41%,4.1535836177474,0,540,79,1705,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.4.1,14082,3820,390,0.41%,4.1655290102389,0,540,79,1726,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.5.0,14225,3864,396,0.41%,4.1433389544688,0,540,79,1743,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.6.0,14578,3965,405,0.40%,4.1040268456376,0,540,79,1798,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.6.1,14583,3965,406,0.40%,4.1040268456376,0,540,79,1798,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.7.0,14763,4003,414,0.41%,4.118530884808,0,540,79,1833,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.7.1,14763,4003,414,0.41%,4.118530884808,0,540,79,1833,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.7.2,14765,4003,414,0.41%,4.118530884808,0,540,79,1833,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.8.0,14862,4024,419,0.41%,4.1210613598673,0,540,79,1840,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.9.0,15028,4058,422,0.41%,4.1359867330017,0,540,79,1842,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.10.0,15362,4129,424,0.40%,4.1409618573798,0,540,79,1842,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.11.0,15436,4145,423,0.40%,4.1409618573798,0,540,79,1842,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.11.1,15436,4145,423,0.40%,4.1409618573798,0,540,79,1842,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.11.2,15436,4145,424,0.40%,4.1409618573798,0,540,79,1842,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.12.0,15748,4213,430,0.39%,4.1409618573798,0,540,79,1843,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.12.1,15749,4213,430,0.39%,4.1409618573798,0,540,79,1843,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.13.0,15795,4225,434,0.39%,4.1239669421488,0,540,79,1864,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.14.0,15951,4257,434,0.38%,4.1239669421488,0,540,79,1863,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.14.1,15955,4257,436,0.38%,4.1305785123967,0,540,79,1863,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.14.2,15961,4259,436,0.38%,4.1322314049587,0,540,79,1866,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.15.0,16197,4293,441,0.38%,4.1466227347611,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.0,16210,4293,441,0.38%,4.1466227347611,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.1,16210,4293,441,0.38%,4.1466227347611,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,4.16.2,16192,4290,441,0.38%,4.1622516556291,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.3,16200,4293,441,0.38%,4.1570247933884,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.4,16201,4293,442,0.38%,4.1586776859504,0,540,79,1886,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.5,16201,4292,442,0.38%,4.1572847682119,0,540,79,1882,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.6,16212,4292,445,0.38%,4.1622516556291,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v4.16.7,16205,4292,443,0.38%,4.1605960264901,0,540,79,1883,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.0,16345,4334,438,0.37%,4.1798679867987,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.1,16345,4334,438,0.37%,4.1798679867987,0,540,79,1885,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.2,16356,4334,441,0.37%,4.1848184818482,0,540,79,1888,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.3,16349,4334,439,0.37%,4.1831683168317,0,540,79,1886,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.4,16351,4334,440,0.37%,4.1848184818482,0,540,79,1886,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.5,16567,4381,452,0.58%,4.2105263157895,0,540,79,1890,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.6,16649,4405,461,0.58%,4.2262295081967,0,540,79,1896,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.7,16649,4405,462,0.58%,4.2262295081967,0,540,79,1896,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.8,16649,4405,462,0.58%,4.2262295081967,0,540,79,1896,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.9,16649,4405,462,0.58%,4.2262295081967,0,540,79,1896,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.10,16659,4410,462,0.51%,4.2262295081967,0,540,79,1884,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.11,16671,4414,463,0.51%,4.2262295081967,0,540,79,1884,2
git@github.com:FrozenNode/Laravel-Administrator.git,v5.0.12,16674,4414,463,0.51%,4.2262295081967,0,540,79,1884,2
