repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Hanson/vbot.git,v1.0.1,2954,716,159,0.00%,3.5565217391304,0,539,14,116,0
git@github.com:Hanson/vbot.git,v1.0.11,2958,716,160,0.00%,3.5652173913043,0,539,14,116,0
git@github.com:Hanson/vbot.git,v1.0.12,2963,717,161,0.00%,3.5652173913043,0,539,14,116,0
git@github.com:Hanson/vbot.git,v1.0.13,3016,729,163,0.00%,3.5210084033613,0,539,14,124,0
git@github.com:Hanson/vbot.git,v1.0.14,3097,762,168,0.00%,3.603305785124,0,539,14,128,0
git@github.com:Hanson/vbot.git,v1.0.15,3100,762,168,0.00%,3.6115702479339,0,539,14,128,0
git@github.com:Hanson/vbot.git,v1.0.16,3278,803,172,0.00%,3.6171875,0,539,14,132,0
git@github.com:Hanson/vbot.git,v1.0.17,3293,803,173,0.00%,3.6124031007752,0,539,14,133,0
git@github.com:Hanson/vbot.git,v1.0.18,3353,811,177,0.00%,3.6412213740458,0,539,14,138,0
git@github.com:Hanson/vbot.git,v1.0.19,3641,870,200,0.00%,3.645390070922,0,539,14,146,0
git@github.com:Hanson/vbot.git,v1.0.20,3647,870,201,0.00%,3.6595744680851,0,539,14,146,0
git@github.com:Hanson/vbot.git,v1.0.21,3653,869,202,0.00%,3.6737588652482,0,539,14,147,0
git@github.com:Hanson/vbot.git,v1.0.23,3657,869,204,0.00%,3.6808510638298,0,539,14,147,0
git@github.com:Hanson/vbot.git,v1.0.24,3769,884,219,0.00%,3.7123287671233,0,539,14,155,0
git@github.com:Hanson/vbot.git,v1.0.25,3778,884,220,0.00%,3.7397260273973,0,539,14,157,0
git@github.com:Hanson/vbot.git,v1.1.0,4067,959,265,0.00%,3.7320261437908,0,539,14,179,0
git@github.com:Hanson/vbot.git,v1.1.1,4876,1199,353,0.96%,3.5978260869565,0,539,14,218,0
git@github.com:Hanson/vbot.git,v1.1.2,4918,1219,359,0.96%,3.6,0,539,14,219,0
git@github.com:Hanson/vbot.git,v1.1.3,5071,1240,376,0.34%,3.5958549222798,0,539,14,230,0
git@github.com:Hanson/vbot.git,v1.1.4,5141,1307,380,0.00%,3.5979381443299,0,539,14,254,0
git@github.com:Hanson/vbot.git,v1.1.5,5143,1307,380,0.00%,3.6030927835052,0,539,14,254,0
git@github.com:Hanson/vbot.git,v1.1.6,5177,1309,382,0.00%,3.5837563451777,0,539,14,257,0
git@github.com:Hanson/vbot.git,2.0.0,5716,1106,330,0.00%,3.0327272727273,0,539,14,175,0
git@github.com:Hanson/vbot.git,2.0.1,5928,1185,335,0.00%,2.9824561403509,0,539,14,183,0
git@github.com:Hanson/vbot.git,2.0.2,5421,1162,283,0.00%,2.8925925925926,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.3,5437,1162,287,0.00%,2.9074074074074,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.4,5439,1162,288,0.00%,2.9074074074074,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.5,5440,1164,289,0.00%,2.9037037037037,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.6,5442,1166,289,0.00%,2.9037037037037,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.7,5451,1175,289,0.00%,2.9,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.8,5451,1175,289,0.00%,2.9,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.9,5451,1175,289,0.00%,2.9,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.10,5451,1175,289,0.00%,2.9,0,539,14,155,0
git@github.com:Hanson/vbot.git,2.0.11,5445,1174,288,0.00%,2.8962962962963,0,539,14,152,0
