repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:JosephSilber/bouncer.git,v0.0.1,1213,403,26,0.00%,2.375,0,198,27,50,0
git@github.com:JosephSilber/bouncer.git,v0.0.2,1213,403,26,0.00%,2.375,0,198,27,50,0
git@github.com:JosephSilber/bouncer.git,v0.0.3,1215,403,26,0.00%,2.375,0,198,27,50,0
git@github.com:JosephSilber/bouncer.git,v0.0.4,1215,403,26,0.00%,2.375,0,198,27,50,0
git@github.com:JosephSilber/bouncer.git,v0.0.5,1504,478,43,0.00%,2.8356164383562,0,198,27,68,0
git@github.com:JosephSilber/bouncer.git,v0.0.6,1661,526,45,0.00%,2.8928571428571,0,198,27,84,0
git@github.com:JosephSilber/bouncer.git,v0.0.7,1744,563,46,0.00%,2.8636363636364,0,198,27,88,0
git@github.com:JosephSilber/bouncer.git,v0.0.8,1751,566,47,0.00%,2.8651685393258,0,198,27,87,0
git@github.com:JosephSilber/bouncer.git,v0.0.9,1743,562,45,0.00%,2.8666666666667,0,198,27,90,0
git@github.com:JosephSilber/bouncer.git,v0.0.10,1743,562,45,0.00%,2.8666666666667,0,198,27,90,0
git@github.com:JosephSilber/bouncer.git,v0.0.11,1743,562,45,0.00%,2.8666666666667,0,198,27,90,0
git@github.com:JosephSilber/bouncer.git,v0.0.12,1770,573,43,0.00%,2.989010989011,0,198,27,90,0
git@github.com:JosephSilber/bouncer.git,v0.0.13,2063,654,45,0.00%,3.2,0,198,27,109,0
git@github.com:JosephSilber/bouncer.git,v0.0.14,2013,637,42,0.00%,3.1553398058252,0,198,27,108,0
git@github.com:JosephSilber/bouncer.git,v0.0.15,2023,637,42,0.00%,3.2038834951456,0,198,27,108,0
git@github.com:JosephSilber/bouncer.git,v0.0.16,2032,639,44,0.00%,3.2233009708738,0,198,27,108,0
git@github.com:JosephSilber/bouncer.git,v0.0.17,2045,639,44,0.00%,3.2135922330097,0,198,27,126,0
git@github.com:JosephSilber/bouncer.git,v0.0.18,2084,641,44,0.00%,3.2056074766355,0,198,27,126,0
git@github.com:JosephSilber/bouncer.git,v0.0.19,2107,649,46,0.00%,3.1944444444444,0,198,27,125,0
git@github.com:JosephSilber/bouncer.git,v0.0.20,2120,656,46,0.00%,3.1743119266055,0,198,27,126,0
git@github.com:JosephSilber/bouncer.git,v0.0.21,2176,665,46,0.00%,3.3577981651376,0,198,27,166,0
git@github.com:JosephSilber/bouncer.git,v0.0.22,2288,731,47,0.00%,3.1147540983607,0,198,27,136,0
git@github.com:JosephSilber/bouncer.git,v0.0.23,2730,866,51,0.00%,2.9933333333333,0,198,27,158,0
git@github.com:JosephSilber/bouncer.git,v0.0.24,2731,864,53,0.00%,3,0,198,27,158,0
git@github.com:JosephSilber/bouncer.git,v0.0.25,2724,862,53,0.00%,3,0,198,27,158,0
git@github.com:JosephSilber/bouncer.git,v0.0.26,2859,900,56,0.00%,3.1392405063291,0,198,27,174,0
git@github.com:JosephSilber/bouncer.git,v0.1.0,3242,974,59,0.00%,3.4285714285714,0,198,27,215,1
git@github.com:JosephSilber/bouncer.git,v0.1.1,3259,974,59,0.00%,3.4367816091954,0,198,27,238,1
git@github.com:JosephSilber/bouncer.git,v0.1.2,3273,979,59,0.00%,3.4342857142857,0,198,27,250,1
git@github.com:JosephSilber/bouncer.git,v0.1.3,3416,1015,63,0.00%,3.3867403314917,0,198,27,251,1
git@github.com:JosephSilber/bouncer.git,v0.1.4,3445,1025,67,0.00%,3.3846153846154,0,198,27,252,1
git@github.com:JosephSilber/bouncer.git,v0.1.5,3445,1025,67,0.00%,3.3846153846154,0,198,27,252,1
git@github.com:JosephSilber/bouncer.git,v0.1.6,3442,1025,66,0.00%,3.3846153846154,0,198,27,252,1
git@github.com:JosephSilber/bouncer.git,v0.1.7,3442,1025,66,0.00%,3.3846153846154,0,198,27,252,1
