repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:KnpLabs/Gaufrette.git,v0.1.1,8091,2095,329,0.00%,2.9655913978495,0,335,153,521,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.2,8964,2317,348,0.00%,3.0778210116732,0,335,153,603,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.3,10682,2704,362,0.00%,3.304132231405,0,335,153,961,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.4,9901,2332,323,0.50%,2.9136577708006,0,335,153,701,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.5,11356,2598,369,0.44%,2.9596662030598,0,335,153,849,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.6,13725,3157,434,0.36%,3.1288782816229,0,335,153,1221,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.7,13821,3196,441,0.36%,3.1438763376932,0,335,153,1226,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.8,12761,2900,433,0.39%,3.094315245478,0,335,153,1001,0
git@github.com:KnpLabs/Gaufrette.git,v0.1.9,13243,3017,461,0.38%,3.1134663341646,0,335,153,1000,0
git@github.com:KnpLabs/Gaufrette.git,0.2.0,13301,3029,462,0.38%,3.1291925465839,0,335,153,1001,0
git@github.com:KnpLabs/Gaufrette.git,0.2.1,13499,3075,474,0.37%,3.1695331695332,0,335,153,1009,0
git@github.com:KnpLabs/Gaufrette.git,v0.3.1,13939,3161,494,0.36%,3.1344339622642,0,335,153,1022,0
git@github.com:KnpLabs/Gaufrette.git,v0.4.0,14705,3376,546,0.31%,3.1783295711061,0,335,153,1015,0
git@github.com:KnpLabs/Gaufrette.git,v0.5.0,14768,3384,554,0.30%,3.1822272215973,0,335,153,1023,0
git@github.com:KnpLabs/Gaufrette.git,v0.6.0,14780,3386,556,0.30%,3.1844769403825,0,335,153,1025,0
git@github.com:KnpLabs/Gaufrette.git,v0.7.0,14787,3386,556,0.30%,3.1831460674157,0,335,153,1026,0
git@github.com:KnpLabs/Gaufrette.git,v0.8.0,14874,3406,557,0.30%,3.1883408071749,0,335,153,1033,0
git@github.com:KnpLabs/Gaufrette.git,v0.8.1,14874,3406,557,0.30%,3.1883408071749,0,335,153,1033,0
