repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:KnpLabs/php-github-api.git,1.0.0,3993,1133,110,0.35%,2.2903225806452,0,468,213,145,0
git@github.com:KnpLabs/php-github-api.git,1.0.1,9405,2343,118,0.15%,3.0737704918033,0,468,213,1212,0
git@github.com:KnpLabs/php-github-api.git,1.0.2,9431,2347,124,0.15%,3.083606557377,0,468,213,1212,0
git@github.com:KnpLabs/php-github-api.git,1.1.0,9557,2331,147,0.29%,3.0713128038898,0,468,213,1227,0
git@github.com:KnpLabs/php-github-api.git,1.1.1,9884,2406,166,0.61%,3.1469194312796,0,468,213,1240,0
git@github.com:KnpLabs/php-github-api.git,1.1.2,10421,2573,177,0.58%,3.1201201201201,0,468,213,1273,0
git@github.com:KnpLabs/php-github-api.git,1.1.3,10250,2385,177,0.59%,3.119940029985,0,468,213,1282,0
git@github.com:KnpLabs/php-github-api.git,1.1.4,11334,2714,206,0.53%,3.1422651933702,0,468,213,1370,0
git@github.com:KnpLabs/php-github-api.git,1.1.5,11883,2883,212,0.50%,3.1360634081902,0,468,213,1438,0
git@github.com:KnpLabs/php-github-api.git,1.2.0,11695,2804,196,0.51%,3.1566265060241,0,468,213,1445,0
git@github.com:KnpLabs/php-github-api.git,1.2.1,12240,2993,211,0.49%,3.1591203104787,0,468,213,1489,0
git@github.com:KnpLabs/php-github-api.git,1.2.2,12533,3074,220,0.61%,3.1979695431472,0,468,213,1521,0
git@github.com:KnpLabs/php-github-api.git,1.2.3,12684,3096,228,0.61%,3.2065491183879,0,468,213,1547,0
git@github.com:KnpLabs/php-github-api.git,1.2.4,12679,3093,228,0.61%,3.2052896725441,0,468,213,1547,0
git@github.com:KnpLabs/php-github-api.git,1.2.5,12921,3194,231,0.60%,3.1584766584767,0,468,213,1550,0
git@github.com:KnpLabs/php-github-api.git,1.2.6,12956,3204,231,0.59%,3.156862745098,0,468,213,1555,0
git@github.com:KnpLabs/php-github-api.git,1.2.7,12999,3219,235,0.59%,3.1603427172583,0,468,213,1555,0
git@github.com:KnpLabs/php-github-api.git,1.3.0,13225,3295,247,0.58%,3.1668681983071,0,468,213,1586,0
git@github.com:KnpLabs/php-github-api.git,1.3.1,13496,3375,247,0.57%,3.1504739336493,0,468,213,1623,0
git@github.com:KnpLabs/php-github-api.git,1.4.0,14106,3513,250,0.55%,3.1308304891923,0,468,213,1714,0
git@github.com:KnpLabs/php-github-api.git,1.4.1,14106,3513,250,0.55%,3.1308304891923,0,468,213,1714,0
git@github.com:KnpLabs/php-github-api.git,1.4.2,14121,3521,251,0.55%,3.1293984108967,0,468,213,1719,0
git@github.com:KnpLabs/php-github-api.git,1.4.3,14292,3565,255,0.54%,3.1361079865017,0,468,213,1734,0
git@github.com:KnpLabs/php-github-api.git,1.4.4,14389,3595,255,0.54%,3.1272321428571,0,468,213,1744,0
git@github.com:KnpLabs/php-github-api.git,1.4.5,14734,3828,259,0.52%,3.122381477398,0,468,213,1759,0
git@github.com:KnpLabs/php-github-api.git,1.4.6,14884,3857,259,0.52%,3.1108695652174,0,468,213,1785,0
git@github.com:KnpLabs/php-github-api.git,1.4.7,14932,3863,259,0.52%,3.1103896103896,0,468,213,1796,0
git@github.com:KnpLabs/php-github-api.git,1.4.8,14948,3869,261,0.52%,3.1136363636364,0,468,213,1797,0
git@github.com:KnpLabs/php-github-api.git,1.4.9,15032,3895,264,0.51%,3.1272923408846,0,468,213,1807,0
git@github.com:KnpLabs/php-github-api.git,1.4.10,15268,3998,265,0.73%,3.1277955271565,0,468,213,1858,0
git@github.com:KnpLabs/php-github-api.git,1.4.11,15283,3999,263,0.73%,3.1243358129649,0,468,213,1863,0
git@github.com:KnpLabs/php-github-api.git,1.4.12,15308,4002,263,0.73%,3.1261930010604,0,468,213,1868,0
git@github.com:KnpLabs/php-github-api.git,1.4.13,15717,4118,265,0.71%,3.1126033057851,0,468,213,1917,0
git@github.com:KnpLabs/php-github-api.git,1.4.14,15688,4118,265,0.71%,3.1126033057851,0,468,213,1917,0
git@github.com:KnpLabs/php-github-api.git,1.4.15,15926,4351,265,0.70%,3.1104231166151,0,468,213,1917,0
git@github.com:KnpLabs/php-github-api.git,1.5.0,15926,4351,265,0.70%,3.1104231166151,0,468,213,1917,0
git@github.com:KnpLabs/php-github-api.git,1.5.1,16329,4629,267,0.48%,3.1042944785276,0,468,213,1937,0
git@github.com:KnpLabs/php-github-api.git,1.6.0,16413,4646,268,0.46%,3.1036585365854,0,468,213,1954,0
git@github.com:KnpLabs/php-github-api.git,1.6.1,16522,4673,269,0.46%,3.0947580645161,0,468,213,1964,0
git@github.com:KnpLabs/php-github-api.git,1.7.0,16535,4673,271,0.46%,3.0987903225806,0,468,213,1964,0
git@github.com:KnpLabs/php-github-api.git,1.7.1,16559,4676,275,0.46%,3.0965794768612,0,468,213,1965,0
git@github.com:KnpLabs/php-github-api.git,2.0.0,16378,4770,272,0.19%,2.9775739041794,0,468,213,1851,0
git@github.com:KnpLabs/php-github-api.git,2.0.1,16385,4774,276,0.19%,2.9775739041794,0,468,213,1851,0
git@github.com:KnpLabs/php-github-api.git,2.1.0,17877,5085,283,2.18%,2.9749518304432,0,468,213,1991,0
git@github.com:KnpLabs/php-github-api.git,2.2.0,18839,5408,294,2.06%,2.9569597069597,0,468,213,2076,0
git@github.com:KnpLabs/php-github-api.git,2.3.0,18972,5434,297,2.05%,2.9754098360656,0,468,213,2090,0
git@github.com:KnpLabs/php-github-api.git,2.4.0,19141,5537,297,2.03%,2.9710407239819,0,468,213,2105,0
