repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:LaravelCollective/html.git,v5.0.0,1988,745,72,0.00%,3.3181818181818,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.0.1,2112,774,74,0.00%,3.3389830508475,0,473,114,77,0
git@github.com:LaravelCollective/html.git,v5.0.2,2142,782,74,0.00%,3.3140495867769,0,473,114,77,0
git@github.com:LaravelCollective/html.git,v5.0.3,2171,790,74,0.00%,3.3252032520325,0,473,114,77,0
git@github.com:LaravelCollective/html.git,v5.0.4,2171,790,74,0.00%,3.3252032520325,0,473,114,77,0
git@github.com:LaravelCollective/html.git,v5.0.5,2176,790,72,0.00%,3.3387096774194,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.0,2176,790,72,0.00%,3.3387096774194,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.1,2176,790,72,0.00%,3.3387096774194,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.2,2226,806,72,0.00%,3.34375,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.3,2317,865,73,0.00%,3.3615384615385,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.4,2318,865,73,0.00%,3.3692307692308,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.5,2318,865,73,0.00%,3.3692307692308,0,473,114,76,0
git@github.com:LaravelCollective/html.git,v5.1.6,2355,865,74,0.00%,3.4809160305344,0,473,114,84,0
git@github.com:LaravelCollective/html.git,v5.1.7,2369,909,76,0.00%,3.4772727272727,0,473,114,84,0
git@github.com:LaravelCollective/html.git,v5.1.8,2383,918,76,0.00%,3.4586466165414,0,473,114,84,0
git@github.com:LaravelCollective/html.git,v5.1.9,2389,918,77,0.00%,3.4736842105263,0,473,114,84,0
git@github.com:LaravelCollective/html.git,v5.1.10,2421,918,77,0.00%,3.5074626865672,0,473,114,84,0
git@github.com:LaravelCollective/html.git,v5.1.11,2423,918,78,0.00%,3.5074626865672,0,473,114,84,0
git@github.com:LaravelCollective/html.git,v5.2.1,2884,1048,90,0.00%,3.3607594936709,0,473,114,91,0
git@github.com:LaravelCollective/html.git,v5.2.2,2884,1048,90,0.00%,3.3607594936709,0,473,114,91,0
git@github.com:LaravelCollective/html.git,v5.2.3,2920,1057,91,0.00%,3.3875,0,473,114,91,0
