repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.0,1328,481,87,0.00%,7.0571428571429,0,1064,147,66,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.1,1336,481,88,0.00%,7.0857142857143,0,1064,147,68,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.2,1360,492,88,0.00%,6.7837837837838,0,1064,147,69,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.3,1469,506,92,0.00%,6.8684210526316,0,1064,147,72,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.4,1525,518,96,0.00%,6.6341463414634,0,1064,147,74,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.5,1746,656,98,0.00%,5.9183673469388,0,1064,147,91,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.6,1746,656,98,0.00%,5.9183673469388,0,1064,147,91,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.7,1822,702,101,0.00%,5.6923076923077,0,1064,147,97,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.8,1822,702,101,0.00%,5.6923076923077,0,1064,147,97,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.1.9,1822,702,102,0.00%,5.7307692307692,0,1064,147,98,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.0,1784,699,96,0.00%,5.462962962963,0,1064,147,95,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.1,1790,703,96,0.00%,5.462962962963,0,1064,147,95,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.2,1790,703,96,0.00%,5.462962962963,0,1064,147,95,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.3,1791,703,96,0.00%,5.462962962963,0,1064,147,95,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.4,1794,703,97,0.00%,5.4814814814815,0,1064,147,95,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.5,1808,704,99,0.00%,5.5740740740741,0,1064,147,96,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.6,1815,706,100,0.00%,5.5740740740741,0,1064,147,97,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.7,1815,706,100,0.00%,5.5740740740741,0,1064,147,97,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.2.8,1827,707,100,0.00%,5.6111111111111,0,1064,147,98,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.3.0,2108,729,135,0.00%,7.125,0,1064,147,130,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.3.1,2109,730,135,0.00%,7.125,0,1064,147,130,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.3.2,2322,881,137,0.00%,6.9016393442623,0,1064,147,131,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.3.3,2551,949,160,0.00%,7.0441176470588,0,1064,147,141,0
git@github.com:Maatwebsite/Laravel-Excel.git,v0.3.4,2551,949,160,0.00%,7.0441176470588,0,1064,147,141,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.0,5395,2165,269,0.00%,3.695652173913,0,1064,147,216,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.1,5393,2165,269,0.00%,3.695652173913,0,1064,147,217,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.2,5439,2184,275,0.00%,3.6842105263158,0,1064,147,219,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.3,5440,2184,276,0.00%,3.6842105263158,0,1064,147,219,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.4,5444,2185,276,0.00%,3.6842105263158,0,1064,147,223,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.5,5444,2185,276,0.00%,3.6842105263158,0,1064,147,223,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.6,5446,2191,276,0.00%,3.688995215311,0,1064,147,223,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.7,5601,2222,278,0.00%,3.6199095022624,0,1064,147,223,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.8,5865,2355,300,0.00%,3.6200873362445,0,1064,147,226,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.0.9,5865,2355,300,0.00%,3.6200873362445,0,1064,147,226,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.0,6992,2847,352,0.00%,3.5607142857143,0,1064,147,262,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.1,7368,2957,352,0.00%,3.4820846905537,0,1064,147,273,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.2,7491,3004,360,0.00%,3.4968152866242,0,1064,147,272,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.3,7490,3004,360,0.00%,3.4968152866242,0,1064,147,272,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.4,7739,3081,361,0.00%,3.5,0,1064,147,276,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.5,8013,3173,368,0.00%,3.5190615835777,0,1064,147,282,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.6,8214,3230,383,0.00%,3.574780058651,0,1064,147,296,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.7,8116,3196,374,0.00%,3.5850746268657,0,1064,147,297,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.8,8114,3196,374,0.00%,3.5850746268657,0,1064,147,297,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.1.9,8114,3196,374,0.00%,3.5850746268657,0,1064,147,297,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.2.0,9083,3502,402,0.00%,3.4809160305344,0,1064,147,317,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.2.1,9083,3502,402,0.00%,3.4809160305344,0,1064,147,317,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.2.2,9429,3555,422,0.00%,3.4831730769231,0,1064,147,325,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.2.3,9580,3612,429,0.00%,3.5023923444976,0,1064,147,332,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.0,9688,3553,431,0.00%,3.4929245283019,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.1,9690,3553,431,0.00%,3.4929245283019,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,1.3.2,9822,3579,431,0.00%,3.4793577981651,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.3,9824,3579,431,0.00%,3.4793577981651,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.4,9888,3595,437,0.00%,3.4954337899543,0,1064,147,338,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.5,9832,3589,435,0.00%,3.5046296296296,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.6,9858,3599,436,0.00%,3.5103926096998,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.7,9864,3599,437,0.00%,3.5150115473441,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.8,9865,3599,437,0.00%,3.5150115473441,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,v1.3.9,9865,3599,437,0.00%,3.5150115473441,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,1.3.10,9876,3604,437,0.00%,3.5115207373272,0,1064,147,338,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.0,9666,3530,431,0.00%,3.4952830188679,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.0.1,9798,3556,431,0.00%,3.4816513761468,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.2,9799,3556,431,0.00%,3.4816513761468,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.3,9866,3572,437,0.00%,3.4977168949772,0,1064,147,338,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.4,9808,3565,435,0.00%,3.5069444444444,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.5,9834,3575,436,0.00%,3.5127020785219,0,1064,147,335,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.6,9842,3575,437,0.00%,3.5173210161663,0,1064,147,336,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.0.7,9976,3603,441,0.00%,3.513698630137,0,1064,147,337,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.0.8,10015,3605,446,0.00%,3.5125284738041,0,1064,147,343,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.9,10026,3610,446,0.00%,3.5090909090909,0,1064,147,345,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.0.10,10026,3610,446,0.00%,3.5090909090909,0,1064,147,345,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.0.11,10026,3610,447,0.00%,3.5090909090909,0,1064,147,345,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.1.0,10255,3770,450,0.00%,3.527149321267,0,1064,147,351,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.1.1,10261,3774,450,0.00%,3.5294117647059,0,1064,147,351,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.1.2,10303,3791,453,0.00%,3.5247747747748,0,1064,147,354,0
git@github.com:Maatwebsite/Laravel-Excel.git,v2.1.3,10339,3802,455,0.00%,3.5303370786517,0,1064,147,356,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.4,10338,3804,454,0.00%,3.5303370786517,0,1064,147,356,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.5,10340,3804,454,0.00%,3.5303370786517,0,1064,147,356,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.6,10340,3804,454,0.00%,3.5303370786517,0,1064,147,356,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.7,10354,3806,454,0.00%,3.5269058295964,0,1064,147,357,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.8,10395,3811,455,0.00%,3.5288888888889,0,1064,147,359,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.9,10412,3814,460,0.00%,3.5333333333333,0,1064,147,359,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.10,10412,3814,460,0.00%,3.5333333333333,0,1064,147,359,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.11,10660,3920,464,0.00%,3.4752688172043,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.12,10687,3930,466,0.00%,3.480686695279,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.13,10775,3953,467,0.00%,3.4722222222222,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.14,10775,3953,467,0.00%,3.4722222222222,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.15,10775,3953,467,0.00%,3.4722222222222,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.16,10775,3953,467,0.00%,3.4722222222222,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.17,10792,3964,470,0.00%,3.474358974359,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.18,10819,3977,470,0.00%,3.4659574468085,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.19,10819,3977,470,0.00%,3.4659574468085,0,1064,147,353,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.20,10846,3983,473,0.00%,3.4692144373673,0,1064,147,358,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.21,10846,3983,473,0.00%,3.4692144373673,0,1064,147,358,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.22,10846,3983,473,0.00%,3.4692144373673,0,1064,147,358,0
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.23,10877,3984,473,0.00%,3.468085106383,0,1064,147,361,1
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.24,10885,3984,476,0.00%,3.4723404255319,0,1064,147,361,1
git@github.com:Maatwebsite/Laravel-Excel.git,2.1.25,10909,3997,476,0.00%,3.4597457627119,0,1064,147,362,1
