repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Ocramius/PackageVersions.git,1.0.0,379,52,3,0.00%,4,0,34,15,47,0
git@github.com:Ocramius/PackageVersions.git,1.0.1,557,78,7,1.44%,5.4705882352941,0,34,15,84,0
git@github.com:Ocramius/PackageVersions.git,1.0.2,770,83,7,13.90%,7.7894736842105,0,34,15,162,0
git@github.com:Ocramius/PackageVersions.git,1.0.3,739,77,7,12.58%,7.4444444444444,0,34,15,144,0
git@github.com:Ocramius/PackageVersions.git,1.0.4,759,87,7,12.25%,7.1052631578947,0,34,15,144,0
git@github.com:Ocramius/PackageVersions.git,1.1.0,921,125,13,10.10%,5.7407407407407,0,34,15,142,0
git@github.com:Ocramius/PackageVersions.git,1.1.1,921,125,13,10.10%,5.7407407407407,0,34,15,142,0
git@github.com:Ocramius/PackageVersions.git,1.1.2,1253,146,17,12.13%,6.1714285714286,0,34,15,181,0
git@github.com:Ocramius/PackageVersions.git,1.1.3,1397,162,19,13.96%,6.9736842105263,0,34,15,236,0
git@github.com:Ocramius/PackageVersions.git,1.2.0,1481,163,19,14.58%,6.95,0,34,15,244,0
git@github.com:Ocramius/PackageVersions.git,1.3.0,1487,134,21,12.91%,7.275,0,34,15,266,0
