repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:PHP-DI/PHP-DI.git,0.9.0,1119,377,47,0.00%,2.3802816901408,0,214,70,22,0
git@github.com:PHP-DI/PHP-DI.git,1.0.0,1089,379,40,0.00%,2.4545454545455,0,214,70,22,0
git@github.com:PHP-DI/PHP-DI.git,1.0.1,1375,439,42,0.00%,2.183908045977,0,214,70,23,0
git@github.com:PHP-DI/PHP-DI.git,1.0.2,1375,439,42,0.00%,2.183908045977,0,214,70,23,0
git@github.com:PHP-DI/PHP-DI.git,1.0.3,1375,439,42,0.00%,2.183908045977,0,214,70,23,0
git@github.com:PHP-DI/PHP-DI.git,1.1.0,1908,602,49,0.00%,2.2439024390244,0,214,70,40,0
git@github.com:PHP-DI/PHP-DI.git,2.0.0,2468,998,49,0.00%,2.25,0,214,70,46,0
git@github.com:PHP-DI/PHP-DI.git,2.0.1,2468,998,49,0.00%,2.25,0,214,70,46,0
git@github.com:PHP-DI/PHP-DI.git,2.1.0,2671,1087,60,0.00%,2.3513513513514,0,214,70,60,0
git@github.com:PHP-DI/PHP-DI.git,3.0.0,7186,2574,231,0.36%,3.8442906574394,0,214,70,213,0
git@github.com:PHP-DI/PHP-DI.git,3.0.1,7096,2519,233,0.37%,3.8718861209964,0,214,70,190,0
git@github.com:PHP-DI/PHP-DI.git,3.0.2,7094,2519,233,0.37%,3.8718861209964,0,214,70,190,0
git@github.com:PHP-DI/PHP-DI.git,3.0.3,7094,2519,233,0.37%,3.8718861209964,0,214,70,190,0
git@github.com:PHP-DI/PHP-DI.git,3.0.4,7104,2522,234,0.37%,3.8687943262411,0,214,70,190,0
git@github.com:PHP-DI/PHP-DI.git,3.0.5,7139,2534,235,0.36%,3.8727915194346,0,214,70,190,0
git@github.com:PHP-DI/PHP-DI.git,3.0.6,7196,2549,243,0.36%,3.8802816901408,0,214,70,189,0
git@github.com:PHP-DI/PHP-DI.git,3.1.0,7419,2619,249,0.35%,3.9034482758621,0,214,70,204,0
git@github.com:PHP-DI/PHP-DI.git,3.1.1,7422,2619,248,0.35%,3.893470790378,0,214,70,204,0
git@github.com:PHP-DI/PHP-DI.git,3.2.0,7524,2631,252,0.35%,4.1538461538462,0,214,70,217,0
git@github.com:PHP-DI/PHP-DI.git,3.3.0,7921,2798,244,0.33%,4.2325581395349,0,214,70,215,0
git@github.com:PHP-DI/PHP-DI.git,3.4.0,8101,2837,252,0.32%,4.343137254902,0,214,70,222,0
git@github.com:PHP-DI/PHP-DI.git,3.5.0,8166,2867,252,0.32%,4.3441558441558,0,214,70,223,0
git@github.com:PHP-DI/PHP-DI.git,3.5.1,8186,2872,253,0.32%,4.3495145631068,0,214,70,224,0
git@github.com:PHP-DI/PHP-DI.git,4.0.0,8048,3017,163,0.22%,3.6805970149254,0,214,70,165,0
git@github.com:PHP-DI/PHP-DI.git,4.1.0,9104,3214,183,0.20%,3.7026315789474,0,214,70,183,0
git@github.com:PHP-DI/PHP-DI.git,4.1.1,9104,3214,183,0.20%,3.7026315789474,0,214,70,183,0
git@github.com:PHP-DI/PHP-DI.git,4.2.0,10336,3548,219,0.17%,3.728337236534,0,214,70,205,0
git@github.com:PHP-DI/PHP-DI.git,4.2.1,10340,3548,220,0.17%,3.7306791569087,0,214,70,206,0
git@github.com:PHP-DI/PHP-DI.git,4.2.2,10364,3548,222,0.17%,3.7406542056075,0,214,70,210,0
git@github.com:PHP-DI/PHP-DI.git,4.3.0,11139,3771,237,0.16%,3.6186440677966,0,214,70,226,0
git@github.com:PHP-DI/PHP-DI.git,4.4.0,11666,3955,237,0.15%,3.4854932301741,0,214,70,229,0
git@github.com:PHP-DI/PHP-DI.git,4.4.1,11666,3955,236,0.15%,3.4854932301741,0,214,70,229,0
git@github.com:PHP-DI/PHP-DI.git,4.4.2,11699,3968,240,0.15%,3.4826254826255,0,214,70,229,0
git@github.com:PHP-DI/PHP-DI.git,4.4.3,11735,3978,242,0.15%,3.4913294797688,0,214,70,229,0
git@github.com:PHP-DI/PHP-DI.git,4.4.4,11801,3988,243,0.15%,3.4875717017208,0,214,70,229,0
git@github.com:PHP-DI/PHP-DI.git,4.4.5,11835,3996,243,0.15%,3.4847908745247,0,214,70,231,0
