repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.1.0,3883,1136,149,0.46%,4.2295081967213,0,603,65,143,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.1.1,3882,1136,149,0.46%,4.2295081967213,0,603,65,141,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.2.0,4464,1371,165,0.40%,4.078431372549,0,603,65,157,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.2.1,4462,1371,165,0.40%,4.0985221674877,0,603,65,156,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.2.2,4491,1377,165,0.40%,4.0980392156863,0,603,65,152,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.2.3,4556,1394,166,0.40%,4.0331753554502,0,603,65,154,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.2.4,4593,1412,166,0.39%,4.0046728971963,0,603,65,153,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.3.0,8129,1732,379,0.68%,3.9434447300771,0,603,65,616,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.3.1,7144,1529,185,0.92%,3.3032069970845,0,603,65,628,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.3.2,7078,1526,181,0.93%,3.2719298245614,0,603,65,618,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.3.3,7363,1587,195,0.90%,3.2745098039216,0,603,65,634,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.3.4,7382,1590,196,0.89%,3.2646239554318,0,603,65,636,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.3.5,7495,1608,201,0.88%,3.2782369146006,0,603,65,678,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.4.0,7560,1608,205,0.81%,3.3085399449036,0,603,65,706,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.4.1,7647,1639,206,0.80%,3.2872628726287,0,603,65,706,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.4.2,7740,1657,210,0.79%,3.272,0,603,65,707,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.4.3,7885,1676,222,0.77%,3.3254593175853,0,603,65,729,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.4.4,7889,1676,224,0.77%,3.3219895287958,0,603,65,729,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.4.5,9465,1986,438,0.83%,3.8653421633554,0,603,65,819,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.5.0,9465,1986,438,0.83%,3.8653421633554,0,603,65,819,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.5.1,8356,1789,237,0.73%,3.3234567901235,0,603,65,782,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.6.0,8470,1811,237,0.72%,3.3365853658537,0,603,65,786,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.6.1,8479,1814,238,0.72%,3.330900243309,0,603,65,786,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.7.0,9355,2008,257,0.65%,3.3148558758315,0,603,65,844,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.8.0,9780,2096,264,0.62%,3.3995726495726,0,603,65,929,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.9.0,10287,2191,295,0.77%,3.5020661157025,0,603,65,974,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.9.1,10292,2191,295,0.77%,3.504132231405,0,603,65,974,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.9.2,10292,2191,295,0.77%,3.504132231405,0,603,65,974,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.9.3,10502,2268,297,0.75%,3.4939024390244,0,603,65,984,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.9.4,10664,2305,310,0.57%,3.5403225806452,0,603,65,992,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,0.9.5,10554,2270,306,0.75%,3.5467479674797,0,603,65,989,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,v0.10.0,10598,2280,308,0.75%,3.5403225806452,0,603,65,993,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,v0.11.0,10719,2334,312,0.74%,3.5208747514911,0,603,65,994,0
git@github.com:PHP-FFMpeg/PHP-FFMpeg.git,v0.11.1,10754,2338,315,0.73%,3.5308151093439,0,603,65,995,0
