repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:PHPMailer/PHPMailer.git,v2.0.3,5233,1544,380,0.40%,7.1153846153846,0,6841,183,200,1
git@github.com:PHPMailer/PHPMailer.git,v2.2.1,5180,1550,383,0.41%,7.0833333333333,0,6841,183,236,1
git@github.com:PHPMailer/PHPMailer.git,v2.3.0,5186,1553,382,0.40%,7.1410256410256,0,6841,183,237,1
git@github.com:PHPMailer/PHPMailer.git,v5.0.0,5620,1791,443,0.00%,7.936,0,6841,183,289,0
git@github.com:PHPMailer/PHPMailer.git,v5.0.2,5624,1789,442,0.00%,7.936,0,6841,183,290,0
git@github.com:PHPMailer/PHPMailer.git,v5.1.0,5955,1903,481,0.00%,8.1908396946565,0,6841,183,337,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.0,6978,2247,584,0.00%,8.4485294117647,0,6841,183,437,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.1,7038,2262,595,0.17%,8.4598540145985,0,6841,183,442,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.2,8143,2647,641,0.00%,8.8133333333333,0,6841,183,478,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.4,8225,2627,648,0.00%,8.96,0,6841,183,487,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.5,9532,3132,708,0.00%,8.6685082872928,0,6841,183,536,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.6,9533,3133,708,0.00%,8.6685082872928,0,6841,183,536,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.7,9075,3175,624,0.00%,7.7846889952153,0,6841,183,535,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.8,9232,3171,630,0.00%,7.5619047619048,0,6841,183,439,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.9,9280,3182,616,0.00%,7.555023923445,0,6841,183,432,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.10,9914,3191,675,0.00%,7.9483568075117,0,6841,183,442,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.11,10459,3341,727,0.75%,7.9955156950673,0,6841,183,466,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.12,10460,3342,728,0.75%,7.9955156950673,0,6841,183,466,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.13,10485,3365,728,0.74%,7.9955156950673,0,6841,183,466,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.14,10806,3448,760,0.72%,8.1077586206897,0,6841,183,476,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.15,11038,3489,768,0.71%,7.9751037344398,0,6841,183,478,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.16,11050,3496,769,0.71%,7.9875518672199,0,6841,183,478,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.17,11160,3523,780,0.70%,7.9795081967213,0,6841,183,484,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.18,11168,3524,784,0.70%,7.9918032786885,0,6841,183,485,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.19,11167,3523,783,0.70%,7.9918032786885,0,6841,183,485,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.20,11209,3539,790,0.70%,7.9918367346939,0,6841,183,489,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.21,11209,3539,790,0.70%,7.9918367346939,0,6841,183,489,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.22,11256,3553,793,0.69%,7.9959183673469,0,6841,183,489,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.23,11259,3554,792,0.69%,8.0081632653061,0,6841,183,489,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.24,11274,3556,793,0.56%,8.0326530612245,0,6841,183,490,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.25,11319,3572,793,0.56%,8.0121951219512,0,6841,183,492,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.26,11321,3573,794,0.56%,8.0162601626016,0,6841,183,492,0
git@github.com:PHPMailer/PHPMailer.git,v5.2.27,11354,3585,799,0.55%,7.9637096774194,0,6841,183,492,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.0,9992,3340,619,0.00%,8.2412280701754,0,6841,183,440,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.1,10219,3401,619,0.00%,8.1508620689655,0,6841,183,434,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.2,10253,3408,621,0.00%,8.1551724137931,0,6841,183,436,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.3,10256,3410,621,0.00%,8.1594827586207,0,6841,183,432,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.4,10294,3415,622,0.00%,8.1594827586207,0,6841,183,432,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.5,10294,3415,622,0.00%,8.1594827586207,0,6841,183,432,0
git@github.com:PHPMailer/PHPMailer.git,v6.0.6,10625,3476,635,0.08%,8.4285714285714,0,6841,183,447,0
