repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:PHPOffice/PhpSpreadsheet.git,1.0.0,130233,33050,9788,1.55%,7.5140271493213,0,893,191,12280,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.1.0,130525,32770,9784,1.56%,7.4979029358898,0,893,191,12348,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.2.0,130850,32788,9793,1.55%,7.4898446833931,0,893,191,12377,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.2.1,130852,32788,9793,1.55%,7.4901433691756,0,893,191,12378,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.3.0,132206,33052,9880,1.54%,7.4844903988183,0,893,191,12495,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.3.1,132201,33041,9880,1.54%,7.4869976359338,0,893,191,12495,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.4.0,136599,33879,9893,1.51%,7.2857952934505,0,893,191,12589,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.4.1,136638,33876,9896,1.51%,7.2854308390023,0,893,191,12591,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.5.0,136934,33928,9888,1.51%,7.2764273600904,0,893,191,12596,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.5.1,137229,33959,9886,1.50%,7.2855530474041,0,893,191,12634,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.5.2,137311,33966,9896,1.50%,7.2756193693694,0,893,191,12635,0
git@github.com:PHPOffice/PhpSpreadsheet.git,1.6.0,137217,34109,9912,1.59%,7.2685938815605,0,893,191,12652,0
