repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Seldaek/monolog.git,1.0.0,3535,1234,97,0.00%,3.280701754386,0,1478,378,38,0
git@github.com:Seldaek/monolog.git,1.0.1,3766,1337,102,0.00%,3.3016759776536,0,1478,378,39,0
git@github.com:Seldaek/monolog.git,1.0.2,4057,1375,104,0.00%,3.4368421052632,0,1478,378,101,0
git@github.com:Seldaek/monolog.git,1.1.0,5947,1817,157,0.00%,3.419014084507,0,1478,378,196,0
git@github.com:Seldaek/monolog.git,1.2.0,6446,1938,185,0.00%,3.3677419354839,0,1478,378,202,0
git@github.com:Seldaek/monolog.git,1.2.1,6453,1939,185,0.00%,3.3741935483871,0,1478,378,202,0
git@github.com:Seldaek/monolog.git,1.3.0,7639,2252,212,0.00%,3.5318559556787,0,1478,378,226,0
git@github.com:Seldaek/monolog.git,1.3.1,7639,2252,212,0.00%,3.5318559556787,0,1478,378,226,0
git@github.com:Seldaek/monolog.git,1.4.0,8095,2398,223,0.00%,3.4832041343669,0,1478,378,245,0
git@github.com:Seldaek/monolog.git,1.4.1,8222,2412,237,0.00%,3.4974358974359,0,1478,378,246,0
git@github.com:Seldaek/monolog.git,1.5.0,8465,2477,245,0.00%,3.516290726817,0,1478,378,249,0
git@github.com:Seldaek/monolog.git,1.6.0,9476,2746,300,0.20%,3.59375,0,1478,378,292,0
git@github.com:Seldaek/monolog.git,1.7.0,11257,3143,343,0.17%,3.6044362292052,0,1478,378,369,0
git@github.com:Seldaek/monolog.git,1.8.0,13101,3696,409,0.29%,3.6639741518578,0,1478,378,442,0
git@github.com:Seldaek/monolog.git,1.9.0,13484,3799,436,0.28%,3.7235387045814,0,1478,378,457,0
git@github.com:Seldaek/monolog.git,1.9.1,13507,3799,441,0.28%,3.739336492891,0,1478,378,458,0
git@github.com:Seldaek/monolog.git,1.10.0,13622,3813,446,0.28%,3.7742946708464,0,1478,378,462,0
git@github.com:Seldaek/monolog.git,1.11.0,14893,4222,494,0.38%,3.7953555878084,0,1478,378,494,0
git@github.com:Seldaek/monolog.git,1.12.0,15741,4380,535,0.36%,3.8305785123967,0,1478,378,529,0
git@github.com:Seldaek/monolog.git,1.13.0,16062,4444,554,0.35%,3.8349120433018,0,1478,378,539,0
git@github.com:Seldaek/monolog.git,1.13.1,16063,4444,554,0.35%,3.8349120433018,0,1478,378,539,0
git@github.com:Seldaek/monolog.git,1.14.0,16868,4595,616,0.34%,3.8030112923463,0,1478,378,612,0
git@github.com:Seldaek/monolog.git,1.15.0,17064,4703,637,0.33%,3.8854961832061,0,1478,378,629,0
git@github.com:Seldaek/monolog.git,1.16.0,17449,4791,654,0.33%,3.9151061173533,0,1478,378,671,0
git@github.com:Seldaek/monolog.git,1.17.0,17513,4800,660,0.33%,3.9168734491315,0,1478,378,673,0
git@github.com:Seldaek/monolog.git,1.17.1,17514,4800,659,0.33%,3.9181141439206,0,1478,378,673,0
git@github.com:Seldaek/monolog.git,1.17.2,17529,4800,660,0.33%,3.9281288723668,0,1478,378,674,0
git@github.com:Seldaek/monolog.git,1.18.0,18821,5147,713,0.30%,3.9576174112257,0,1478,378,773,0
git@github.com:Seldaek/monolog.git,1.18.1,18838,5154,714,0.30%,3.9565217391304,0,1478,378,772,0
git@github.com:Seldaek/monolog.git,1.18.2,18885,5156,717,0.30%,3.9748571428571,0,1478,378,773,0
git@github.com:Seldaek/monolog.git,1.19.0,19347,5257,747,0.29%,4.0538116591928,0,1478,378,785,0
git@github.com:Seldaek/monolog.git,1.20.0,19578,5298,771,0.29%,4.055617352614,0,1478,378,792,0
git@github.com:Seldaek/monolog.git,1.21.0,19647,5298,778,0.29%,4.0721420643729,0,1478,378,805,0
git@github.com:Seldaek/monolog.git,1.22.0,20778,5573,794,0.27%,4.0688935281837,0,1478,378,838,0
git@github.com:Seldaek/monolog.git,1.22.1,20885,5590,806,0.27%,4.1053180396246,0,1478,378,842,0
git@github.com:Seldaek/monolog.git,1.23.0,21079,5633,817,0.27%,4.0972078593588,0,1478,378,850,0
git@github.com:Seldaek/monolog.git,1.24.0,22402,5901,909,0.47%,4.1101364522417,0,1478,378,922,0
0
