repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Sylius/Sylius.git,v0.1.0,14045,4529,290,0.34%,2.6772068511199,0,1466,657,511,0
git@github.com:Sylius/Sylius.git,v0.2.0,1917,742,20,0.00%,2.0909090909091,0,1466,657,180,0
git@github.com:Sylius/Sylius.git,v0.3.0,1594,639,21,0.00%,2.6582278481013,0,1466,657,160,0
git@github.com:Sylius/Sylius.git,v0.5.0,70684,24593,1040,0.80%,2.2506374298827,0,1466,657,5436,0
git@github.com:Sylius/Sylius.git,v0.6.0,73311,25597,1074,0.86%,2.2995981918634,0,1466,657,5696,0
git@github.com:Sylius/Sylius.git,v0.7.0,79358,27042,1237,0.85%,2.3618513323983,0,1466,657,6488,0
git@github.com:Sylius/Sylius.git,v0.8.0,81476,26537,1274,0.75%,2.3593607305936,0,1466,657,6708,0
git@github.com:Sylius/Sylius.git,v0.9.0,82548,26791,1303,0.74%,2.3620728671645,0,1466,657,6717,0
git@github.com:Sylius/Sylius.git,v0.10.0,89425,29001,1429,0.56%,2.3906810035842,0,1466,657,7217,0
git@github.com:Sylius/Sylius.git,v0.11.0,98283,31716,1536,0.55%,2.3852963818322,0,1466,657,8538,0
git@github.com:Sylius/Sylius.git,v0.12.0,105434,33753,1746,0.59%,2.4376359680928,0,1466,657,9178,0
git@github.com:Sylius/Sylius.git,v0.13.0,116564,36735,1994,0.78%,2.4959577627454,0,1466,657,10548,0
git@github.com:Sylius/Sylius.git,v0.14.0,128401,40397,2270,0.60%,2.5121546127133,0,1466,657,11524,0
git@github.com:Sylius/Sylius.git,v0.15.0,146866,45364,2562,0.71%,2.4886760709202,0,1466,657,14449,0
git@github.com:Sylius/Sylius.git,v0.16.0,150925,44845,2654,0.61%,2.486220226961,0,1466,657,17852,0
