repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:TGMPA/TGM-Plugin-Activation.git,1.0.0,217,107,15,0.00%,6.8,0,401,55,1,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,1.1.0,370,156,28,0.00%,11.5,0,401,55,11,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.0.0,621,306,40,0.00%,6.0909090909091,0,401,55,16,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.1.0,908,412,71,0.00%,6.8235294117647,0,401,55,23,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.1.1,923,420,71,0.00%,6.5555555555556,0,401,55,23,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.2.0,2175,905,206,0.00%,9.8333333333333,0,401,55,90,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.2.1,2175,905,206,0.00%,9.8333333333333,0,401,55,90,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.2.2,2181,908,206,0.00%,9.8809523809524,0,401,55,90,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.3.0,2246,929,207,0.00%,9.9302325581395,0,401,55,93,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.3.1,2193,908,204,0.00%,9.9761904761905,0,401,55,91,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.3.2,2193,908,204,0.00%,9.9761904761905,0,401,55,91,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.3.3,2193,908,204,0.00%,9.9761904761905,0,401,55,91,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,v2.3.4,2194,909,206,0.00%,9.9761904761905,0,401,55,92,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.3.5,2197,909,207,0.00%,10,0,401,55,93,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.3.6,2199,909,207,0.00%,10,0,401,55,93,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.4.0,2308,911,213,0.00%,9.6590909090909,0,401,55,81,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.4.1,2317,911,214,0.00%,9.7045454545455,0,401,55,81,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.4.2,2323,914,214,0.00%,9.7045454545455,0,401,55,84,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.5.0,3740,1649,318,0.00%,6.304347826087,0,401,55,131,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.5.1,3742,1651,318,0.00%,6.304347826087,0,401,55,131,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.5.2,3818,1689,325,0.00%,6.1914893617021,0,401,55,134,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.6.0,4067,1846,353,0.00%,6.0891089108911,0,401,55,143,0
git@github.com:TGMPA/TGM-Plugin-Activation.git,2.6.1,4067,1847,353,0.00%,6.0891089108911,0,401,55,143,0
