repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:VentureCraft/revisionable.git,1.0.0,460,164,24,0.00%,3.2105263157895,0,251,43,12,0
git@github.com:VentureCraft/revisionable.git,1.0.2,460,164,24,0.00%,3.2105263157895,0,251,43,12,0
git@github.com:VentureCraft/revisionable.git,1.0.3,460,164,24,0.00%,3.2105263157895,0,251,43,12,0
git@github.com:VentureCraft/revisionable.git,1.0.4,481,164,30,0.00%,3.3684210526316,0,251,43,16,0
git@github.com:VentureCraft/revisionable.git,1.0.5,481,164,32,0.00%,3.3684210526316,0,251,43,16,0
git@github.com:VentureCraft/revisionable.git,1.0.6,481,164,32,0.00%,3.3684210526316,0,251,43,16,0
git@github.com:VentureCraft/revisionable.git,1.0.7,496,171,33,0.00%,3.3,0,251,43,17,0
git@github.com:VentureCraft/revisionable.git,1.1.0,564,196,35,0.00%,3.1304347826087,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.1.1,564,196,35,0.00%,3.1304347826087,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.1.2,564,196,35,0.00%,3.1304347826087,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.1.3,564,196,35,0.00%,3.1304347826087,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.2.0,565,196,35,0.00%,3.1739130434783,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.2.1,565,196,35,0.00%,3.1739130434783,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.2.2,565,196,35,0.00%,3.1739130434783,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.2.3,565,196,35,0.00%,3.1739130434783,0,251,43,19,0
git@github.com:VentureCraft/revisionable.git,1.4.0,588,200,39,0.00%,3.2916666666667,0,251,43,22,0
git@github.com:VentureCraft/revisionable.git,1.4.1,588,200,39,0.00%,3.2916666666667,0,251,43,22,0
git@github.com:VentureCraft/revisionable.git,1.5.0,898,287,80,29.96%,3.6176470588235,0,251,43,33,0
git@github.com:VentureCraft/revisionable.git,1.6.0,894,287,78,30.09%,3.6176470588235,0,251,43,33,0
git@github.com:VentureCraft/revisionable.git,1.7.0,969,301,87,30.86%,3.5405405405405,0,251,43,33,0
git@github.com:VentureCraft/revisionable.git,1.8.0,969,301,87,30.86%,3.5405405405405,0,251,43,33,0
git@github.com:VentureCraft/revisionable.git,1.9.0,999,305,89,30.53%,3.475,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.10.0,973,305,89,30.01%,3.525,0,251,43,38,0
git@github.com:VentureCraft/revisionable.git,1.11.0,964,305,92,29.77%,3.425,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.12.0,1003,326,96,30.51%,3.4047619047619,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.12.1,1003,326,96,30.51%,3.4047619047619,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.13.0,1003,326,96,30.51%,3.4047619047619,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.14.0,1002,326,97,30.54%,3.4047619047619,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.15.0,1002,326,97,30.54%,3.4047619047619,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.15.1,1002,326,98,30.54%,3.4047619047619,0,251,43,35,0
git@github.com:VentureCraft/revisionable.git,1.16.0,1032,337,102,24.81%,3.3636363636364,0,251,43,36,0
git@github.com:VentureCraft/revisionable.git,1.17.0,1043,342,103,24.54%,3.3333333333333,0,251,43,36,0
git@github.com:VentureCraft/revisionable.git,1.18.0,1043,342,103,24.54%,3.3333333333333,0,251,43,36,0
git@github.com:VentureCraft/revisionable.git,1.19.0,1044,342,103,19.83%,3.3555555555556,0,251,43,36,0
git@github.com:VentureCraft/revisionable.git,1.20.0,1123,427,103,19.15%,3.3555555555556,0,251,43,36,0
git@github.com:VentureCraft/revisionable.git,1.21.0,1134,427,108,17.37%,3.4444444444444,0,251,43,40,0
git@github.com:VentureCraft/revisionable.git,1.22.0,1210,439,114,19.01%,3.468085106383,0,251,43,42,0
git@github.com:VentureCraft/revisionable.git,1.22.1,1210,439,114,19.01%,3.468085106383,0,251,43,42,0
git@github.com:VentureCraft/revisionable.git,1.22.2,1210,439,114,19.01%,3.468085106383,0,251,43,42,0
git@github.com:VentureCraft/revisionable.git,1.23.0,1228,450,114,18.89%,3.4375,0,251,43,42,0
git@github.com:VentureCraft/revisionable.git,1.24.0,1228,450,114,18.32%,3.4375,0,251,43,42,0
git@github.com:VentureCraft/revisionable.git,1.25.0,1229,450,115,18.06%,3.4375,0,251,43,42,0
git@github.com:VentureCraft/revisionable.git,1.26.0,1239,450,119,17.92%,3.5208333333333,0,251,43,43,0
git@github.com:VentureCraft/revisionable.git,1.27.0,1243,450,120,17.86%,3.5416666666667,0,251,43,43,0
git@github.com:VentureCraft/revisionable.git,1.28.0,1276,460,122,17.40%,3.6,0,251,43,44,0
