repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:WP-API/WP-API.git,0.1.1,1361,391,168,0.00%,12,0,708,118,71,0
git@github.com:WP-API/WP-API.git,0.1.2,1361,397,166,0.00%,11.833333333333,0,708,118,71,0
git@github.com:WP-API/WP-API.git,0.8.1,3070,962,301,0.00%,7.7469879518072,0,708,118,116,0
git@github.com:WP-API/WP-API.git,0.8.2,3070,962,302,0.00%,7.7469879518072,0,708,118,116,0
git@github.com:WP-API/WP-API.git,0.9.1,3691,1237,328,0.92%,6.2564102564103,0,708,118,125,0
git@github.com:WP-API/WP-API.git,0.9.2,3691,1237,329,0.92%,6.2564102564103,0,708,118,125,0
git@github.com:WP-API/WP-API.git,1.0.1,5419,1463,474,0.44%,6.9581151832461,0,708,118,171,0
git@github.com:WP-API/WP-API.git,1.0.2,5484,1469,476,0.44%,7,0,708,118,172,0
git@github.com:WP-API/WP-API.git,1.1.1,7082,1679,503,0.37%,6.5583038869258,0,708,118,193,0
git@github.com:WP-API/WP-API.git,1.1.2,7101,1679,505,0.37%,6.5704225352113,0,708,118,195,0
git@github.com:WP-API/WP-API.git,1.1.3,7112,1679,506,0.37%,6.6021126760563,0,708,118,196,0
git@github.com:WP-API/WP-API.git,1.2.1,8001,2058,568,0.00%,6.2492211838006,0,708,118,196,0
git@github.com:WP-API/WP-API.git,1.2.2,8083,2069,579,0.00%,6.2716049382716,0,708,118,199,0
git@github.com:WP-API/WP-API.git,1.2.3,8083,2069,579,0.00%,6.2716049382716,0,708,118,199,0
git@github.com:WP-API/WP-API.git,1.2.4,8092,2071,580,0.00%,6.2676923076923,0,708,118,199,0
git@github.com:WP-API/WP-API.git,1.2.5,8089,2071,579,0.00%,6.2676923076923,0,708,118,198,0
