repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.3.0,6133,2377,384,0.00%,6.456,0,270,64,131,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.4.0,6726,2582,422,0.00%,6.5954198473282,0,270,64,148,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.5.0,7746,3071,472,0.00%,6.6344827586207,0,270,64,180,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.6.0,7833,3111,472,0.00%,6.6875,0,270,64,182,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.7.0,7814,3042,485,0.00%,6.7446808510638,0,270,64,203,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.7.1,7814,3042,485,0.00%,6.7446808510638,0,270,64,203,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.8.0,8054,3111,504,0.00%,6.7602739726027,0,270,64,208,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.9.0,8839,3434,545,0.00%,6.478527607362,0,270,64,218,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.10.0,11128,4295,733,0.00%,6.7142857142857,0,270,64,298,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.11.0,14427,5468,882,0.00%,6.4193548387097,0,270,64,293,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.12.0,18392,6941,1168,0.00%,6.5860927152318,0,270,64,312,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.13.0,19791,7235,1216,0.00%,6.4299065420561,0,270,64,380,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.13.1,19793,7237,1216,0.00%,6.4299065420561,0,270,64,380,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.14.0,23402,8507,1538,0.00%,6.8575268817204,0,270,64,464,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,0.14.1,23402,8507,1538,0.00%,6.8575268817204,0,270,64,464,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,1.0.0,26832,9945,1793,0.00%,6.4183908045977,0,270,64,522,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,1.1.0,27482,10220,1843,0.00%,6.431151241535,0,270,64,535,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,1.2.0,28771,10578,1967,0.00%,6.6520787746171,0,270,64,575,0
git@github.com:WordPress-Coding-Standards/WordPress-Coding-Standards.git,1.2.1,28699,10578,1967,0.00%,6.6520787746171,0,270,64,575,0
