repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Xethron/migrations-generator.git,v1.0.0,791,177,75,0.00%,5.2903225806452,0,377,22,30,0
git@github.com:Xethron/migrations-generator.git,v1.1.0,846,178,84,0.00%,5.5151515151515,0,377,22,32,0
git@github.com:Xethron/migrations-generator.git,v1.1.1,1148,313,71,0.00%,3.86,0,377,22,87,0
git@github.com:Xethron/migrations-generator.git,v1.2.0,1199,329,74,0.00%,3.9038461538462,0,377,22,91,0
git@github.com:Xethron/migrations-generator.git,v1.2.1,1214,330,81,0.00%,3.9807692307692,0,377,22,91,0
git@github.com:Xethron/migrations-generator.git,v1.2.2,1246,342,82,0.00%,3.9444444444444,0,377,22,91,0
git@github.com:Xethron/migrations-generator.git,v1.3.0,1368,397,93,0.00%,3.9830508474576,0,377,22,94,0
git@github.com:Xethron/migrations-generator.git,v2.0.0,1366,396,93,0.00%,3.9827586206897,0,377,22,93,0
git@github.com:Xethron/migrations-generator.git,v2.0.1,1383,405,93,0.00%,3.8666666666667,0,377,22,89,0
git@github.com:Xethron/migrations-generator.git,v2.0.2,1400,411,93,0.00%,3.9016393442623,0,377,22,95,0
