repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:Zizaco/entrust.git,1.0.0,1122,321,76,0.00%,3.4318181818182,0,1208,107,62,1
git@github.com:Zizaco/entrust.git,1.1.0,1122,321,76,0.00%,3.4318181818182,0,1208,107,62,1
git@github.com:Zizaco/entrust.git,1.1.1,1122,321,76,0.00%,3.4318181818182,0,1208,107,62,1
git@github.com:Zizaco/entrust.git,1.2.0,1208,377,76,0.00%,3.3695652173913,0,1208,107,63,1
git@github.com:Zizaco/entrust.git,1.2.1,1208,377,76,0.00%,3.3695652173913,0,1208,107,63,1
git@github.com:Zizaco/entrust.git,1.2.2,1210,377,76,0.00%,3.3695652173913,0,1208,107,63,0
git@github.com:Zizaco/entrust.git,1.2.3,2693,736,93,6.24%,5.875,0,1208,107,351,0
git@github.com:Zizaco/entrust.git,1.2.4,2693,736,93,6.24%,5.875,0,1208,107,351,0
git@github.com:Zizaco/entrust.git,1.2.5,2693,736,93,6.24%,5.875,0,1208,107,351,0
git@github.com:Zizaco/entrust.git,1.3.0,2693,736,93,6.24%,5.875,0,1208,107,351,0
git@github.com:Zizaco/entrust.git,1.4.0,2665,865,79,5.40%,6.8,0,1208,107,318,0
git@github.com:Zizaco/entrust.git,1.4.1,2704,877,87,5.33%,6.7868852459016,0,1208,107,322,0
git@github.com:Zizaco/entrust.git,1.5.0,3593,1205,96,4.70%,6.2823529411765,0,1208,107,439,0
git@github.com:Zizaco/entrust.git,1.6.0,3603,1210,96,4.69%,6.3176470588235,0,1208,107,440,0
git@github.com:Zizaco/entrust.git,1.7.0,3608,1210,99,4.68%,6.3176470588235,0,1208,107,439,0
git@github.com:Zizaco/entrust.git,1.8.0,3681,1213,115,4.67%,6.5058823529412,0,1208,107,442,0
git@github.com:Zizaco/entrust.git,1.9.0,3723,1244,115,4.62%,6.4418604651163,0,1208,107,442,0
git@github.com:Zizaco/entrust.git,1.9.1,3755,1263,115,4.58%,6.4651162790698,0,1208,107,442,0
