repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:abraham/twitteroauth.git,0.1.0,1013,425,72,0.00%,3.3243243243243,0,1605,45,80,0
git@github.com:abraham/twitteroauth.git,0.1.1,1013,425,72,0.00%,3.3243243243243,0,1605,45,80,0
git@github.com:abraham/twitteroauth.git,0.2.1,1229,345,91,0.00%,3.575,0,1605,45,69,0
git@github.com:abraham/twitteroauth.git,0.3.0,1467,504,77,0.00%,3.4512195121951,0,1605,45,54,0
git@github.com:abraham/twitteroauth.git,0.4.0,1640,546,84,0.00%,3.6704545454545,0,1605,45,54,0
git@github.com:abraham/twitteroauth.git,0.4.1,1641,547,84,0.00%,3.6704545454545,0,1605,45,54,0
git@github.com:abraham/twitteroauth.git,0.5.0,1613,547,65,0.00%,3.1290322580645,0,1605,45,51,0
git@github.com:abraham/twitteroauth.git,0.5.1,1605,545,64,0.00%,3.1290322580645,0,1605,45,48,0
git@github.com:abraham/twitteroauth.git,0.5.2,1605,545,64,0.00%,3.1290322580645,0,1605,45,48,0
git@github.com:abraham/twitteroauth.git,0.5.3,1604,545,64,0.00%,3.1182795698925,0,1605,45,48,0
git@github.com:abraham/twitteroauth.git,0.5.4,1609,557,52,0.00%,3.0315789473684,0,1605,45,42,0
git@github.com:abraham/twitteroauth.git,0.6.0,1682,579,55,0.00%,3.1326530612245,0,1605,45,44,0
git@github.com:abraham/twitteroauth.git,0.6.1,1682,579,55,0.00%,3.1326530612245,0,1605,45,44,0
git@github.com:abraham/twitteroauth.git,0.6.2,1682,579,55,0.00%,3.1326530612245,0,1605,45,44,0
git@github.com:abraham/twitteroauth.git,0.6.3,1698,585,56,0.00%,3.1212121212121,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.6.4,1698,585,56,0.00%,3.1212121212121,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.6.5,1697,584,55,0.00%,3.1212121212121,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.6.6,1702,585,56,0.00%,3.1313131313131,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.7.0,1702,585,56,0.00%,3.1313131313131,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.7.1,1702,585,56,0.00%,3.1313131313131,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.7.2,1712,590,57,0.00%,3.11,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.7.3,1712,590,57,0.00%,3.11,0,1605,45,45,0
git@github.com:abraham/twitteroauth.git,0.7.4,1768,614,60,0.00%,3.0961538461538,0,1605,45,47,0
git@github.com:abraham/twitteroauth.git,0.9.0,1931,666,69,0.00%,3.0614035087719,0,1605,45,52,0
git@github.com:abraham/twitteroauth.git,0.9.1,1931,666,69,0.00%,3.0614035087719,0,1605,45,52,0
git@github.com:abraham/twitteroauth.git,0.9.2,1953,673,72,0.00%,3.0695652173913,0,1605,45,52,0
