repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:afragen/github-updater.git,1.5.0,610,266,54,0.00%,6.55,0,331,49,17,0
git@github.com:afragen/github-updater.git,1.6.0,646,280,59,0.00%,6.6666666666667,0,331,49,18,0
git@github.com:afragen/github-updater.git,1.6.1,647,280,59,0.00%,6.7142857142857,0,331,49,18,0
git@github.com:afragen/github-updater.git,1.7.0,713,301,69,0.00%,6.9130434782609,0,331,49,20,0
git@github.com:afragen/github-updater.git,1.7.1,714,302,69,0.00%,6.8695652173913,0,331,49,20,0
git@github.com:afragen/github-updater.git,1.7.2,715,302,69,0.00%,6.9130434782609,0,331,49,20,0
git@github.com:afragen/github-updater.git,1.7.3,719,302,69,0.00%,7,0,331,49,20,0
git@github.com:afragen/github-updater.git,1.7.4,719,302,69,0.00%,7,0,331,49,20,0
git@github.com:afragen/github-updater.git,1.8.0,730,310,69,0.00%,7.2272727272727,0,331,49,18,0
git@github.com:afragen/github-updater.git,1.8.1,734,310,71,0.00%,7.4090909090909,0,331,49,18,0
git@github.com:afragen/github-updater.git,2.0.0,2485,821,133,0.00%,6.5974025974026,0,331,49,78,0
git@github.com:afragen/github-updater.git,2.0.1,2496,822,136,0.00%,6.6233766233766,0,331,49,80,0
git@github.com:afragen/github-updater.git,2.1.0,2570,869,136,0.00%,6.5769230769231,0,331,49,80,0
git@github.com:afragen/github-updater.git,2.1.1,2574,869,137,0.00%,6.5897435897436,0,331,49,81,0
git@github.com:afragen/github-updater.git,2.2.0,2729,898,148,0.00%,7.0602409638554,0,331,49,99,0
git@github.com:afragen/github-updater.git,2.2.2,2801,945,150,0.00%,6.9302325581395,0,331,49,99,0
git@github.com:afragen/github-updater.git,2.3.0,2731,886,152,0.00%,6.906976744186,0,331,49,99,0
git@github.com:afragen/github-updater.git,2.3.1,2738,887,159,0.00%,6.953488372093,0,331,49,100,0
git@github.com:afragen/github-updater.git,2.3.3,2751,889,163,0.00%,7.0232558139535,0,331,49,105,0
git@github.com:afragen/github-updater.git,2.4.0,2885,916,182,0.00%,7.375,0,331,49,112,0
git@github.com:afragen/github-updater.git,2.4.1,4338,1247,274,1.45%,8.0393700787402,0,331,49,187,0
git@github.com:afragen/github-updater.git,2.4.2,1128,407,111,0.00%,9.53125,0,331,49,48,0
git@github.com:afragen/github-updater.git,2.4.4,4475,1302,285,1.41%,7.9609375,0,331,49,176,0
git@github.com:afragen/github-updater.git,2.4.5,4487,1294,287,1.40%,8.0077519379845,0,331,49,177,0
git@github.com:afragen/github-updater.git,2.5.0,4862,1411,352,3.27%,8.304347826087,0,331,49,188,0
git@github.com:afragen/github-updater.git,2.6.0,4948,1535,372,1.27%,8.6397058823529,0,331,49,190,0
git@github.com:afragen/github-updater.git,2.6.1,4948,1535,372,1.27%,8.6397058823529,0,331,49,190,0
git@github.com:afragen/github-updater.git,2.6.2,4948,1535,372,1.27%,8.6397058823529,0,331,49,190,0
git@github.com:afragen/github-updater.git,2.6.3,4950,1535,374,1.27%,8.6544117647059,0,331,49,190,0
git@github.com:afragen/github-updater.git,2.7.0,5008,1566,375,2.00%,8.5827338129496,0,331,49,180,0
git@github.com:afragen/github-updater.git,2.7.1,5021,1569,381,1.99%,8.6402877697842,0,331,49,182,0
git@github.com:afragen/github-updater.git,2.8.0,5000,1512,382,2.22%,8.4965034965035,0,331,49,185,0
git@github.com:afragen/github-updater.git,2.8.1,5143,1530,381,2.24%,8.3241379310345,0,331,49,185,0
git@github.com:afragen/github-updater.git,2.9.0,3304,660,354,1.57%,8.2315789473684,0,331,49,106,0
git@github.com:afragen/github-updater.git,3.0.0,3687,794,374,1.49%,7.7614678899083,0,331,49,110,0
git@github.com:afragen/github-updater.git,3.0.1,3700,795,378,1.49%,7.7889908256881,0,331,49,111,0
git@github.com:afragen/github-updater.git,3.0.2,3697,795,378,1.49%,7.7798165137615,0,331,49,111,0
git@github.com:afragen/github-updater.git,3.0.3,3712,798,382,1.48%,7.7981651376147,0,331,49,112,0
git@github.com:afragen/github-updater.git,3.0.4,3716,798,383,1.48%,7.8165137614679,0,331,49,113,0
git@github.com:afragen/github-updater.git,3.0.5,3735,800,389,1.47%,7.8715596330275,0,331,49,113,0
git@github.com:afragen/github-updater.git,3.0.6,3733,800,387,1.47%,7.8715596330275,0,331,49,113,0
git@github.com:afragen/github-updater.git,3.0.7,3729,804,385,1.47%,7.8532110091743,0,331,49,113,0
git@github.com:afragen/github-updater.git,3.1.0,3732,794,395,1.47%,8.0185185185185,0,331,49,114,0
git@github.com:afragen/github-updater.git,3.1.1,3709,786,393,1.48%,8.0467289719626,0,331,49,114,0
git@github.com:afragen/github-updater.git,3.2.0,3766,794,395,1.46%,8.0366972477064,0,331,49,114,0
git@github.com:afragen/github-updater.git,3.2.1,3716,777,395,1.00%,8.1509433962264,0,331,49,112,0
git@github.com:afragen/github-updater.git,3.2.2,3710,777,398,1.00%,8.122641509434,0,331,49,112,0
git@github.com:afragen/github-updater.git,3.2.3,3710,777,398,1.00%,8.122641509434,0,331,49,112,0
git@github.com:afragen/github-updater.git,3.2.4,3710,777,398,1.00%,8.122641509434,0,331,49,112,0
git@github.com:afragen/github-updater.git,3.2.5,3710,777,398,1.00%,8.122641509434,0,331,49,112,0
git@github.com:afragen/github-updater.git,3.2.6,3710,777,398,1.00%,8.122641509434,0,331,49,112,0
git@github.com:afragen/github-updater.git,4.0.0,3735,808,387,0.99%,8.0377358490566,0,331,49,108,0
git@github.com:afragen/github-updater.git,4.0.1,3735,808,387,0.99%,8.0377358490566,0,331,49,108,0
git@github.com:afragen/github-updater.git,4.1.0,4202,994,427,0.88%,7.7692307692308,0,331,49,131,0
git@github.com:afragen/github-updater.git,4.1.1,4213,993,433,0.88%,7.7863247863248,0,331,49,135,0
git@github.com:afragen/github-updater.git,4.1.2,4225,996,435,0.88%,7.7372881355932,0,331,49,136,0
git@github.com:afragen/github-updater.git,4.1.3,4225,996,435,0.88%,7.7372881355932,0,331,49,136,0
git@github.com:afragen/github-updater.git,4.1.4,4276,1009,438,0.91%,7.7916666666667,0,331,49,136,0
git@github.com:afragen/github-updater.git,4.2.0,4293,1014,441,0.00%,7.7438016528926,0,331,49,136,0
git@github.com:afragen/github-updater.git,4.3.0,4713,1112,468,0.00%,7.4850746268657,0,331,49,148,0
git@github.com:afragen/github-updater.git,4.3.1,4729,1113,471,0.00%,7.5223880597015,0,331,49,149,0
git@github.com:afragen/github-updater.git,4.4.0,5340,1232,553,0.75%,7.9210526315789,0,331,49,180,0
git@github.com:afragen/github-updater.git,4.5.0,6073,1399,647,0.00%,8.0292397660819,0,331,49,226,0
git@github.com:afragen/github-updater.git,4.5.1,6070,1399,646,0.00%,8.0233918128655,0,331,49,226,0
git@github.com:afragen/github-updater.git,4.5.3,6043,1397,634,0.00%,8,0,331,49,205,0
git@github.com:afragen/github-updater.git,4.5.4,6061,1400,641,0.00%,8.0233918128655,0,331,49,206,0
git@github.com:afragen/github-updater.git,4.5.5,6072,1405,643,0.00%,8.0409356725146,0,331,49,207,0
git@github.com:afragen/github-updater.git,4.5.6,6077,1405,644,0.00%,8.046783625731,0,331,49,206,0
git@github.com:afragen/github-updater.git,4.5.7,6104,1408,655,0.00%,8.0818713450292,0,331,49,207,0
git@github.com:afragen/github-updater.git,4.6.0,6251,1433,695,0.62%,8.2068965517241,0,331,49,226,0
git@github.com:afragen/github-updater.git,4.6.1,6291,1438,702,0.62%,8.3045977011494,0,331,49,243,0
git@github.com:afragen/github-updater.git,4.6.2,6536,1561,721,0.60%,8.1270718232044,0,331,49,248,0
git@github.com:afragen/github-updater.git,5.0.0,6607,1574,716,0.59%,8.2032967032967,0,331,49,214,0
git@github.com:afragen/github-updater.git,5.0.1,7052,1628,749,0.55%,7.935,0,331,49,225,0
git@github.com:afragen/github-updater.git,5.1.0,7233,1687,762,0.54%,7.7867298578199,0,331,49,231,0
