repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:ag-grid/ag-grid.git,1.4.1,3263,0,33,0.00%,0,0,754,104,33,1
git@github.com:ag-grid/ag-grid.git,1.5.0,3455,0,32,0.00%,0,0,754,104,32,1
git@github.com:ag-grid/ag-grid.git,1.6.0,3647,0,34,0.00%,0,0,754,104,34,1
git@github.com:ag-grid/ag-grid.git,1.7.0,3807,0,34,0.00%,0,0,754,104,34,1
git@github.com:ag-grid/ag-grid.git,1.8.0,3933,0,34,0.00%,0,0,754,104,34,1
git@github.com:ag-grid/ag-grid.git,1.8.1,3933,0,34,0.00%,0,0,754,104,34,1
git@github.com:ag-grid/ag-grid.git,1.9.0,4278,0,36,0.00%,0,0,754,104,36,1
git@github.com:ag-grid/ag-grid.git,1.9.1,4278,0,36,0.00%,0,0,754,104,36,1
git@github.com:ag-grid/ag-grid.git,1.9.2,4278,0,36,0.00%,0,0,754,104,36,1
git@github.com:ag-grid/ag-grid.git,1.10.0,4498,0,36,0.00%,0,0,754,104,36,1
git@github.com:ag-grid/ag-grid.git,1.10.1,4498,0,36,0.00%,0,0,754,104,36,1
git@github.com:ag-grid/ag-grid.git,1.11.0,4713,0,37,0.00%,0,0,754,104,37,1
git@github.com:ag-grid/ag-grid.git,1.11.1,4713,0,37,0.00%,0,0,754,104,37,1
git@github.com:ag-grid/ag-grid.git,1.12.0,4903,0,38,0.00%,0,0,754,104,38,1
git@github.com:ag-grid/ag-grid.git,1.12.1,4921,0,38,0.00%,0,0,754,104,38,1
git@github.com:ag-grid/ag-grid.git,1.12.2,4921,0,38,0.00%,0,0,754,104,38,1
git@github.com:ag-grid/ag-grid.git,1.12.3,4921,0,38,0.00%,0,0,754,104,38,1
git@github.com:ag-grid/ag-grid.git,1.12.4,4852,0,38,0.00%,0,0,754,104,38,1
git@github.com:ag-grid/ag-grid.git,1.12.5,5023,0,39,0.00%,0,0,754,104,39,1
git@github.com:ag-grid/ag-grid.git,1.12.6,5033,0,39,0.00%,0,0,754,104,39,1
git@github.com:ag-grid/ag-grid.git,1.12.7,5057,0,39,0.00%,0,0,754,104,39,1
git@github.com:ag-grid/ag-grid.git,1.12.8,5056,0,39,0.00%,0,0,754,104,39,1
git@github.com:ag-grid/ag-grid.git,1.13.0,5245,0,41,0.00%,0,0,754,104,41,1
git@github.com:ag-grid/ag-grid.git,1.14.0,5526,0,41,0.00%,0,0,754,104,41,1
git@github.com:ag-grid/ag-grid.git,1.14.1,5534,0,41,0.00%,0,0,754,104,41,1
git@github.com:ag-grid/ag-grid.git,1.15.0,5591,0,42,0.00%,0,0,754,104,42,1
