repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:aimeos/aimeos-laravel.git,1.0.0,2503,575,44,0.00%,4.4155844155844,0,445,7,56,4
git@github.com:aimeos/aimeos-laravel.git,1.0.1,2503,574,44,0.00%,4.4285714285714,0,445,7,56,4
git@github.com:aimeos/aimeos-laravel.git,1.0.2,2513,574,44,0.00%,4.4285714285714,0,445,7,56,4
git@github.com:aimeos/aimeos-laravel.git,1.0.3,2516,575,45,0.00%,4.4155844155844,0,445,7,57,4
git@github.com:aimeos/aimeos-laravel.git,1.0.4,2544,580,50,0.00%,4.3846153846154,0,445,7,58,4
git@github.com:aimeos/aimeos-laravel.git,1.0.5,2544,580,50,0.00%,4.3846153846154,0,445,7,58,4
git@github.com:aimeos/aimeos-laravel.git,1.0.6,2544,580,50,0.00%,4.3846153846154,0,445,7,58,4
git@github.com:aimeos/aimeos-laravel.git,1.1.0,2554,580,50,0.00%,4.2597402597403,0,445,7,58,4
git@github.com:aimeos/aimeos-laravel.git,1.1.1,2554,580,50,0.00%,4.2597402597403,0,445,7,58,4
git@github.com:aimeos/aimeos-laravel.git,1.2.0,2634,595,54,0.00%,4.3205128205128,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,1.2.1,2653,595,54,0.00%,4.3205128205128,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,1.2.2,2655,595,54,0.00%,4.3333333333333,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,1.2.3,2655,595,54,0.00%,4.3333333333333,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,1.2.4,2672,595,54,0.00%,4.3333333333333,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,1.2.5,2672,595,54,0.00%,4.3333333333333,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,1.2.6,2672,595,54,0.00%,4.3333333333333,0,445,7,60,4
git@github.com:aimeos/aimeos-laravel.git,2016.10.1,4675,1042,98,0.00%,5.1372549019608,0,445,7,116,5
git@github.com:aimeos/aimeos-laravel.git,2016.10.2,4675,1042,98,0.00%,5.1372549019608,0,445,7,116,5
git@github.com:aimeos/aimeos-laravel.git,2016.10.3,4678,1042,98,0.00%,5.1503267973856,0,445,7,117,5
git@github.com:aimeos/aimeos-laravel.git,2016.10.4,4678,1042,98,0.00%,5.1503267973856,0,445,7,117,5
git@github.com:aimeos/aimeos-laravel.git,2017.10.1,4997,1137,106,0.00%,5.078313253012,0,445,7,104,5
git@github.com:aimeos/aimeos-laravel.git,2017.10.2,4997,1137,106,0.00%,5.078313253012,0,445,7,104,5
git@github.com:aimeos/aimeos-laravel.git,2017.10.3,4998,1137,107,0.00%,5.0843373493976,0,445,7,105,5
git@github.com:aimeos/aimeos-laravel.git,2017.10.4,4998,1137,107,0.00%,5.0843373493976,0,445,7,105,5
git@github.com:aimeos/aimeos-laravel.git,2018.10.1,4661,1086,99,0.00%,5.0451612903226,0,445,7,99,5
git@github.com:aimeos/aimeos-laravel.git,2018.10.2,4661,1086,99,0.00%,5.0451612903226,0,445,7,99,5
git@github.com:aimeos/aimeos-laravel.git,2018.10.3,4661,1086,99,0.00%,5.0451612903226,0,445,7,99,5
