repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:akaunting/akaunting.git,1.0.0,33402,5469,709,1.65%,3.8953168044077,0,513,36,568,145
git@github.com:akaunting/akaunting.git,1.0.1,33526,5482,717,1.64%,3.9147180192572,0,513,36,575,145
git@github.com:akaunting/akaunting.git,1.0.2,35954,5647,713,1.53%,3.9153005464481,0,513,36,585,145
git@github.com:akaunting/akaunting.git,1.0.3,36780,5689,740,1.50%,3.9222373806276,0,513,36,594,145
git@github.com:akaunting/akaunting.git,1.0.4,37702,5783,750,1.46%,3.9043126684636,0,513,36,598,145
git@github.com:akaunting/akaunting.git,1.0.5,39527,6011,807,0.78%,3.9479843953186,0,513,36,649,146
git@github.com:akaunting/akaunting.git,1.0.6,39404,6020,743,0.79%,3.9197368421053,0,513,36,651,146
git@github.com:akaunting/akaunting.git,1.0.7,40256,6130,747,0.77%,3.8809831824062,0,513,36,663,147
git@github.com:akaunting/akaunting.git,1.0.8,40570,6174,750,0.76%,3.922193877551,0,513,36,679,148
git@github.com:akaunting/akaunting.git,1.0.9,42059,6400,801,0.68%,3.9117647058824,0,513,36,698,150
git@github.com:akaunting/akaunting.git,1.0.10,42066,6401,806,0.68%,3.9142156862745,0,513,36,698,150
git@github.com:akaunting/akaunting.git,1.0.11,42327,6447,823,0.43%,3.9343065693431,0,513,36,708,150
git@github.com:akaunting/akaunting.git,1.0.12,42327,6447,823,0.43%,3.9343065693431,0,513,36,708,150
git@github.com:akaunting/akaunting.git,1.1.0,45567,7080,839,0.40%,3.926800472255,0,513,36,712,151
git@github.com:akaunting/akaunting.git,1.1.1,45847,7083,842,0.39%,3.9266272189349,0,513,36,719,151
git@github.com:akaunting/akaunting.git,1.1.2,46074,7117,849,0.39%,3.9411071849234,0,513,36,730,151
git@github.com:akaunting/akaunting.git,1.1.3,48286,7292,861,0.37%,3.938443670151,0,513,36,750,159
git@github.com:akaunting/akaunting.git,1.1.4,48309,7294,861,0.37%,3.943023255814,0,513,36,750,159
git@github.com:akaunting/akaunting.git,1.1.5,49594,7374,894,0.36%,4.0091954022989,0,513,36,781,159
git@github.com:akaunting/akaunting.git,1.1.6,50374,7415,895,0.36%,4.0103448275862,0,513,36,781,159
git@github.com:akaunting/akaunting.git,1.1.7,51988,7709,971,0.56%,4.1076233183857,0,513,36,846,159
git@github.com:akaunting/akaunting.git,1.1.8,54348,7834,974,0.59%,4.109865470852,0,513,36,846,159
git@github.com:akaunting/akaunting.git,1.1.9,54341,7833,973,0.59%,4.1076233183857,0,513,36,846,159
git@github.com:akaunting/akaunting.git,1.1.10,54359,7835,970,0.59%,4.1144781144781,0,513,36,849,159
git@github.com:akaunting/akaunting.git,1.1.11,54499,7850,976,0.59%,4.1175811870101,0,513,36,853,159
git@github.com:akaunting/akaunting.git,1.1.12,54512,7858,985,0.68%,4.0715859030837,0,513,36,864,159
git@github.com:akaunting/akaunting.git,1.1.13,54515,7855,986,0.68%,4.0737885462555,0,513,36,865,159
git@github.com:akaunting/akaunting.git,1.1.14,54997,7900,997,0.68%,4.057734204793,0,513,36,887,158
git@github.com:akaunting/akaunting.git,1.1.15,55884,7945,998,0.67%,4.0574837310195,0,513,36,883,158
git@github.com:akaunting/akaunting.git,1.2.0,64487,8441,1132,0.75%,4.1876923076923,0,513,36,976,176
git@github.com:akaunting/akaunting.git,1.2.1,64485,8441,1132,0.75%,4.1876923076923,0,513,36,976,176
git@github.com:akaunting/akaunting.git,1.2.2,65340,8479,1133,0.74%,4.1917948717949,0,513,36,976,176
git@github.com:akaunting/akaunting.git,1.2.3,65346,8480,1133,0.74%,4.1938461538462,0,513,36,977,176
git@github.com:akaunting/akaunting.git,1.2.4,66213,8544,1133,0.73%,4.1883316274309,0,513,36,978,176
git@github.com:akaunting/akaunting.git,1.2.5,66431,8600,1140,0.73%,4.1995926680244,0,513,36,987,176
git@github.com:akaunting/akaunting.git,1.2.6,66817,8627,1182,0.73%,4.2376137512639,0,513,36,1001,177
git@github.com:akaunting/akaunting.git,1.2.7,67685,8834,1217,0.72%,4.2562313060818,0,513,36,1040,177
git@github.com:akaunting/akaunting.git,1.2.8,69134,8941,1205,0.70%,4.158357771261,0,513,36,1054,177
git@github.com:akaunting/akaunting.git,1.2.9,69257,8941,1219,0.70%,4.177734375,0,513,36,1060,177
git@github.com:akaunting/akaunting.git,1.2.10,69414,8977,1229,0.65%,4.1643968871595,0,513,36,1080,177
git@github.com:akaunting/akaunting.git,1.2.11,69749,9049,1238,0.70%,4.1298076923077,0,513,36,1108,177
git@github.com:akaunting/akaunting.git,1.2.12,70143,9073,1256,0.70%,4.1218130311615,0,513,36,1151,177
git@github.com:akaunting/akaunting.git,1.2.13,72973,9197,1317,0.90%,4.3573407202216,0,513,36,1192,184
git@github.com:akaunting/akaunting.git,1.2.14,73041,9195,1321,0.90%,4.3477859778598,0,513,36,1189,184
git@github.com:akaunting/akaunting.git,1.2.15,73272,9230,1329,0.90%,4.3226691042048,0,513,36,1190,186
git@github.com:akaunting/akaunting.git,1.2.16,74209,9273,1330,0.94%,4.3141552511416,0,513,36,1187,186
git@github.com:akaunting/akaunting.git,1.3.0,89988,10096,1585,0.89%,4.1958997722096,0,513,36,1547,213
git@github.com:akaunting/akaunting.git,1.3.1,89830,10087,1574,0.93%,4.1541381928626,0,513,36,1544,214
git@github.com:akaunting/akaunting.git,1.3.2,91204,10178,1609,0.98%,4.1885369532428,0,513,36,1553,215
git@github.com:akaunting/akaunting.git,1.3.3,91215,10178,1609,0.98%,4.1885369532428,0,513,36,1553,215
git@github.com:akaunting/akaunting.git,1.3.4,91447,10181,1625,0.95%,4.2018072289157,0,513,36,1555,216
git@github.com:akaunting/akaunting.git,1.3.5,93316,10297,1650,0.87%,4.1892697466468,0,513,36,1571,216
git@github.com:akaunting/akaunting.git,1.3.6,93357,10305,1651,0.87%,4.1891288160834,0,513,36,1571,216
git@github.com:akaunting/akaunting.git,1.3.7,93470,10305,1654,0.87%,4.1816160118606,0,513,36,1583,216
git@github.com:akaunting/akaunting.git,1.3.8,93557,10313,1658,0.87%,4.1843079200592,0,513,36,1583,216
git@github.com:akaunting/akaunting.git,1.3.9,94633,10358,1659,0.83%,4.1870824053452,0,513,36,1585,216
