repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:anchorcms/anchor-cms.git,0.7.2,7460,548,651,1.26%,4.7441860465116,0,592,158,145,5
git@github.com:anchorcms/anchor-cms.git,0.8.1,12139,1539,664,2.83%,3.8700564971751,0,592,158,424,3
git@github.com:anchorcms/anchor-cms.git,0.8.2,11764,1459,679,2.13%,3.6402116402116,0,592,158,427,2
git@github.com:anchorcms/anchor-cms.git,0.8.3,11766,1461,679,2.12%,3.6402116402116,0,592,158,428,2
git@github.com:anchorcms/anchor-cms.git,0.9.1,14863,2586,737,0.22%,3.5308641975309,0,592,158,509,3
git@github.com:anchorcms/anchor-cms.git,0.9.2,13721,2489,742,0.24%,3.5232273838631,0,592,158,509,3
git@github.com:anchorcms/anchor-cms.git,0.9.3,14703,2572,750,0.22%,3.5388349514563,0,592,158,513,3
git@github.com:anchorcms/anchor-cms.git,0.12.1,15054,2274,1005,0.00%,3.5731414868106,0,592,158,545,3
git@github.com:anchorcms/anchor-cms.git,0.12.3,16263,2300,1064,0.20%,3.709219858156,0,592,158,593,3
git@github.com:anchorcms/anchor-cms.git,0.12.6,16260,2301,1065,0.00%,3.709219858156,0,592,158,596,3
git@github.com:anchorcms/anchor-cms.git,0.12.7,21675,5413,1068,0.21%,3.6386363636364,0,592,158,616,3
