repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:andersao/l5-repository.git,1.0.0,851,324,31,0.00%,3.25,0,611,79,59,0
git@github.com:andersao/l5-repository.git,1.0.1,851,324,31,0.00%,3.25,0,611,79,59,0
git@github.com:andersao/l5-repository.git,1.0.2,857,327,31,0.00%,3.1891891891892,0,611,79,59,0
git@github.com:andersao/l5-repository.git,1.0.3,1160,572,46,0.00%,3.3243243243243,0,611,79,18,0
git@github.com:andersao/l5-repository.git,1.0.4,1164,572,46,0.00%,3.3243243243243,0,611,79,19,0
git@github.com:andersao/l5-repository.git,2.0.0,1053,464,44,0.00%,3.0731707317073,0,611,79,18,0
git@github.com:andersao/l5-repository.git,2.0.1,1054,464,44,0.00%,3.0975609756098,0,611,79,18,0
git@github.com:andersao/l5-repository.git,2.0.2,1106,478,48,0.00%,3.1395348837209,0,611,79,21,0
git@github.com:andersao/l5-repository.git,2.0.3,1138,495,53,0.00%,3.1590909090909,0,611,79,21,0
git@github.com:andersao/l5-repository.git,2.0.4,1221,538,57,0.00%,3.1702127659574,0,611,79,23,0
git@github.com:andersao/l5-repository.git,2.0.5,1237,538,59,0.00%,3.2340425531915,0,611,79,23,0
git@github.com:andersao/l5-repository.git,2.0.6,1303,547,69,0.00%,3.3469387755102,0,611,79,30,0
git@github.com:andersao/l5-repository.git,2.0.7,1303,547,69,0.00%,3.3469387755102,0,611,79,30,0
git@github.com:andersao/l5-repository.git,2.0.8,1323,559,69,0.00%,3.32,0,611,79,32,0
git@github.com:andersao/l5-repository.git,2.0.9,1384,586,69,0.00%,3.188679245283,0,611,79,32,0
git@github.com:andersao/l5-repository.git,2.0.10,1397,586,69,0.00%,3.3018867924528,0,611,79,32,0
git@github.com:andersao/l5-repository.git,2.0.11,2565,1124,101,0.00%,2.3893129770992,0,611,79,41,0
git@github.com:andersao/l5-repository.git,2.0.12,2581,1127,101,0.00%,2.4469696969697,0,611,79,42,0
git@github.com:andersao/l5-repository.git,2.0.13,2581,1127,101,0.00%,2.4469696969697,0,611,79,42,0
git@github.com:andersao/l5-repository.git,2.0.14,3337,1436,136,0.00%,2.562091503268,0,611,79,52,0
git@github.com:andersao/l5-repository.git,2.1.0,3473,1480,147,0.00%,2.4285714285714,0,611,79,54,0
git@github.com:andersao/l5-repository.git,2.1.1,3496,1480,147,0.00%,2.4285714285714,0,611,79,54,0
git@github.com:andersao/l5-repository.git,2.1.2,3814,1612,150,0.00%,2.3609467455621,0,611,79,54,0
git@github.com:andersao/l5-repository.git,2.1.3,3863,1632,152,0.00%,2.4035087719298,0,611,79,54,0
git@github.com:andersao/l5-repository.git,2.1.4,4027,1694,158,0.00%,2.4230769230769,0,611,79,57,0
git@github.com:andersao/l5-repository.git,2.1.5,4048,1710,158,0.00%,2.4230769230769,0,611,79,57,0
git@github.com:andersao/l5-repository.git,2.1.6,4077,1718,160,0.00%,2.4184782608696,0,611,79,57,0
git@github.com:andersao/l5-repository.git,2.1.7,4181,1764,162,0.00%,2.4210526315789,0,611,79,57,0
git@github.com:andersao/l5-repository.git,2.1.8,4716,1912,180,0.00%,2.4928909952607,0,611,79,62,1
git@github.com:andersao/l5-repository.git,2.2.0,5408,2177,196,0.00%,2.5274261603376,0,611,79,77,0
git@github.com:andersao/l5-repository.git,2.2.1,5420,2187,196,0.00%,2.5274261603376,0,611,79,77,0
git@github.com:andersao/l5-repository.git,2.2.2,5677,2253,196,0.00%,2.5274261603376,0,611,79,82,0
git@github.com:andersao/l5-repository.git,2.2.3,5684,2253,196,0.00%,2.5527426160338,0,611,79,82,0
git@github.com:andersao/l5-repository.git,2.2.4,5677,2253,196,0.00%,2.5274261603376,0,611,79,82,0
git@github.com:andersao/l5-repository.git,2.3.0,5695,2253,199,0.00%,2.5274261603376,0,611,79,85,0
git@github.com:andersao/l5-repository.git,2.4.0,5744,2268,202,0.00%,2.5420168067227,0,611,79,92,0
git@github.com:andersao/l5-repository.git,2.5.0,5779,2282,204,0.00%,2.5420168067227,0,611,79,99,0
