repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:apiato/apiato.git,v1.0.0,15644,6521,200,0.00%,2.3091787439614,0,275,38,316,4
git@github.com:apiato/apiato.git,v1.0.1,15660,6484,198,0.00%,2.3470873786408,0,275,38,315,4
git@github.com:apiato/apiato.git,v1.0.2,16810,7043,220,0.00%,2.3194444444444,0,275,38,319,4
git@github.com:apiato/apiato.git,v1.1.0,17185,7190,223,0.00%,2.2988764044944,0,275,38,324,4
git@github.com:apiato/apiato.git,v2.0.0,18444,7669,233,0.00%,2.3102725366876,0,275,38,338,5
git@github.com:apiato/apiato.git,v2.0.1,19260,8079,233,0.00%,2.2969696969697,0,275,38,336,5
git@github.com:apiato/apiato.git,v2.0.2,19280,8008,243,0.00%,2.3704453441296,0,275,38,335,5
git@github.com:apiato/apiato.git,v2.1.0,19020,7901,241,0.00%,2.3958762886598,0,275,38,334,5
git@github.com:apiato/apiato.git,v2.2.0,19610,8161,242,0.11%,2.4917695473251,0,275,38,352,5
git@github.com:apiato/apiato.git,v2.3.0,20147,8417,249,0.10%,2.4108527131783,0,275,38,355,5
git@github.com:apiato/apiato.git,v2.3.1,20302,8471,250,0.10%,2.4007707129094,0,275,38,356,5
git@github.com:apiato/apiato.git,v2.4.0,20457,8512,254,0.10%,2.4090909090909,0,275,38,358,5
git@github.com:apiato/apiato.git,v2.4.1,20851,8694,267,0.10%,2.3806921675774,0,275,38,360,5
git@github.com:apiato/apiato.git,v2.4.2,21581,8899,261,0.10%,2.3801801801802,0,275,38,365,5
git@github.com:apiato/apiato.git,v3.0.0,21012,8611,265,0.10%,2.4328922495274,0,275,38,366,5
git@github.com:apiato/apiato.git,v3.0.1,21166,8660,268,0.10%,2.4333333333333,0,275,38,352,5
git@github.com:apiato/apiato.git,v3.0.2,21205,8793,274,0.10%,2.4171322160149,0,275,38,346,5
git@github.com:apiato/apiato.git,v4.0.0,20517,8451,271,0.10%,2.4183864915572,0,275,38,337,4
git@github.com:apiato/apiato.git,v4.0.1,20269,8296,271,0.10%,2.4745098039216,0,275,38,330,4
git@github.com:apiato/apiato.git,v4.0.2,20318,8319,273,0.10%,2.4765625,0,275,38,330,4
git@github.com:apiato/apiato.git,v4.1.0,21244,8710,291,0.10%,2.567619047619,0,275,38,382,4
git@github.com:apiato/apiato.git,v4.1.1,21229,8691,289,0.10%,2.5954198473282,0,275,38,387,4
git@github.com:apiato/apiato.git,v4.1.2,20847,8153,292,0.10%,2.5647279549719,0,275,38,389,4
git@github.com:apiato/apiato.git,v4.1.3,20990,8223,292,0.10%,2.5619223659889,0,275,38,394,4
git@github.com:apiato/apiato.git,v4.1.4,22010,8604,302,0.10%,2.5200698080279,0,275,38,410,4
git@github.com:apiato/apiato.git,v5.0.0,16620,6410,99,0.13%,2.4837837837838,0,275,38,300,4
git@github.com:apiato/apiato.git,v5.0.1,16667,6440,99,0.13%,2.4797843665768,0,275,38,300,4
git@github.com:apiato/apiato.git,v5.0.2,16672,6440,100,0.13%,2.4824797843666,0,275,38,301,4
git@github.com:apiato/apiato.git,v5.0.3,16697,6451,100,0.13%,2.4758064516129,0,275,38,301,4
