repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:avalanche123/Imagine.git,v0.1.0,7295,2180,234,0.75%,3.9273356401384,0,501,126,584,0
git@github.com:avalanche123/Imagine.git,v0.1.1,7295,2180,234,0.75%,3.9273356401384,0,501,126,584,0
git@github.com:avalanche123/Imagine.git,v0.1.2,7320,2180,235,0.75%,3.948275862069,0,501,126,584,0
git@github.com:avalanche123/Imagine.git,v0.1.3,7490,2336,235,0.73%,3.948275862069,0,501,126,584,0
git@github.com:avalanche123/Imagine.git,v0.1.4,7499,2336,236,0.73%,3.9415807560137,0,501,126,584,0
git@github.com:avalanche123/Imagine.git,v0.1.5,7498,2336,236,0.73%,3.9415807560137,0,501,126,584,0
git@github.com:avalanche123/Imagine.git,v0.2.0,8188,2556,269,0.67%,3.8969696969697,0,501,126,612,0
git@github.com:avalanche123/Imagine.git,v0.2.1,8279,2598,269,0.66%,3.8660714285714,0,501,126,623,0
git@github.com:avalanche123/Imagine.git,v0.2.2,8279,2598,269,0.66%,3.8660714285714,0,501,126,623,0
git@github.com:avalanche123/Imagine.git,v0.2.3,8284,2600,269,0.66%,3.8660714285714,0,501,126,623,0
git@github.com:avalanche123/Imagine.git,v0.2.4,8367,2612,261,0.66%,3.7877906976744,0,501,126,620,0
git@github.com:avalanche123/Imagine.git,0.2.4,8303,2600,271,0.66%,3.8660714285714,0,501,126,623,0
git@github.com:avalanche123/Imagine.git,v0.2.5,8421,2615,262,0.65%,3.7723342939481,0,501,126,620,0
git@github.com:avalanche123/Imagine.git,v0.2.6,8515,2648,265,0.65%,3.7742857142857,0,501,126,620,0
git@github.com:avalanche123/Imagine.git,v0.2.7,8515,2648,265,0.65%,3.7742857142857,0,501,126,620,0
git@github.com:avalanche123/Imagine.git,v0.2.8,8515,2648,265,0.65%,3.7742857142857,0,501,126,620,0
git@github.com:avalanche123/Imagine.git,v0.3.0,9687,2825,316,0.56%,3.7745098039216,0,501,126,735,0
git@github.com:avalanche123/Imagine.git,v0.3.1,9921,3009,317,0.54%,3.7839805825243,0,501,126,737,0
git@github.com:avalanche123/Imagine.git,v0.4.0,10785,3227,347,0.50%,3.5974576271186,0,501,126,787,0
git@github.com:avalanche123/Imagine.git,v0.4.1,10788,3227,348,0.50%,3.5974576271186,0,501,126,787,0
git@github.com:avalanche123/Imagine.git,v0.5.0,12126,3489,419,0.84%,3.6373626373626,0,501,126,851,0
git@github.com:avalanche123/Imagine.git,v0.6.0,16107,4643,614,0.32%,3.3832487309645,0,501,126,1016,0
git@github.com:avalanche123/Imagine.git,v0.6.1,16116,4643,614,0.32%,3.382762991128,0,501,126,1016,0
git@github.com:avalanche123/Imagine.git,0.6.2,16310,4728,618,0.32%,3.3902743142145,0,501,126,1013,0
git@github.com:avalanche123/Imagine.git,v0.6.3,16373,4744,628,0.32%,3.4037267080745,0,501,126,1020,0
git@github.com:avalanche123/Imagine.git,v0.7.0,16473,4752,640,0.32%,3.4331683168317,0,501,126,1051,0
git@github.com:avalanche123/Imagine.git,v0.7.1,16473,4752,640,0.32%,3.4331683168317,0,501,126,1051,0
git@github.com:avalanche123/Imagine.git,1.0.0,22147,7426,1010,0.70%,3.6476091476091,0,501,126,1345,0
git@github.com:avalanche123/Imagine.git,1.0.1,22170,7433,1010,0.69%,3.643153526971,0,501,126,1345,0
git@github.com:avalanche123/Imagine.git,1.0.2,22173,7434,1011,0.69%,3.6441908713693,0,501,126,1345,0
git@github.com:avalanche123/Imagine.git,1.1.0,22185,7439,1012,0.69%,3.6483402489627,0,501,126,1345,0
git@github.com:avalanche123/Imagine.git,1.2.0,22306,7480,1017,0.69%,3.6295149638803,0,501,126,1350,0
