repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:aws/aws-sdk-php.git,2.0.0,45443,13804,669,9.98%,4.0263929618768,0,835,131,1295,0
git@github.com:aws/aws-sdk-php.git,2.0.1,45855,13915,678,9.89%,4.0368932038835,0,835,131,1306,0
git@github.com:aws/aws-sdk-php.git,2.0.2,46443,14034,691,9.78%,4.1023923444976,0,835,131,1359,0
git@github.com:aws/aws-sdk-php.git,2.0.3,50380,14554,734,9.28%,4.2322946175637,0,835,131,1422,0
git@github.com:aws/aws-sdk-php.git,2.1.0,84598,17536,816,11.40%,4.3286590709904,0,835,131,1531,0
git@github.com:aws/aws-sdk-php.git,2.1.1,112053,21346,850,11.06%,4.3610197368421,0,835,131,1615,0
git@github.com:aws/aws-sdk-php.git,2.1.2,116581,21615,851,11.04%,4.3518821603928,0,835,131,1618,0
git@github.com:aws/aws-sdk-php.git,2.2.0,134592,23791,873,10.79%,4.4185667752443,0,835,131,1655,0
git@github.com:aws/aws-sdk-php.git,2.2.1,136023,24205,888,10.74%,4.3954222573007,0,835,131,1670,0
git@github.com:aws/aws-sdk-php.git,2.3.0,142987,25281,969,11.95%,4.4176300578035,0,835,131,1827,0
git@github.com:aws/aws-sdk-php.git,2.3.1,144690,25529,973,11.80%,4.4219197707736,0,835,131,1830,0
git@github.com:aws/aws-sdk-php.git,2.3.2,146664,25633,977,12.32%,4.424091233072,0,835,131,1834,0
git@github.com:aws/aws-sdk-php.git,2.3.3,146946,25706,977,12.29%,4.4163701067616,0,835,131,1833,0
git@github.com:aws/aws-sdk-php.git,2.3.4,146998,25722,976,12.28%,4.4200426439232,0,835,131,1836,0
git@github.com:aws/aws-sdk-php.git,2.4.0,158558,27142,1088,14.12%,4.3274111675127,0,835,131,2419,0
git@github.com:aws/aws-sdk-php.git,2.4.1,148546,27231,1096,12.80%,4.3249370277078,0,835,131,2452,0
git@github.com:aws/aws-sdk-php.git,2.4.2,149995,27321,1119,12.77%,4.31125,0,835,131,2491,0
git@github.com:aws/aws-sdk-php.git,2.4.3,150154,26603,1118,12.77%,4.3066418373681,0,835,131,2503,0
git@github.com:aws/aws-sdk-php.git,2.4.4,150532,26671,1128,12.74%,4.3163076923077,0,835,131,2521,0
git@github.com:aws/aws-sdk-php.git,2.4.5,151160,26727,1128,12.78%,4.3163076923077,0,835,131,2521,0
git@github.com:aws/aws-sdk-php.git,2.4.6,151483,26735,1130,12.76%,4.3154981549816,0,835,131,2521,0
git@github.com:aws/aws-sdk-php.git,2.4.7,153611,26817,1133,13.21%,4.3144615384615,0,835,131,2526,0
git@github.com:aws/aws-sdk-php.git,2.4.8,155246,27017,1132,13.15%,4.3154651879236,0,835,131,2527,0
git@github.com:aws/aws-sdk-php.git,2.4.9,156528,27054,1131,13.16%,4.3154651879236,0,835,131,2527,0
git@github.com:aws/aws-sdk-php.git,2.4.10,160106,27922,1134,13.03%,4.316758747698,0,835,131,2534,0
git@github.com:aws/aws-sdk-php.git,2.4.11,159961,27974,1134,13.02%,4.3151440833844,0,835,131,2534,0
git@github.com:aws/aws-sdk-php.git,2.4.12,162152,28517,1171,13.02%,4.2998204667864,0,835,131,2554,0
git@github.com:aws/aws-sdk-php.git,2.5.0,162763,28572,1195,13.11%,4.2941176470588,0,835,131,2602,0
git@github.com:aws/aws-sdk-php.git,2.5.1,163085,28597,1207,13.08%,4.2839578454333,0,835,131,2618,0
git@github.com:aws/aws-sdk-php.git,2.5.2,163340,28620,1215,13.06%,4.2886297376093,0,835,131,2638,0
git@github.com:aws/aws-sdk-php.git,2.5.3,163373,28632,1214,13.12%,4.2823939570017,0,835,131,2641,0
git@github.com:aws/aws-sdk-php.git,2.5.4,163856,28671,1227,13.12%,4.2829971181556,0,835,131,2650,0
git@github.com:aws/aws-sdk-php.git,2.6.0,167853,28697,1227,13.58%,4.2829971181556,0,835,131,2650,0
git@github.com:aws/aws-sdk-php.git,2.6.1,168917,28766,1250,13.67%,4.286941580756,0,835,131,2656,0
git@github.com:aws/aws-sdk-php.git,2.6.2,169108,28771,1248,13.69%,4.2826086956522,0,835,131,2649,0
git@github.com:aws/aws-sdk-php.git,2.6.3,169089,28769,1250,13.65%,4.2864493996569,0,835,131,2651,0
git@github.com:aws/aws-sdk-php.git,2.6.4,169214,28765,1250,13.67%,4.2994285714286,0,835,131,2648,0
git@github.com:aws/aws-sdk-php.git,2.6.5,169826,28826,1258,13.63%,4.2959183673469,0,835,131,2663,0
git@github.com:aws/aws-sdk-php.git,2.6.6,169863,28825,1256,13.63%,4.2959183673469,0,835,131,2663,0
git@github.com:aws/aws-sdk-php.git,2.6.7,170322,28841,1265,13.66%,4.2895033860045,0,835,131,2671,0
git@github.com:aws/aws-sdk-php.git,2.6.8,170850,28853,1266,13.83%,4.2923250564334,0,835,131,2673,0
git@github.com:aws/aws-sdk-php.git,2.6.9,171664,28916,1274,13.90%,4.2945474985947,0,835,131,2682,0
git@github.com:aws/aws-sdk-php.git,2.6.10,171691,28916,1272,13.90%,4.2962338392355,0,835,131,2685,0
git@github.com:aws/aws-sdk-php.git,2.6.11,175383,29082,1280,13.71%,4.2842046718576,0,835,131,2705,0
git@github.com:aws/aws-sdk-php.git,2.6.12,175881,29091,1286,13.69%,4.2838888888889,0,835,131,2715,0
git@github.com:aws/aws-sdk-php.git,2.6.13,178850,29160,1298,13.96%,4.2798672566372,0,835,131,2724,0
git@github.com:aws/aws-sdk-php.git,2.6.14,179048,29147,1295,13.94%,4.2798672566372,0,835,131,2724,0
git@github.com:aws/aws-sdk-php.git,2.6.15,179153,29130,1296,13.94%,4.2563117453348,0,835,131,2733,0
git@github.com:aws/aws-sdk-php.git,2.6.16,179559,29134,1304,13.92%,4.253428414701,0,835,131,2735,0
git@github.com:aws/aws-sdk-php.git,2.7.0,175922,29174,1325,12.76%,4.2579408543264,0,835,131,2785,0
git@github.com:aws/aws-sdk-php.git,2.7.1,176443,29170,1325,12.95%,4.2584884994524,0,835,131,2786,0
git@github.com:aws/aws-sdk-php.git,2.7.2,177627,29193,1332,13.01%,4.2528672856363,0,835,131,2792,0
git@github.com:aws/aws-sdk-php.git,2.7.3,179004,29206,1331,13.11%,4.2543668122271,0,835,131,2793,0
git@github.com:aws/aws-sdk-php.git,2.7.4,185068,29436,1334,12.99%,4.238894907909,0,835,131,2802,0
git@github.com:aws/aws-sdk-php.git,2.7.5,186071,29501,1334,12.94%,4.2323068611561,0,835,131,2805,0
git@github.com:aws/aws-sdk-php.git,2.7.6,186984,29506,1334,13.08%,4.235167206041,0,835,131,2812,0
git@github.com:aws/aws-sdk-php.git,2.7.7,188912,29603,1367,13.41%,4.2384,0,835,131,2869,0
git@github.com:aws/aws-sdk-php.git,2.7.8,189370,29609,1367,13.40%,4.2384,0,835,131,2869,0
