repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:barryvdh/laravel-cors.git,v0.1.1,342,71,34,0.00%,5.5555555555556,0,361,47,23,0
git@github.com:barryvdh/laravel-cors.git,v0.1.2,343,72,34,0.00%,5.4444444444444,0,361,47,23,0
git@github.com:barryvdh/laravel-cors.git,v0.2.0,147,44,10,0.00%,5.3333333333333,0,361,47,8,0
git@github.com:barryvdh/laravel-cors.git,v0.2.1,147,44,11,0.00%,5.3333333333333,0,361,47,10,0
git@github.com:barryvdh/laravel-cors.git,v0.2.2,152,46,13,0.00%,5.6666666666667,0,361,47,10,0
git@github.com:barryvdh/laravel-cors.git,v0.2.3,152,46,13,0.00%,5.6666666666667,0,361,47,10,0
git@github.com:barryvdh/laravel-cors.git,v0.3.0,213,65,15,0.00%,4.2,0,361,47,9,0
git@github.com:barryvdh/laravel-cors.git,v0.4.0,173,52,13,0.00%,5,0,361,47,3,0
git@github.com:barryvdh/laravel-cors.git,v0.5.0,175,59,13,0.00%,4,0,361,47,3,0
git@github.com:barryvdh/laravel-cors.git,v0.6.0,173,52,13,0.00%,5,0,361,47,3,0
git@github.com:barryvdh/laravel-cors.git,v0.7.0,154,50,5,0.00%,2.1428571428571,0,361,47,3,0
git@github.com:barryvdh/laravel-cors.git,v0.7.1,231,76,7,0.00%,2.375,0,361,47,6,0
git@github.com:barryvdh/laravel-cors.git,v0.7.2,231,76,7,0.00%,2.375,0,361,47,6,0
git@github.com:barryvdh/laravel-cors.git,v0.7.3,217,71,6,0.00%,2,0,361,47,3,0
git@github.com:barryvdh/laravel-cors.git,v0.8.0,941,189,35,0.00%,4.0943396226415,0,361,47,86,0
git@github.com:barryvdh/laravel-cors.git,v0.8.1,943,189,35,0.00%,4.1132075471698,0,361,47,85,0
git@github.com:barryvdh/laravel-cors.git,v0.8.2,1298,213,58,0.00%,3.7222222222222,0,361,47,91,0
git@github.com:barryvdh/laravel-cors.git,v0.8.3,1305,212,59,0.00%,3.75,0,361,47,93,0
git@github.com:barryvdh/laravel-cors.git,v0.8.5,1311,212,61,0.00%,3.7777777777778,0,361,47,94,0
git@github.com:barryvdh/laravel-cors.git,v0.8.6,1305,212,59,0.00%,3.75,0,361,47,93,0
git@github.com:barryvdh/laravel-cors.git,v0.9.0,1809,227,71,0.00%,3.6181818181818,0,361,47,135,0
git@github.com:barryvdh/laravel-cors.git,v0.9.1,1823,231,71,0.00%,3.5945945945946,0,361,47,135,0
git@github.com:barryvdh/laravel-cors.git,v0.9.2,1829,230,71,0.00%,3.5945945945946,0,361,47,136,0
git@github.com:barryvdh/laravel-cors.git,v0.9.3,1896,244,71,0.00%,3.5701754385965,0,361,47,137,0
git@github.com:barryvdh/laravel-cors.git,v0.10.0,1828,221,67,0.00%,3.5675675675676,0,361,47,134,0
git@github.com:barryvdh/laravel-cors.git,v0.10.1,1845,224,67,0.00%,3.5309734513274,0,361,47,135,0
git@github.com:barryvdh/laravel-cors.git,v0.11.0,843,106,18,0.00%,2.9583333333333,0,361,47,40,0
git@github.com:barryvdh/laravel-cors.git,v0.11.1,837,106,18,0.00%,2.9583333333333,0,361,47,40,0
git@github.com:barryvdh/laravel-cors.git,v0.11.2,837,106,18,0.00%,2.9583333333333,0,361,47,40,0
