repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:barryvdh/laravel-debugbar.git,v0.1.0,1081,320,67,0.00%,2.0769230769231,0,864,109,23,0
git@github.com:barryvdh/laravel-debugbar.git,v0.3.1,1463,429,93,0.00%,2.4769230769231,0,864,109,39,0
git@github.com:barryvdh/laravel-debugbar.git,v0.3.2,1496,435,97,0.00%,2.530303030303,0,864,109,42,0
git@github.com:barryvdh/laravel-debugbar.git,v1.0.1,1591,396,68,0.00%,2.6896551724138,0,864,109,26,0
git@github.com:barryvdh/laravel-debugbar.git,v1.0.2,1591,396,68,0.00%,2.6896551724138,0,864,109,26,0
git@github.com:barryvdh/laravel-debugbar.git,v1.0.3,1551,459,100,0.00%,2.6521739130435,0,864,109,43,0
git@github.com:barryvdh/laravel-debugbar.git,v1.0.4,1547,445,101,0.00%,2.6666666666667,0,864,109,45,0
git@github.com:barryvdh/laravel-debugbar.git,v1.1.1,1545,445,102,0.00%,2.695652173913,0,864,109,45,0
git@github.com:barryvdh/laravel-debugbar.git,v1.1.2,1551,448,102,0.00%,2.7101449275362,0,864,109,45,0
git@github.com:barryvdh/laravel-debugbar.git,v1.1.3,1553,449,102,0.00%,2.7101449275362,0,864,109,45,0
git@github.com:barryvdh/laravel-debugbar.git,v1.1.4,1609,463,111,0.00%,2.7464788732394,0,864,109,43,0
git@github.com:barryvdh/laravel-debugbar.git,v1.1.5,1638,478,109,0.00%,2.7397260273973,0,864,109,52,0
git@github.com:barryvdh/laravel-debugbar.git,v1.2.1,1940,527,145,0.00%,2.8452380952381,0,864,109,78,0
git@github.com:barryvdh/laravel-debugbar.git,v1.2.2,2072,573,152,0.00%,2.7777777777778,0,864,109,80,0
git@github.com:barryvdh/laravel-debugbar.git,v1.2.3,2080,573,155,0.00%,2.7444444444444,0,864,109,80,0
git@github.com:barryvdh/laravel-debugbar.git,v1.3.1,2253,609,165,0.00%,2.7959183673469,0,864,109,85,0
git@github.com:barryvdh/laravel-debugbar.git,v1.4.1,2255,609,166,0.00%,2.7959183673469,0,864,109,86,0
git@github.com:barryvdh/laravel-debugbar.git,v1.4.2,2255,609,166,0.00%,2.7959183673469,0,864,109,86,0
git@github.com:barryvdh/laravel-debugbar.git,v1.4.3,2255,609,166,0.00%,2.7959183673469,0,864,109,86,0
git@github.com:barryvdh/laravel-debugbar.git,v1.5.0,2232,600,165,0.00%,2.84375,0,864,109,81,0
git@github.com:barryvdh/laravel-debugbar.git,v1.5.1,2230,601,165,0.00%,2.84375,0,864,109,81,0
git@github.com:barryvdh/laravel-debugbar.git,v1.5.2,2228,596,165,0.00%,2.8247422680412,0,864,109,80,0
git@github.com:barryvdh/laravel-debugbar.git,v1.5.3,2178,587,164,0.00%,2.8297872340426,0,864,109,80,0
git@github.com:barryvdh/laravel-debugbar.git,v1.5.4,2173,587,164,0.00%,2.8297872340426,0,864,109,80,0
git@github.com:barryvdh/laravel-debugbar.git,v1.5.5,2141,582,166,0.00%,2.9340659340659,0,864,109,84,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.0,2192,584,174,0.00%,2.8913043478261,0,864,109,123,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.1,2194,584,175,0.00%,2.8913043478261,0,864,109,125,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.2,2202,585,175,0.00%,2.8913043478261,0,864,109,128,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.3,2217,598,175,0.00%,2.9021739130435,0,864,109,128,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.4,2303,615,186,0.00%,2.8586956521739,0,864,109,134,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.5,2303,612,186,0.00%,2.8913043478261,0,864,109,137,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.6,2369,637,193,0.00%,2.9166666666667,0,864,109,140,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.7,2593,693,203,0.00%,2.8545454545455,0,864,109,171,0
git@github.com:barryvdh/laravel-debugbar.git,v1.6.8,2686,721,221,0.00%,2.9035087719298,0,864,109,182,0
git@github.com:barryvdh/laravel-debugbar.git,v1.7.0,2947,786,230,0.00%,2.937984496124,0,864,109,185,0
git@github.com:barryvdh/laravel-debugbar.git,v1.7.1,2988,804,235,0.00%,2.9692307692308,0,864,109,187,0
git@github.com:barryvdh/laravel-debugbar.git,v1.7.2,2968,801,235,0.00%,2.9453125,0,864,109,187,0
