repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:barryvdh/laravel-ide-helper.git,v1.0.0,817,166,113,0.00%,10.578947368421,0,754,124,54,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.0.1,847,190,113,0.00%,10.578947368421,0,754,124,54,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.0.2,866,208,113,0.00%,10.578947368421,0,754,124,55,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.0.3,892,208,120,0.00%,11.105263157895,0,754,124,55,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.0.4,920,208,125,0.00%,11.631578947368,0,754,124,57,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.1.0,920,208,125,0.00%,11.631578947368,0,754,124,57,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.1.1,923,208,126,0.00%,11.684210526316,0,754,124,58,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.1.2,928,208,127,0.00%,11.894736842105,0,754,124,58,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.1.3,929,208,129,0.00%,11.894736842105,0,754,124,59,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.2.0,926,208,127,0.00%,11.789473684211,0,754,124,59,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.2.1,950,234,127,0.00%,11.684210526316,0,754,124,60,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.3.0,950,234,127,0.00%,11.684210526316,0,754,124,60,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.3.1,936,230,125,0.00%,11.368421052632,0,754,124,60,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.3.2,936,230,124,0.00%,11.368421052632,0,754,124,60,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.4.0,892,202,120,0.00%,8.9166666666667,0,754,124,66,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.5.0,962,233,123,0.00%,9.24,0,754,124,67,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.5.1,950,233,121,0.00%,8.92,0,754,124,67,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.5.2,955,233,122,0.00%,9,0,754,124,68,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.6.0,1001,241,126,0.00%,9.0384615384615,0,754,124,69,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.6.1,1001,241,126,0.00%,9.0384615384615,0,754,124,69,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.7.0,1045,253,135,0.00%,9.2962962962963,0,754,124,77,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.7.1,1058,253,138,0.00%,9.5185185185185,0,754,124,79,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.7.2,1001,241,126,0.00%,9.0384615384615,0,754,124,69,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.8.0,1059,253,138,0.00%,9.5185185185185,0,754,124,79,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.8.1,1065,254,139,0.00%,9.5925925925926,0,754,124,80,0
git@github.com:barryvdh/laravel-ide-helper.git,v1.9.0,1120,267,147,0.00%,10.222222222222,0,754,124,100,0
