repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:bcit-ci/CodeIgniter.git,v2.0.3,47394,17919,3888,4.96%,4.9449465899753,0,7621,600,2423,1
git@github.com:bcit-ci/CodeIgniter.git,v2.1.0,51164,19726,4130,5.89%,4.8765989465764,0,7621,600,2523,1
git@github.com:bcit-ci/CodeIgniter.git,2.1.1,51392,19776,4167,5.86%,4.9024024024024,0,7621,600,2541,1
git@github.com:bcit-ci/CodeIgniter.git,2.1.2,51403,19776,4166,5.86%,4.9009009009009,0,7621,600,2541,1
git@github.com:bcit-ci/CodeIgniter.git,2.1.3,51391,19771,4163,5.86%,4.8971471471471,0,7621,600,2544,1
git@github.com:bcit-ci/CodeIgniter.git,2.1.4,51391,19771,4163,5.86%,4.8971471471471,0,7621,600,2544,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.0,51337,19745,4162,5.63%,4.8978211870774,0,7621,600,2539,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.1,51410,19818,4170,5.62%,4.9097744360902,0,7621,600,2545,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.2,51416,19822,4171,5.61%,4.909022556391,0,7621,600,2543,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.3,51405,19822,4168,5.62%,4.9075187969925,0,7621,600,2540,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.4,51405,19822,4168,5.62%,4.9075187969925,0,7621,600,2540,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.5,51420,19824,4172,5.62%,4.9112114371708,0,7621,600,2543,1
git@github.com:bcit-ci/CodeIgniter.git,2.2.6,51526,19842,4186,5.61%,4.915726109857,0,7621,600,2547,1
git@github.com:bcit-ci/CodeIgniter.git,3.0.0,67005,29588,5424,4.13%,4.8391793514229,0,7621,600,3182,0
git@github.com:bcit-ci/CodeIgniter.git,3.0.1,67250,29634,5480,4.12%,4.8776455026455,0,7621,600,3205,0
git@github.com:bcit-ci/CodeIgniter.git,3.0.2,67298,29646,5512,4.12%,4.8775645268034,0,7621,600,3211,0
git@github.com:bcit-ci/CodeIgniter.git,3.0.3,67224,29620,5474,4.13%,4.8474240422721,0,7621,600,3218,0
git@github.com:bcit-ci/CodeIgniter.git,3.0.4,67592,29710,5511,4.08%,4.866930171278,0,7621,600,3240,0
git@github.com:bcit-ci/CodeIgniter.git,3.0.5,67775,29782,5529,4.07%,4.8667104399212,0,7621,600,3235,0
git@github.com:bcit-ci/CodeIgniter.git,3.0.6,67853,29814,5531,4.06%,4.8629508196721,0,7621,600,3237,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.0,68051,29804,5581,4.21%,4.9016393442623,0,7621,600,3269,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.1,67939,29791,5525,4.22%,4.8961463096016,0,7621,600,3227,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.2,68225,29920,5561,4.20%,4.8890330953926,0,7621,600,3233,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.3,68213,29932,5559,4.15%,4.8908382066277,0,7621,600,3224,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.4,68269,29958,5566,4.15%,4.8870863075925,0,7621,600,3216,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.5,68249,29956,5563,4.15%,4.8890330953926,0,7621,600,3211,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.6,68331,29965,5579,4.14%,4.898898250162,0,7621,600,3211,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.7,68332,29969,5584,4.14%,4.9066753078419,0,7621,600,3206,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.8,68374,29986,5589,4.14%,4.9093264248705,0,7621,600,3204,0
git@github.com:bcit-ci/CodeIgniter.git,3.1.9,78967,31647,5807,3.65%,4.8933524629364,0,7621,600,3606,0
