repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:beberlei/assert.git,v2.0.1,2939,886,138,0.00%,2.434554973822,0,144,67,21,0
git@github.com:beberlei/assert.git,v2.5.1,3695,1157,180,0.00%,2.4463519313305,0,144,67,23,0
git@github.com:beberlei/assert.git,v2.5.2,3745,1156,178,0.00%,2.4135021097046,0,144,67,26,0
git@github.com:beberlei/assert.git,v2.6.1,3789,1167,180,0.00%,2.4100418410042,0,144,67,26,0
git@github.com:beberlei/assert.git,v2.6.2,3789,1167,180,0.00%,2.4100418410042,0,144,67,26,0
git@github.com:beberlei/assert.git,v2.6.3,3895,1195,183,0.00%,2.4122448979592,0,144,67,26,0
git@github.com:beberlei/assert.git,v2.6.4,4296,1329,202,0.00%,2.3786764705882,0,144,67,39,0
git@github.com:beberlei/assert.git,v2.6.5,4536,1411,208,0.00%,2.3475177304965,0,144,67,40,0
git@github.com:beberlei/assert.git,v2.6.6,4720,1427,208,0.00%,2.5804195804196,0,144,67,40,0
git@github.com:beberlei/assert.git,v2.6.7,5344,1628,221,0.00%,2.5248447204969,0,144,67,51,0
git@github.com:beberlei/assert.git,v2.6.8,5354,1628,221,0.00%,2.5232198142415,0,144,67,51,0
git@github.com:beberlei/assert.git,v2.6.9,5535,1724,230,0.00%,2.5227963525836,0,144,67,51,0
git@github.com:beberlei/assert.git,v2.7.1,5904,1951,233,0.00%,2.4941176470588,0,144,67,51,0
git@github.com:beberlei/assert.git,v2.7.2,5905,1951,234,0.00%,2.5,0,144,67,52,0
git@github.com:beberlei/assert.git,v2.7.3,5906,1951,235,0.00%,2.5,0,144,67,52,0
git@github.com:beberlei/assert.git,v2.7.4,6331,2438,238,0.00%,2.1468926553672,0,144,67,41,0
git@github.com:beberlei/assert.git,v2.7.5,6388,2461,240,0.00%,2.1424581005587,0,144,67,41,0
git@github.com:beberlei/assert.git,v2.7.6,6384,2459,241,0.00%,2.1480446927374,0,144,67,49,0
git@github.com:beberlei/assert.git,v2.7.7,6394,2459,241,0.00%,2.1508379888268,0,144,67,49,0
git@github.com:beberlei/assert.git,v2.7.8,6397,2459,242,0.00%,2.1508379888268,0,144,67,49,0
git@github.com:beberlei/assert.git,v2.7.9,6413,2460,242,0.00%,2.1564245810056,0,144,67,51,0
git@github.com:beberlei/assert.git,v2.7.10,6465,2479,244,0.00%,2.1551246537396,0,144,67,51,0
git@github.com:beberlei/assert.git,v2.7.11,6490,2485,247,0.00%,2.1408839779006,0,144,67,52,0
git@github.com:beberlei/assert.git,v2.8.1,6682,2528,247,0.84%,2.1182795698925,0,144,67,65,0
git@github.com:beberlei/assert.git,v2.9.1,6682,2528,247,0.84%,2.1182795698925,0,144,67,65,0
git@github.com:beberlei/assert.git,v2.9.2,6731,2534,251,0.83%,2.128,0,144,67,69,0
git@github.com:beberlei/assert.git,v2.9.3,6735,2535,251,0.83%,2.1306666666667,0,144,67,69,0
git@github.com:beberlei/assert.git,v2.9.4,6735,2535,251,0.83%,2.1306666666667,0,144,67,69,0
git@github.com:beberlei/assert.git,v2.9.5,6734,2533,251,0.83%,2.1306666666667,0,144,67,69,0
git@github.com:beberlei/assert.git,v2.9.6,6728,2533,251,0.83%,2.1146666666667,0,144,67,69,0
git@github.com:beberlei/assert.git,v3.0.0,6777,2548,251,0.83%,2.1087533156499,0,144,67,69,0
git@github.com:beberlei/assert.git,v3.0.1,6695,2443,251,0.00%,2.1081794195251,0,144,67,69,0
git@github.com:beberlei/assert.git,v3.1.0,6738,2454,251,0.00%,2.1078947368421,0,144,67,69,0
git@github.com:beberlei/assert.git,v3.2.0,6964,2535,262,0.00%,2.1269035532995,0,144,67,70,0
