repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.2,3533,998,186,0.59%,7.8840579710145,0,1023,239,114,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.3,3540,999,186,0.59%,7.9420289855072,0,1023,239,114,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.4,3540,999,186,0.59%,7.9420289855072,0,1023,239,114,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.5,3509,998,177,0.68%,7.7285714285714,0,1023,239,112,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.6,3509,998,177,0.68%,7.7285714285714,0,1023,239,112,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.7,3510,998,176,0.68%,7.7285714285714,0,1023,239,112,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.8,3487,984,176,0.69%,7.8970588235294,0,1023,239,110,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.0.9,3478,984,174,0.69%,7.8676470588235,0,1023,239,110,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.0,3484,984,174,0.69%,7.8676470588235,0,1023,239,113,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.1,3621,1038,178,0.66%,7.8970588235294,0,1023,239,115,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.2,3621,1038,178,0.66%,7.8970588235294,0,1023,239,115,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.3,3765,1089,186,0.64%,7.9420289855072,0,1023,239,118,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.4,3775,1096,190,0.64%,8.1159420289855,0,1023,239,124,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.5,3798,1099,194,0.63%,8.1739130434783,0,1023,239,124,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.6,4007,1145,219,0.60%,8.3066666666667,0,1023,239,156,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.7,4017,1151,221,0.60%,8.1973684210526,0,1023,239,156,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.8,4018,1151,221,0.60%,8.2105263157895,0,1023,239,156,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.1.9,4019,1151,221,0.60%,8.2105263157895,0,1023,239,156,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.2.0,4025,1152,221,0.60%,8.2105263157895,0,1023,239,156,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.2.1,4254,1190,236,0.56%,8.4875,0,1023,239,171,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.2.2,4253,1190,236,0.56%,8.4875,0,1023,239,171,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.2.3,4264,1195,238,0.56%,8.4875,0,1023,239,172,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.2.4,4259,1192,238,0.56%,8.4875,0,1023,239,172,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.3.0,6602,1857,402,7.42%,7.7708333333333,0,1023,239,290,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.3.1,6602,1857,402,7.42%,7.7708333333333,0,1023,239,290,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.3.2,6780,1867,413,7.23%,7.9172413793103,0,1023,239,292,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.4.0,12989,3074,539,35.15%,8.1385542168675,0,1023,239,336,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.5.0,13412,3211,541,29.64%,8.0602409638554,0,1023,239,334,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.5.1,13545,3223,561,18.66%,8.3132530120482,0,1023,239,353,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.5.2,13572,3250,561,18.62%,8.3132530120482,0,1023,239,353,0
git@github.com:benedmunds/CodeIgniter-Ion-Auth.git,2.6.0,11368,2612,396,17.42%,9.1862745098039,0,1023,239,225,0
