repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:bobthecow/mustache.php.git,0.1.1,654,240,50,0.00%,4.6538461538462,0,386,43,42,0
git@github.com:bobthecow/mustache.php.git,0.2.0,1039,337,65,0.00%,4.8409090909091,0,386,43,130,0
git@github.com:bobthecow/mustache.php.git,0.2.1,1090,347,71,0.00%,4.9333333333333,0,386,43,136,0
git@github.com:bobthecow/mustache.php.git,0.2.2,1232,374,68,0.00%,4.8148148148148,0,386,43,166,0
git@github.com:bobthecow/mustache.php.git,0.2.3,1242,374,70,0.00%,4.8888888888889,0,386,43,166,0
git@github.com:bobthecow/mustache.php.git,0.2.4,1301,367,70,0.00%,5.051724137931,0,386,43,187,0
git@github.com:bobthecow/mustache.php.git,0.2.5,1435,367,73,0.00%,4.1842105263158,0,386,43,198,0
git@github.com:bobthecow/mustache.php.git,0.2.6,1544,402,78,0.00%,4.2098765432099,0,386,43,222,0
git@github.com:bobthecow/mustache.php.git,0.2.7,1544,402,78,0.00%,4.2098765432099,0,386,43,222,0
git@github.com:bobthecow/mustache.php.git,0.3.0,1664,431,77,0.00%,3.8695652173913,0,386,43,230,0
git@github.com:bobthecow/mustache.php.git,0.4.0,1665,431,78,0.00%,3.8695652173913,0,386,43,230,0
git@github.com:bobthecow/mustache.php.git,0.5.0,3302,865,280,0.00%,4.7916666666667,0,386,43,316,0
git@github.com:bobthecow/mustache.php.git,0.5.1,3302,865,280,0.00%,4.7916666666667,0,386,43,316,0
git@github.com:bobthecow/mustache.php.git,0.5.2,3302,865,281,0.00%,4.7916666666667,0,386,43,316,0
git@github.com:bobthecow/mustache.php.git,0.6.0,3216,857,284,0.00%,4.7642857142857,0,386,43,278,0
git@github.com:bobthecow/mustache.php.git,0.7.0,3295,872,302,0.00%,4.7957746478873,0,386,43,282,0
git@github.com:bobthecow/mustache.php.git,0.7.1,3318,876,303,0.00%,4.8391608391608,0,386,43,287,0
git@github.com:bobthecow/mustache.php.git,0.8.0,3487,881,314,0.00%,4.6305732484076,0,386,43,300,0
git@github.com:bobthecow/mustache.php.git,v0.8.1,3613,888,314,0.00%,4.6167664670659,0,386,43,316,0
git@github.com:bobthecow/mustache.php.git,v0.9.0,3949,1023,325,0.00%,4.414364640884,0,386,43,325,0
git@github.com:bobthecow/mustache.php.git,v1.0.0,4052,1032,333,0.00%,4.4086021505376,0,386,43,336,0
git@github.com:bobthecow/mustache.php.git,1.0.0,7398,2357,234,0.46%,3.4161290322581,0,386,43,203,0
git@github.com:bobthecow/mustache.php.git,v1.1.0,4074,1038,336,0.00%,4.4301075268817,0,386,43,337,0
git@github.com:bobthecow/mustache.php.git,v2.0.0,4873,1490,164,0.70%,3.3981481481481,0,386,43,163,0
git@github.com:bobthecow/mustache.php.git,v2.0.1,4873,1490,164,0.70%,3.3981481481481,0,386,43,163,0
git@github.com:bobthecow/mustache.php.git,v2.0.2,4873,1490,164,0.70%,3.3981481481481,0,386,43,163,0
git@github.com:bobthecow/mustache.php.git,v2.1.0,6095,1918,191,0.56%,3.4296577946768,0,386,43,178,0
git@github.com:bobthecow/mustache.php.git,v2.2.0,6271,1949,194,0.54%,3.4259259259259,0,386,43,181,0
git@github.com:bobthecow/mustache.php.git,v2.3.0,7157,2302,228,0.48%,3.359477124183,0,386,43,217,0
git@github.com:bobthecow/mustache.php.git,v2.3.1,7159,2302,228,0.47%,3.3660130718954,0,386,43,217,0
git@github.com:bobthecow/mustache.php.git,v2.4.0,7324,2344,233,0.46%,3.3961038961039,0,386,43,199,0
git@github.com:bobthecow/mustache.php.git,v2.4.1,7398,2357,234,0.46%,3.4161290322581,0,386,43,203,0
git@github.com:bobthecow/mustache.php.git,v2.5.0,8111,2577,263,0.62%,3.3409742120344,0,386,43,224,0
git@github.com:bobthecow/mustache.php.git,v2.5.1,8140,2578,263,0.61%,3.3409742120344,0,386,43,224,0
git@github.com:bobthecow/mustache.php.git,v2.6.0,8079,2619,257,0.00%,3.3011695906433,0,386,43,221,0
git@github.com:bobthecow/mustache.php.git,v2.6.1,8189,2631,259,0.00%,3.3110465116279,0,386,43,224,0
git@github.com:bobthecow/mustache.php.git,2.6.1,8189,2631,259,0.00%,3.3110465116279,0,386,43,224,0
git@github.com:bobthecow/mustache.php.git,v2.7.0,9438,2802,281,0.22%,3.3606138107417,0,386,43,233,0
git@github.com:bobthecow/mustache.php.git,v2.8.0,9414,2776,281,0.22%,3.3622448979592,0,386,43,233,0
git@github.com:bobthecow/mustache.php.git,v2.9.0,9425,2706,284,0.22%,3.4636591478697,0,386,43,241,0
git@github.com:bobthecow/mustache.php.git,v2.10.0,9519,2720,284,0.22%,3.4701492537313,0,386,43,244,0
git@github.com:bobthecow/mustache.php.git,v2.11.0,9968,2987,296,0.21%,3.455205811138,0,386,43,256,0
git@github.com:bobthecow/mustache.php.git,v2.11.1,9969,2987,296,0.21%,3.455205811138,0,386,43,256,0
git@github.com:bobthecow/mustache.php.git,v2.12.0,10495,3191,311,0.20%,3.5092592592593,0,386,43,274,0
