repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:bobthecow/psysh.git,v0.1.0,12733,4401,711,0.00%,3.2627737226277,0,216,58,486,0
git@github.com:bobthecow/psysh.git,v0.1.1,12930,4447,725,0.00%,3.2357142857143,0,216,58,490,0
git@github.com:bobthecow/psysh.git,v0.1.2,13069,4481,734,0.00%,3.2645502645503,0,216,58,495,0
git@github.com:bobthecow/psysh.git,v0.1.3,13068,4481,734,0.00%,3.2627865961199,0,216,58,495,0
git@github.com:bobthecow/psysh.git,v0.1.4,13052,4478,734,0.00%,3.2685512367491,0,216,58,495,0
git@github.com:bobthecow/psysh.git,v0.1.5,13121,4490,737,0.00%,3.2811950790861,0,216,58,497,0
git@github.com:bobthecow/psysh.git,v0.1.6,13240,4508,739,0.00%,3.261780104712,0,216,58,509,0
git@github.com:bobthecow/psysh.git,v0.1.7,13240,4508,739,0.00%,3.261780104712,0,216,58,509,0
git@github.com:bobthecow/psysh.git,v0.1.8,13298,4543,740,0.00%,3.2387543252595,0,216,58,512,0
git@github.com:bobthecow/psysh.git,v0.1.9,13298,4543,740,0.00%,3.2387543252595,0,216,58,512,0
git@github.com:bobthecow/psysh.git,v0.1.10,13304,4544,741,0.00%,3.2404844290657,0,216,58,513,0
git@github.com:bobthecow/psysh.git,v0.1.11,13339,4555,743,0.00%,3.2400690846287,0,216,58,513,0
git@github.com:bobthecow/psysh.git,v0.1.12,13356,4560,747,0.00%,3.2452504317789,0,216,58,513,0
git@github.com:bobthecow/psysh.git,v0.2.0,13666,4651,750,0.00%,3.2331081081081,0,216,58,519,0
git@github.com:bobthecow/psysh.git,v0.2.1,13679,4652,751,0.00%,3.2394603709949,0,216,58,519,0
git@github.com:bobthecow/psysh.git,v0.3.0,14031,4755,767,0.00%,3.2236842105263,0,216,58,524,0
git@github.com:bobthecow/psysh.git,v0.3.1,14062,4760,768,0.00%,3.2426229508197,0,216,58,528,0
git@github.com:bobthecow/psysh.git,v0.3.2,14063,4760,768,0.00%,3.2426229508197,0,216,58,528,0
git@github.com:bobthecow/psysh.git,v0.3.3,14095,4779,769,0.00%,3.2422258592471,0,216,58,528,0
git@github.com:bobthecow/psysh.git,v0.3.4,14156,4799,776,0.00%,3.2446982055465,0,216,58,531,0
git@github.com:bobthecow/psysh.git,v0.3.5,14156,4799,776,0.00%,3.2446982055465,0,216,58,531,0
git@github.com:bobthecow/psysh.git,v0.4.0,15691,5353,852,0.00%,3.1963746223565,0,216,58,550,0
git@github.com:bobthecow/psysh.git,v0.4.1,15691,5352,854,0.00%,3.2012102874433,0,216,58,550,0
git@github.com:bobthecow/psysh.git,v0.4.2,15930,5444,878,0.00%,3.2095808383234,0,216,58,555,0
git@github.com:bobthecow/psysh.git,v0.4.3,15977,5462,879,0.00%,3.2014925373134,0,216,58,555,0
git@github.com:bobthecow/psysh.git,v0.4.4,15978,5463,878,0.00%,3.2014925373134,0,216,58,555,0
git@github.com:bobthecow/psysh.git,v0.5.0,14843,4909,853,0.00%,3.2354892205638,0,216,58,576,0
git@github.com:bobthecow/psysh.git,v0.5.1,14843,4909,853,0.00%,3.2354892205638,0,216,58,576,0
git@github.com:bobthecow/psysh.git,v0.5.2,14870,4920,853,0.00%,3.2317880794702,0,216,58,574,0
git@github.com:bobthecow/psysh.git,v0.6.0,15203,5074,878,0.00%,3.2310177705977,0,216,58,575,0
git@github.com:bobthecow/psysh.git,v0.6.1,15203,5074,878,0.00%,3.2310177705977,0,216,58,575,0
git@github.com:bobthecow/psysh.git,v0.7.0,15635,5182,898,0.00%,3.222049689441,0,216,58,587,0
