repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:bolt/bolt.git,v0.8.4,16394,3748,1747,0.20%,7.5741176470588,0,795,355,1011,0
git@github.com:bolt/bolt.git,v0.8.5,17923,4053,1878,0.84%,7.5860566448802,0,795,355,1146,0
git@github.com:bolt/bolt.git,v0.9.5,18850,4200,1959,0.68%,7.4878048780488,0,795,355,1183,0
git@github.com:bolt/bolt.git,v0.9.10,21735,4722,2619,0.86%,7.2162629757785,0,795,355,2750,0
git@github.com:bolt/bolt.git,v1.0.0,21892,4742,2637,0.85%,7.2024013722127,0,795,355,2757,0
git@github.com:bolt/bolt.git,v1.0.5,22309,4848,2696,0.42%,7.1899159663866,0,795,355,2801,0
git@github.com:bolt/bolt.git,v1.1.2,22681,4993,2468,0.47%,7.5631067961165,0,795,355,1610,0
git@github.com:bolt/bolt.git,v1.1.4,22720,4978,2482,0.47%,7.5744336569579,0,795,355,1613,0
git@github.com:bolt/bolt.git,v1.2.1,32986,5463,2736,0.30%,7.6074074074074,0,795,355,1740,0
git@github.com:bolt/bolt.git,v1.3.0,41499,8040,3885,0.16%,6.8043893129771,0,795,355,2524,0
git@github.com:bolt/bolt.git,v1.4.0,46382,8943,4125,0.52%,6.6897458369851,0,795,355,2677,0
git@github.com:bolt/bolt.git,v1.4.3,46113,8867,4115,0.06%,6.752,0,795,355,2664,0
git@github.com:bolt/bolt.git,v1.5.1,62479,12564,5217,0.05%,6.4675658317277,0,795,355,3636,0
git@github.com:bolt/bolt.git,v1.5.6,58561,10789,4480,0.05%,6.5944566010212,0,795,355,3174,0
git@github.com:bolt/bolt.git,v1.6.0,59221,10866,4562,0.05%,6.565,0,795,355,3223,0
git@github.com:bolt/bolt.git,v1.6.2,59239,10871,4564,0.05%,6.5581727337616,0,795,355,3222,0
git@github.com:bolt/bolt.git,v1.6.3,59323,10885,4569,0.05%,6.5659301496793,0,795,355,3238,0
git@github.com:bolt/bolt.git,v1.6.9,44735,10937,4604,0.06%,6.5957295373665,0,795,355,3233,0
git@github.com:bolt/bolt.git,v2.0.0,25789,5583,2230,0.19%,5.8016055045872,0,795,355,1686,0
