repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:botman/botman.git,0.1.0,2070,449,26,0.00%,2.2935779816514,0,469,101,67,0
git@github.com:botman/botman.git,0.1.1,2078,450,27,0.00%,2.2818181818182,0,469,101,67,0
git@github.com:botman/botman.git,0.1.2,2085,451,27,0.00%,2.2818181818182,0,469,101,67,0
git@github.com:botman/botman.git,0.2.0,3534,707,43,0.00%,2.7305389221557,0,469,101,131,0
git@github.com:botman/botman.git,0.3.0,4167,804,47,0.00%,2.6212121212121,0,469,101,144,0
git@github.com:botman/botman.git,0.3.1,4222,808,48,0.00%,2.6262626262626,0,469,101,146,0
git@github.com:botman/botman.git,0.3.2,4957,931,62,0.00%,2.7603305785124,0,469,101,203,0
git@github.com:botman/botman.git,0.3.3,4966,931,63,0.00%,2.7727272727273,0,469,101,203,0
git@github.com:botman/botman.git,1.0.0,5753,1076,79,0.00%,2.8241379310345,0,469,101,275,0
git@github.com:botman/botman.git,1.0.1,6110,1130,89,0.00%,2.9225806451613,0,469,101,285,0
git@github.com:botman/botman.git,1.1.0,6182,1142,90,0.00%,2.9235668789809,0,469,101,286,0
git@github.com:botman/botman.git,1.1.1,6230,1154,89,0.00%,2.9082278481013,0,469,101,286,0
git@github.com:botman/botman.git,1.2.0,6949,1262,108,1.45%,2.9971428571429,0,469,101,332,0
git@github.com:botman/botman.git,1.2.1,6957,1262,109,1.45%,3.0028571428571,0,469,101,332,0
git@github.com:botman/botman.git,1.2.2,7079,1282,115,1.43%,3.0169014084507,0,469,101,336,0
git@github.com:botman/botman.git,1.3.0,8845,1599,150,1.62%,3.097995545657,0,469,101,481,0
git@github.com:botman/botman.git,1.4.0,13233,2513,214,3.69%,3.0813124108417,0,469,101,749,0
git@github.com:botman/botman.git,1.4.1,13938,2643,230,3.97%,3.0687757909216,0,469,101,775,0
git@github.com:botman/botman.git,1.5.0,18146,3353,322,4.25%,2.9744408945687,0,469,101,934,0
git@github.com:botman/botman.git,1.5.1,18160,3353,324,4.25%,2.9702444208289,0,469,101,934,0
git@github.com:botman/botman.git,1.5.2,18231,3355,326,4.23%,2.9777070063694,0,469,101,938,0
git@github.com:botman/botman.git,1.5.3,18228,3355,326,4.23%,2.9755838641189,0,469,101,937,0
git@github.com:botman/botman.git,1.5.4,18270,3356,327,4.22%,2.9840933191941,0,469,101,947,0
git@github.com:botman/botman.git,1.5.5,18288,3357,327,4.22%,2.9883474576271,0,469,101,947,0
git@github.com:botman/botman.git,1.5.6,18298,3358,327,4.21%,2.989417989418,0,469,101,947,0
git@github.com:botman/botman.git,1.5.7,18298,3358,327,4.21%,2.989417989418,0,469,101,947,0
git@github.com:botman/botman.git,1.5.8,18402,3370,334,4.31%,3.01261829653,0,469,101,947,0
git@github.com:botman/botman.git,1.5.9,18416,3370,334,4.31%,3.0136698212408,0,469,101,947,0
git@github.com:botman/botman.git,2.0.0,11373,2688,216,1.66%,2.3001686340641,0,469,101,569,0
git@github.com:botman/botman.git,2.0.1,11373,2688,216,1.66%,2.3001686340641,0,469,101,569,0
git@github.com:botman/botman.git,2.0.2,11546,2747,219,2.68%,2.2770491803279,0,469,101,571,0
git@github.com:botman/botman.git,2.0.3,11547,2747,219,2.68%,2.2786885245902,0,469,101,571,0
git@github.com:botman/botman.git,2.0.4,11577,2751,218,2.64%,2.281045751634,0,469,101,570,0
git@github.com:botman/botman.git,2.1.0,11820,2789,220,2.90%,2.2990353697749,0,469,101,579,0
git@github.com:botman/botman.git,2.1.1,11828,2792,220,2.90%,2.2969502407705,0,469,101,580,0
git@github.com:botman/botman.git,2.1.2,11828,2792,220,2.90%,2.2969502407705,0,469,101,580,0
git@github.com:botman/botman.git,2.1.3,11908,2798,221,2.88%,2.2964743589744,0,469,101,580,0
git@github.com:botman/botman.git,2.1.4,12239,2836,229,3.42%,2.3014354066986,0,469,101,603,0
git@github.com:botman/botman.git,2.1.5,12261,2838,230,3.41%,2.3073248407643,0,469,101,603,0
git@github.com:botman/botman.git,2.1.6,12314,2843,236,3.39%,2.3089171974522,0,469,101,612,0
git@github.com:botman/botman.git,2.1.7,12331,2847,236,3.39%,2.3095238095238,0,469,101,612,0
git@github.com:botman/botman.git,2.1.8,12341,2850,236,3.39%,2.3095238095238,0,469,101,612,0
git@github.com:botman/botman.git,2.1.9,12439,2859,237,3.36%,2.3223787167449,0,469,101,613,0
git@github.com:botman/botman.git,2.1.10,12488,2861,238,3.35%,2.3255086071987,0,469,101,617,0
git@github.com:botman/botman.git,2.2.0,12560,2870,239,3.33%,2.3457943925234,0,469,101,627,0
git@github.com:botman/botman.git,2.3.0,12751,2913,245,3.28%,2.3287250384025,0,469,101,629,0
git@github.com:botman/botman.git,2.3.1,12786,2922,246,3.27%,2.3374233128834,0,469,101,629,0
git@github.com:botman/botman.git,2.3.2,12799,2926,248,3.27%,2.3420245398773,0,469,101,629,0
git@github.com:botman/botman.git,2.3.3,12945,2940,249,3.23%,2.3440366972477,0,469,101,630,0
git@github.com:botman/botman.git,2.4.0,13031,2947,250,3.21%,2.3480916030534,0,469,101,621,0
git@github.com:botman/botman.git,2.4.1,13063,2948,250,3.20%,2.3439878234399,0,469,101,621,0
