repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cakephp/cakephp.git,1.2.0,147267,49538,9094,4.82%,13.13371566556,0,3382,837,6335,0
git@github.com:cakephp/cakephp.git,1.2.1,147946,49720,9098,4.86%,13.122112211221,0,3382,837,6360,0
git@github.com:cakephp/cakephp.git,1.2.2,150567,50709,9130,4.82%,13.222255105061,0,3382,837,6502,0
git@github.com:cakephp/cakephp.git,1.2.3,151867,51126,9163,4.79%,13.216334894614,0,3382,837,6566,0
git@github.com:cakephp/cakephp.git,1.2.4,161936,52061,9233,6.35%,13.207807118255,0,3382,837,6675,0
git@github.com:cakephp/cakephp.git,1.2.5,162937,52248,9258,6.35%,13.211187214612,0,3382,837,6716,0
git@github.com:cakephp/cakephp.git,1.2.6,164558,52946,9270,6.20%,13.11597865768,0,3382,837,6777,0
git@github.com:cakephp/cakephp.git,1.2.7,164983,52666,9299,6.18%,13.120323841429,0,3382,837,6819,0
git@github.com:cakephp/cakephp.git,1.2.8,165466,52743,9321,6.17%,13.11933240612,0,3382,837,6827,0
git@github.com:cakephp/cakephp.git,1.2.9,166180,52814,9328,6.35%,13.153035763793,0,3382,837,6844,0
git@github.com:cakephp/cakephp.git,1.2.10,166502,52887,9340,6.34%,13.140093948605,0,3382,837,6870,0
git@github.com:cakephp/cakephp.git,1.2.11,166925,52899,9350,6.32%,13.135298980435,0,3382,837,6879,0
git@github.com:cakephp/cakephp.git,1.2.12,167019,52909,9356,6.32%,13.13963095566,0,3382,837,6886,0
git@github.com:cakephp/cakephp.git,1.3.0,185910,56719,9281,5.59%,12.580737901294,0,3382,837,7005,0
git@github.com:cakephp/cakephp.git,1.3.1,186410,56851,9292,5.61%,12.589162091191,0,3382,837,7029,0
git@github.com:cakephp/cakephp.git,1.3.2,186473,56855,9295,5.61%,12.592362768496,0,3382,837,7035,0
git@github.com:cakephp/cakephp.git,1.3.3,187419,57082,9323,5.58%,12.525112001886,0,3382,837,7078,0
git@github.com:cakephp/cakephp.git,1.3.4,188414,57262,9344,5.57%,12.498009833763,0,3382,837,7098,0
git@github.com:cakephp/cakephp.git,1.3.5,189161,57398,9365,5.55%,12.478817504655,0,3382,837,7130,0
git@github.com:cakephp/cakephp.git,1.3.6,189416,57453,9374,5.54%,12.468757259001,0,3382,837,7132,0
git@github.com:cakephp/cakephp.git,1.3.7,190022,57594,9395,5.54%,12.456918456918,0,3382,837,7176,0
git@github.com:cakephp/cakephp.git,1.3.8,190319,57647,9415,5.52%,12.456180811808,0,3382,837,7181,0
git@github.com:cakephp/cakephp.git,1.3.9,190917,57728,9430,5.51%,12.452539646058,0,3382,837,7199,0
git@github.com:cakephp/cakephp.git,1.3.10,190964,57728,9432,5.50%,12.449012402389,0,3382,837,7200,0
git@github.com:cakephp/cakephp.git,1.3.11,191142,57782,9434,5.48%,12.44378155117,0,3382,837,7203,0
git@github.com:cakephp/cakephp.git,1.3.12,191564,57815,9466,5.46%,12.453067765568,0,3382,837,7208,0
git@github.com:cakephp/cakephp.git,1.3.13,191824,57868,9475,5.45%,12.445739090701,0,3382,837,7205,0
git@github.com:cakephp/cakephp.git,1.3.14,192523,58065,9506,5.45%,12.451002734731,0,3382,837,7233,0
git@github.com:cakephp/cakephp.git,1.3.15,192728,58110,9519,5.45%,12.450034145231,0,3382,837,7241,0
git@github.com:cakephp/cakephp.git,1.3.16,192952,58174,9522,5.44%,12.443610732151,0,3382,837,7248,0
git@github.com:cakephp/cakephp.git,1.3.17,192958,58174,9526,5.44%,12.444292860391,0,3382,837,7248,0
git@github.com:cakephp/cakephp.git,1.3.18,193031,58191,9527,5.44%,12.446818181818,0,3382,837,7248,0
git@github.com:cakephp/cakephp.git,1.3.19,193064,58202,9527,5.44%,12.443207632894,0,3382,837,7248,0
git@github.com:cakephp/cakephp.git,1.3.20,193117,58219,9528,5.44%,12.445832387009,0,3382,837,7257,0
git@github.com:cakephp/cakephp.git,1.3.21,193163,58222,9529,5.43%,12.445049954587,0,3382,837,7258,0
git@github.com:cakephp/cakephp.git,2.0.0,199882,58758,8927,5.11%,11.087365053978,0,3382,837,10927,2
git@github.com:cakephp/cakephp.git,2.0.1,200745,58949,8961,5.13%,11.081709741551,0,3382,837,10991,2
git@github.com:cakephp/cakephp.git,2.0.2,200833,58961,8966,5.12%,11.082257103119,0,3382,837,11004,2
git@github.com:cakephp/cakephp.git,2.0.3,201122,59108,8994,5.13%,11.0414189457,0,3382,837,11034,2
git@github.com:cakephp/cakephp.git,2.0.4,201971,59372,9032,5.11%,11.049594941711,0,3382,837,11055,2
git@github.com:cakephp/cakephp.git,2.0.5,203521,59877,9062,5.10%,11.043597800471,0,3382,837,11177,2
git@github.com:cakephp/cakephp.git,2.0.6,203996,59934,9084,5.07%,11.04307812806,0,3382,837,11212,2
git@github.com:cakephp/cakephp.git,2.1.0,216992,64085,9461,4.93%,10.806,0,3382,837,12068,2
git@github.com:cakephp/cakephp.git,2.1.1,217028,64146,9489,4.39%,10.634291915355,0,3382,837,11894,0
git@github.com:cakephp/cakephp.git,2.1.2,217623,64390,9507,4.27%,10.603525813995,0,3382,837,11837,0
git@github.com:cakephp/cakephp.git,2.1.3,218209,64491,9520,4.26%,10.591243495424,0,3382,837,11856,0
git@github.com:cakephp/cakephp.git,2.1.4,218596,64536,9528,4.25%,10.581395348837,0,3382,837,11900,0
git@github.com:cakephp/cakephp.git,2.1.5,218638,64550,9531,4.25%,10.579220314735,0,3382,837,11902,0
git@github.com:cakephp/cakephp.git,2.2.0,230433,67897,9836,4.39%,10.425112706629,0,3382,837,12760,0
git@github.com:cakephp/cakephp.git,2.2.1,230728,67977,9858,4.38%,10.411588411588,0,3382,837,12781,0
