repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cakephp/phinx.git,v0.1.1,5110,1884,157,0.00%,3.2148148148148,0,776,278,219,0
git@github.com:cakephp/phinx.git,v0.1.2,5173,1897,160,0.00%,3.2454212454212,0,776,278,224,0
git@github.com:cakephp/phinx.git,v0.1.3,5173,1897,160,0.00%,3.2454212454212,0,776,278,224,0
git@github.com:cakephp/phinx.git,v0.1.4,5173,1897,160,0.00%,3.2454212454212,0,776,278,224,0
git@github.com:cakephp/phinx.git,v0.1.5,5516,1989,182,0.00%,3.3287197231834,0,776,278,261,0
git@github.com:cakephp/phinx.git,v0.1.6,6200,2203,214,0.00%,3.4567901234568,0,776,278,330,0
git@github.com:cakephp/phinx.git,v0.1.7,6223,2204,214,0.00%,3.4707692307692,0,776,278,337,0
git@github.com:cakephp/phinx.git,v0.2.0,7277,2584,220,0.00%,3.1735941320293,0,776,278,387,0
git@github.com:cakephp/phinx.git,v0.2.1,7669,2839,227,0.00%,3.1347517730496,0,776,278,394,0
git@github.com:cakephp/phinx.git,v0.2.2,7823,2873,239,0.00%,3.2718676122931,0,776,278,398,0
git@github.com:cakephp/phinx.git,v0.2.3,7874,2889,242,0.00%,3.2723004694836,0,776,278,401,0
git@github.com:cakephp/phinx.git,v0.2.4,7892,2890,243,0.00%,3.2981220657277,0,776,278,402,0
git@github.com:cakephp/phinx.git,v0.2.5,8012,2884,245,0.00%,3.3457076566125,0,776,278,406,0
git@github.com:cakephp/phinx.git,v0.2.6,8167,2944,261,0.00%,3.3867276887872,0,776,278,409,0
git@github.com:cakephp/phinx.git,v0.2.7,8187,2944,261,0.00%,3.3986332574032,0,776,278,409,0
git@github.com:cakephp/phinx.git,v0.2.8,9609,3183,373,2.79%,3.7286821705426,0,776,278,537,0
git@github.com:cakephp/phinx.git,v0.2.9,11108,3396,495,7.15%,4.0459183673469,0,776,278,672,0
git@github.com:cakephp/phinx.git,v0.3.0,11409,3423,500,6.80%,4.0555555555556,0,776,278,682,0
git@github.com:cakephp/phinx.git,v0.3.1,11414,3424,501,6.80%,4.0572390572391,0,776,278,682,0
git@github.com:cakephp/phinx.git,v0.3.2,11421,3430,502,6.80%,4.0234899328859,0,776,278,686,0
git@github.com:cakephp/phinx.git,v0.3.3,11758,3474,516,7.41%,4.1176470588235,0,776,278,752,0
git@github.com:cakephp/phinx.git,v0.3.4,11967,3499,521,7.28%,4.1559485530547,0,776,278,761,0
git@github.com:cakephp/phinx.git,v0.3.5,13691,3774,649,9.90%,4.3385269121813,0,776,278,929,0
git@github.com:cakephp/phinx.git,v0.3.6,13812,3805,649,9.82%,4.327221438646,0,776,278,928,0
git@github.com:cakephp/phinx.git,v0.3.7,13969,3856,659,9.11%,4.3091922005571,0,776,278,930,4
git@github.com:cakephp/phinx.git,v0.3.8,14102,3871,690,9.02%,4.3685674547983,0,776,278,936,4
git@github.com:cakephp/phinx.git,v0.4.0,15842,4371,756,8.26%,4.1744885679904,0,776,278,1034,4
git@github.com:cakephp/phinx.git,v0.4.1,16033,4371,757,8.36%,4.2247324613555,0,776,278,1096,4
git@github.com:cakephp/phinx.git,v0.4.2,18356,4722,800,8.12%,4.3125,0,776,278,1638,4
git@github.com:cakephp/phinx.git,v0.4.3,18473,4726,808,8.05%,4.3392116182573,0,776,278,1654,4
git@github.com:cakephp/phinx.git,v0.4.4,18823,4770,818,7.72%,4.3799795709908,0,776,278,1694,4
git@github.com:cakephp/phinx.git,v0.4.5,19381,4974,833,7.35%,4.3605577689243,0,776,278,1716,4
git@github.com:cakephp/phinx.git,v0.4.6,19844,5059,867,7.05%,4.3601941747573,0,776,278,1755,4
git@github.com:cakephp/phinx.git,v0.5.0,21315,5510,910,6.74%,4.3714285714286,0,776,278,1820,4
git@github.com:cakephp/phinx.git,v0.5.1,21410,5532,918,7.29%,4.3928242870285,0,776,278,1839,4
git@github.com:cakephp/phinx.git,v0.5.2,21677,5592,927,6.95%,4.3742052679382,0,776,278,1862,4
git@github.com:cakephp/phinx.git,v0.5.3,21720,5595,927,6.94%,4.3676069153776,0,776,278,1866,4
git@github.com:cakephp/phinx.git,v0.5.4,21737,5595,932,6.93%,4.3739763421292,0,776,278,1866,4
git@github.com:cakephp/phinx.git,v0.5.5,22172,5693,941,6.82%,4.3931777378815,0,776,278,1889,4
git@github.com:cakephp/phinx.git,v0.6.0,23215,6019,970,6.45%,4.3741258741259,0,776,278,1945,4
git@github.com:cakephp/phinx.git,v0.6.1,23234,6019,970,6.45%,4.3772925764192,0,776,278,1953,4
git@github.com:cakephp/phinx.git,v0.6.2,23209,6026,969,6.45%,4.3673647469459,0,776,278,1949,4
git@github.com:cakephp/phinx.git,v0.6.3,23289,6039,976,6.43%,4.3719512195122,0,776,278,1959,4
git@github.com:cakephp/phinx.git,v0.6.4,23395,6069,978,6.46%,4.3677363399827,0,776,278,1968,4
git@github.com:cakephp/phinx.git,v0.6.5,23459,6095,981,6.45%,4.3592400690846,0,776,278,1970,4
git@github.com:cakephp/phinx.git,v0.6.6,23487,6095,982,6.31%,4.3641069887834,0,776,278,1975,4
git@github.com:cakephp/phinx.git,v0.7.0,24087,6210,1003,6.49%,4.3706530958439,0,776,278,2073,4
git@github.com:cakephp/phinx.git,v0.7.1,24253,6239,1003,6.64%,4.3596638655462,0,776,278,2091,4
git@github.com:cakephp/phinx.git,v0.7.2,24293,6243,1011,6.64%,4.3694374475231,0,776,278,2093,4
git@github.com:cakephp/phinx.git,v0.8.0,26212,6419,1052,5.86%,4.4292722812756,0,776,278,2208,4
git@github.com:cakephp/phinx.git,v0.8.1,26366,6425,1069,6.05%,4.4691056910569,0,776,278,2297,4
git@github.com:cakephp/phinx.git,v0.9.0,31592,7143,1123,6.02%,4.3239942528736,0,776,278,2611,4
git@github.com:cakephp/phinx.git,v0.9.1,31721,7169,1127,6.00%,4.3206871868289,0,776,278,2618,4
git@github.com:cakephp/phinx.git,v0.9.2,32346,7230,1144,5.48%,4.3429781227946,0,776,278,2637,4
git@github.com:cakephp/phinx.git,v0.10.0,34507,8476,1275,4.30%,4.3861111111111,0,776,278,2239,4
git@github.com:cakephp/phinx.git,v0.10.1,34600,8503,1282,4.29%,4.3847750865052,0,776,278,2245,4
git@github.com:cakephp/phinx.git,v0.10.2,34640,8489,1285,4.28%,4.398891966759,0,776,278,2264,4
git@github.com:cakephp/phinx.git,v0.10.3,35085,8496,1286,4.23%,4.4116022099448,0,776,278,2307,4
git@github.com:cakephp/phinx.git,v0.10.4,35177,8523,1290,3.97%,4.4118457300275,0,776,278,2312,4
git@github.com:cakephp/phinx.git,v0.10.5,35203,8527,1292,3.86%,4.4143152099105,0,776,278,2318,4
git@github.com:cakephp/phinx.git,v0.10.6,36584,8818,1345,4.01%,4.426402640264,0,776,278,2415,4
