repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:caouecs/Laravel-lang.git,1.0.2,6821,2216,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.1,6835,2216,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.2,6835,2216,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.3,7006,2266,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.4,7006,2266,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.5,7055,2266,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.6,7055,2266,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.7,7055,2266,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.8,7197,2316,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.9,7278,2316,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.10,7881,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.11,7881,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.12,7874,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.13,7874,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.14,7878,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.15,7924,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.16,7929,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.17,7929,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.18,7929,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.19,7935,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.20,7934,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.21,7934,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.22,7934,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.23,7934,2776,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.24,8103,2836,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.25,8361,2896,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.26,8361,2896,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.27,8361,2896,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.28,8361,2896,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.29,8574,2998,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.30,8574,2998,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.31,8744,3058,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.32,8931,3134,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.33,8959,3133,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.34,9010,3133,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.35,9145,3130,0,0.68%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.36,9198,3130,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.37,9373,3191,0,0.00%,0,0,1413,387,0,0
git@github.com:caouecs/Laravel-lang.git,2.0.38,9597,3254,10,0.00%,0,0,1413,387,1,0
git@github.com:caouecs/Laravel-lang.git,2.0.39,9626,3253,10,0.00%,0,0,1413,387,1,0
git@github.com:caouecs/Laravel-lang.git,2.0.40,9626,3253,10,0.00%,0,0,1413,387,1,0
git@github.com:caouecs/Laravel-lang.git,2.0.41,9626,3253,10,0.00%,0,0,1413,387,1,0
git@github.com:caouecs/Laravel-lang.git,2.0.42,9720,3312,7,0.00%,2.5,0,1413,387,2,0
