repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cartalyst/sentry.git,v1.0.0,3662,1156,279,1.94%,5.2105263157895,0,346,109,112,0
git@github.com:cartalyst/sentry.git,v1.1.0,3831,1222,280,1.85%,5.2210526315789,0,346,109,117,0
git@github.com:cartalyst/sentry.git,v1.1.1,3901,1245,283,1.82%,5.1111111111111,0,346,109,119,0
git@github.com:cartalyst/sentry.git,v1.1.2,3948,1273,283,1.80%,5.0594059405941,0,346,109,119,0
git@github.com:cartalyst/sentry.git,v1.1.3,4075,1307,287,1.74%,5.0582524271845,0,346,109,122,0
git@github.com:cartalyst/sentry.git,v2.0.0,12775,5297,380,5.35%,3.3357271095153,0,346,109,1227,0
git@github.com:cartalyst/sentry.git,v2.0.1,12820,5298,383,5.33%,3.3960573476703,0,346,109,1247,0
git@github.com:cartalyst/sentry.git,v2.0.2,13033,5410,391,5.69%,3.3497363796134,0,346,109,1235,0
git@github.com:cartalyst/sentry.git,v2.0.3,13034,5410,391,5.69%,3.3514938488576,0,346,109,1235,0
git@github.com:cartalyst/sentry.git,v2.0.4,13034,5410,391,5.69%,3.3514938488576,0,346,109,1235,0
git@github.com:cartalyst/sentry.git,v2.1.0,13021,5398,389,5.70%,3.3708260105448,0,346,109,1247,0
git@github.com:cartalyst/sentry.git,v2.1.1,13065,5414,391,5.68%,3.3754385964912,0,346,109,1253,0
git@github.com:cartalyst/sentry.git,v2.1.2,13092,5426,391,5.67%,3.369527145359,0,346,109,1256,0
git@github.com:cartalyst/sentry.git,v2.1.3,13134,5451,393,5.65%,3.3723776223776,0,346,109,1264,0
git@github.com:cartalyst/sentry.git,v2.1.4,13155,5457,393,4.38%,3.3745644599303,0,346,109,1268,0
git@github.com:cartalyst/sentry.git,v2.1.5,13054,5441,393,4.36%,3.3397548161121,0,346,109,1263,0
git@github.com:cartalyst/sentry.git,v2.1.6,13046,5441,389,4.32%,3.3356643356643,0,346,109,1263,0
git@github.com:cartalyst/sentry.git,v2.1.7,13062,5441,391,4.35%,3.3385689354276,0,346,109,1263,0
