repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:catfan/Medoo.git,v0.9.6,868,17,150,0.00%,7.8518518518519,0,991,16,47,0
git@github.com:catfan/Medoo.git,v0.9.7,920,19,167,0.00%,7.8571428571429,0,991,16,46,0
git@github.com:catfan/Medoo.git,v0.9.8,935,19,163,0.00%,7.8275862068966,0,991,16,48,0
git@github.com:catfan/Medoo.git,v1.0.2,988,20,167,0.00%,7.9333333333333,0,991,16,53,0
git@github.com:catfan/Medoo.git,v1.1.1,1098,20,176,0.00%,8.21875,0,991,16,64,0
git@github.com:catfan/Medoo.git,v1.1.2,1114,20,180,0.00%,8.375,0,991,16,64,0
git@github.com:catfan/Medoo.git,v1.2.1,1265,18,197,0.00%,9,0,991,16,70,0
git@github.com:catfan/Medoo.git,v1.4.1,1479,14,231,2.37%,10.885714285714,0,991,16,78,0
git@github.com:catfan/Medoo.git,v1.4.2,1481,14,231,2.36%,10.885714285714,0,991,16,78,0
git@github.com:catfan/Medoo.git,v1.4.3,1498,14,233,2.34%,11.028571428571,0,991,16,78,0
git@github.com:catfan/Medoo.git,v1.4.4,1503,14,235,2.33%,11.057142857143,0,991,16,77,0
git@github.com:catfan/Medoo.git,v1.4.5,1508,14,236,2.32%,11.057142857143,0,991,16,78,0
git@github.com:catfan/Medoo.git,v1.5.1,1545,14,255,0.00%,10.941176470588,0,991,16,89,0
git@github.com:catfan/Medoo.git,v1.5.2,1545,14,255,0.00%,10.941176470588,0,991,16,89,0
git@github.com:catfan/Medoo.git,v1.5.3,1544,14,253,0.00%,10.941176470588,0,991,16,89,0
git@github.com:catfan/Medoo.git,v1.5.4,1544,14,253,0.00%,10.941176470588,0,991,16,89,0
git@github.com:catfan/Medoo.git,v1.5.5,1546,14,253,0.00%,10.941176470588,0,991,16,90,0
git@github.com:catfan/Medoo.git,v1.5.6,1554,14,255,0.00%,11.029411764706,0,991,16,90,0
git@github.com:catfan/Medoo.git,v1.5.7,1552,14,255,0.00%,11.029411764706,0,991,16,90,0
git@github.com:catfan/Medoo.git,v1.6.1,1691,14,274,0.00%,10.333333333333,0,991,16,94,0
