repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cmgmyr/laravel-messenger.git,1.0.1,1308,331,14,0.00%,3.2280701754386,0,383,22,91,2
git@github.com:cmgmyr/laravel-messenger.git,1.0.2,1343,341,14,0.00%,3.1896551724138,0,383,22,94,2
git@github.com:cmgmyr/laravel-messenger.git,1.0.3,1386,356,14,0.00%,3.1896551724138,0,383,22,94,2
git@github.com:cmgmyr/laravel-messenger.git,1.0.4,1411,356,16,0.00%,3.2982456140351,0,383,22,99,2
git@github.com:cmgmyr/laravel-messenger.git,1.0.5,1411,356,16,0.00%,3.2982456140351,0,383,22,99,2
git@github.com:cmgmyr/laravel-messenger.git,1.2.1,1532,380,20,0.00%,3.6984126984127,0,383,22,105,2
git@github.com:cmgmyr/laravel-messenger.git,1.7.1,1596,400,21,0.00%,3.7313432835821,0,383,22,102,2
git@github.com:cmgmyr/laravel-messenger.git,1.8.1,1662,426,22,0.00%,3.6714285714286,0,383,22,89,2
git@github.com:cmgmyr/laravel-messenger.git,1.8.2,1662,426,22,0.00%,3.6714285714286,0,383,22,89,2
git@github.com:cmgmyr/laravel-messenger.git,2.2.1,1572,369,20,0.00%,3.758064516129,0,383,22,105,3
git@github.com:cmgmyr/laravel-messenger.git,2.5.1,1584,380,22,0.00%,3.6825396825397,0,383,22,99,3
git@github.com:cmgmyr/laravel-messenger.git,2.7.1,1646,395,23,0.00%,3.8030303030303,0,383,22,103,3
git@github.com:cmgmyr/laravel-messenger.git,2.8.1,1712,421,24,0.00%,3.7391304347826,0,383,22,90,3
git@github.com:cmgmyr/laravel-messenger.git,2.8.2,1712,421,24,0.00%,3.7391304347826,0,383,22,90,3
git@github.com:cmgmyr/laravel-messenger.git,2.9.1,1797,444,25,0.00%,3.8333333333333,0,383,22,93,3
git@github.com:cmgmyr/laravel-messenger.git,2.13.1,2309,532,24,1.13%,3.6990291262136,0,383,22,148,3
git@github.com:cmgmyr/laravel-messenger.git,2.13.2,2327,537,24,1.12%,3.7087378640777,0,383,22,152,3
git@github.com:cmgmyr/laravel-messenger.git,2.13.3,2327,537,24,1.12%,3.7087378640777,0,383,22,152,3
git@github.com:cmgmyr/laravel-messenger.git,2.14.1,2478,585,25,1.05%,3.7522935779817,0,383,22,163,8
git@github.com:cmgmyr/laravel-messenger.git,2.16.1,2513,608,28,1.03%,3.8738738738739,0,383,22,177,8
git@github.com:cmgmyr/laravel-messenger.git,2.16.2,2513,609,28,1.03%,3.8738738738739,0,383,22,177,8
