repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cnvs/canvas.git,v1.0.1,5474,1477,56,0.00%,2.212389380531,0,290,36,71,29
git@github.com:cnvs/canvas.git,v1.0.2,5476,1477,56,0.00%,2.212389380531,0,290,36,71,29
git@github.com:cnvs/canvas.git,v1.0.3,5427,1482,56,0.00%,2.2678571428571,0,290,36,68,29
git@github.com:cnvs/canvas.git,v2.0.0,7230,1796,55,0.00%,2.5416666666667,0,290,36,81,68
git@github.com:cnvs/canvas.git,v2.0.1,7533,1855,53,0.00%,2.525,0,290,36,76,72
git@github.com:cnvs/canvas.git,v2.0.2,7778,1897,52,0.00%,2.7307692307692,0,290,36,77,74
git@github.com:cnvs/canvas.git,v2.0.3,8101,1950,54,0.00%,2.8133333333333,0,290,36,82,74
git@github.com:cnvs/canvas.git,v2.0.4,8103,1950,54,0.00%,2.8133333333333,0,290,36,82,74
git@github.com:cnvs/canvas.git,v2.0.5,8338,1966,54,0.00%,2.776397515528,0,290,36,131,74
git@github.com:cnvs/canvas.git,v2.1.0,8509,1955,56,0.00%,2.8098159509202,0,290,36,132,74
git@github.com:cnvs/canvas.git,v2.1.1,8482,1955,56,0.00%,2.8098159509202,0,290,36,132,75
git@github.com:cnvs/canvas.git,v2.1.2,10270,2584,79,0.00%,3.0218579234973,0,290,36,244,83
git@github.com:cnvs/canvas.git,v2.1.3,10118,2630,86,0.00%,2.9789473684211,0,290,36,244,81
git@github.com:cnvs/canvas.git,v2.1.4,10806,2835,86,0.00%,2.9656862745098,0,290,36,261,84
git@github.com:cnvs/canvas.git,v2.1.5,11583,2997,89,0.00%,3.0484581497797,0,290,36,268,96
git@github.com:cnvs/canvas.git,v2.1.6,11823,3014,97,0.00%,3.0521739130435,0,290,36,270,100
git@github.com:cnvs/canvas.git,v2.1.7,11553,2975,91,0.00%,2.981981981982,0,290,36,239,92
git@github.com:cnvs/canvas.git,v2.1.8,11407,2849,95,0.00%,3.079295154185,0,290,36,238,94
git@github.com:cnvs/canvas.git,v2.1.9,11348,2858,96,0.00%,3.0837004405286,0,290,36,240,94
git@github.com:cnvs/canvas.git,v2.1.10,11198,2778,91,0.00%,2.9864864864865,0,290,36,259,92
git@github.com:cnvs/canvas.git,v2.1.11,11198,2778,91,0.00%,2.9864864864865,0,290,36,259,92
git@github.com:cnvs/canvas.git,v2.1.12,11239,2786,92,0.00%,2.963963963964,0,290,36,260,93
git@github.com:cnvs/canvas.git,v2.1.13,12467,2970,95,0.00%,2.765625,0,290,36,306,107
git@github.com:cnvs/canvas.git,v2.1.14,12582,2973,87,0.00%,2.7205882352941,0,290,36,322,107
git@github.com:cnvs/canvas.git,v2.1.15,12308,2789,87,0.00%,2.8443579766537,0,290,36,324,107
git@github.com:cnvs/canvas.git,v2.1.16,12233,2789,87,0.00%,2.8443579766537,0,290,36,324,107
git@github.com:cnvs/canvas.git,v2.1.17,4535,1810,15,0.00%,2.5798319327731,0,290,36,200,1
git@github.com:cnvs/canvas.git,v2.2.0,4535,1810,15,0.00%,2.5798319327731,0,290,36,200,1
git@github.com:cnvs/canvas.git,v3.0.0,3913,1613,15,0.61%,2.3440860215054,0,290,36,86,1
git@github.com:cnvs/canvas.git,v3.0.1,3913,1613,15,0.61%,2.3440860215054,0,290,36,86,1
git@github.com:cnvs/canvas.git,v3.0.2,3913,1613,15,0.61%,2.3440860215054,0,290,36,86,1
git@github.com:cnvs/canvas.git,v3.0.3,3926,1623,15,0.61%,2.3440860215054,0,290,36,86,0
git@github.com:cnvs/canvas.git,v3.0.4,3924,1622,15,0.61%,2.3440860215054,0,290,36,86,0
git@github.com:cnvs/canvas.git,v3.1.0,4053,1618,15,0.62%,2.8585858585859,0,290,36,91,0
git@github.com:cnvs/canvas.git,v3.2.0,4053,1618,15,0.62%,2.8585858585859,0,290,36,91,0
git@github.com:cnvs/canvas.git,v3.2.1,4053,1618,15,0.62%,2.8585858585859,0,290,36,91,0
git@github.com:cnvs/canvas.git,v3.2.2,4053,1618,15,0.62%,2.8585858585859,0,290,36,91,0
git@github.com:cnvs/canvas.git,v3.2.3,4053,1618,15,0.62%,2.8585858585859,0,290,36,91,0
git@github.com:cnvs/canvas.git,v3.2.4,4053,1618,15,0.62%,2.8585858585859,0,290,36,91,0
git@github.com:cnvs/canvas.git,v3.3.0,4061,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.3.1,4061,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.4.0,4063,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.4.1,4063,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.4.2,4063,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.4.3,4063,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.4.4,4063,1583,15,0.62%,2.989898989899,0,290,36,99,0
git@github.com:cnvs/canvas.git,v3.4.5,4651,1801,15,0.00%,2.2410714285714,0,290,36,183,0
