repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cocur/slugify.git,v0.1.1,173,82,0,0.00%,3,0,178,76,0,0
git@github.com:cocur/slugify.git,v0.2.1,384,158,7,0.00%,3.375,0,178,76,2,0
git@github.com:cocur/slugify.git,v0.2.2,385,160,7,0.00%,3.375,0,178,76,2,0
git@github.com:cocur/slugify.git,v0.2.3,378,162,7,0.00%,2.4444444444444,0,178,76,2,0
git@github.com:cocur/slugify.git,v0.4.1,486,96,0,0.00%,1.75,0,178,76,1,0
git@github.com:cocur/slugify.git,v0.10.1,1379,457,2,0.00%,1.9230769230769,0,178,76,31,0
git@github.com:cocur/slugify.git,v0.10.2,1438,483,2,0.00%,2.0232558139535,0,178,76,33,0
git@github.com:cocur/slugify.git,v0.10.3,1531,484,2,0.00%,2.0232558139535,0,178,76,33,0
git@github.com:cocur/slugify.git,v1.4.1,2542,747,10,0.00%,2.6891891891892,0,178,76,136,0
git@github.com:cocur/slugify.git,v2.1.1,2862,831,15,0.00%,2.7397260273973,0,178,76,151,0
git@github.com:cocur/slugify.git,v3.0.1,3754,877,22,4.45%,3.0602409638554,0,178,76,161,0
