repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:composer/composer.git,1.0.0,64011,12096,4581,1.13%,3.6316377864729,0,5365,858,5511,3
git@github.com:composer/composer.git,1.0.1,64085,12144,4588,1.13%,3.6312849162011,0,5365,858,5512,3
git@github.com:composer/composer.git,1.0.2,64167,12148,4596,1.13%,3.6301981579682,0,5365,858,5521,3
git@github.com:composer/composer.git,1.0.3,64229,12149,4601,1.13%,3.6279264214047,0,5365,858,5522,3
git@github.com:composer/composer.git,1.1.0,65724,12314,4759,1.24%,3.6544502617801,0,5365,858,5737,3
git@github.com:composer/composer.git,1.1.1,65757,12315,4764,1.24%,3.6561036098099,0,5365,858,5739,3
git@github.com:composer/composer.git,1.1.2,65789,12329,4767,1.24%,3.6563791678148,0,5365,858,5741,3
git@github.com:composer/composer.git,1.1.3,65802,12330,4769,1.24%,3.6580325158446,0,5365,858,5742,3
git@github.com:composer/composer.git,1.2.0,67666,12597,4914,1.22%,3.6804990507187,0,5365,858,5989,3
git@github.com:composer/composer.git,1.2.1,67776,12618,4920,1.21%,3.6839967506093,0,5365,858,5988,3
git@github.com:composer/composer.git,1.2.2,68195,12658,4936,1.21%,3.695464362851,0,5365,858,6050,3
git@github.com:composer/composer.git,1.2.3,68352,12681,4950,1.20%,3.6955818965517,0,5365,858,6068,3
git@github.com:composer/composer.git,1.2.4,68365,12681,4969,1.20%,3.6963900862069,0,5365,858,6070,3
git@github.com:composer/composer.git,1.3.0,69739,13026,5052,1.16%,3.7019867549669,0,5365,858,6137,5
git@github.com:composer/composer.git,1.3.1,69738,13012,5057,1.16%,3.7064122946476,0,5365,858,6136,5
git@github.com:composer/composer.git,1.3.2,69753,13013,5059,1.16%,3.7054304635762,0,5365,858,6137,5
git@github.com:composer/composer.git,1.3.3,69870,13027,5082,1.15%,3.7115995762712,0,5365,858,6141,5
git@github.com:composer/composer.git,1.4.0,70576,13115,5127,1.14%,3.7245113576334,0,5365,858,6191,5
git@github.com:composer/composer.git,1.4.1,70576,13115,5127,1.14%,3.7245113576334,0,5365,858,6191,5
git@github.com:composer/composer.git,1.4.2,70863,13188,5143,1.14%,3.7244011581995,0,5365,858,6200,5
git@github.com:composer/composer.git,1.4.3,70864,13188,5145,1.10%,3.7235387045814,0,5365,858,6200,5
git@github.com:composer/composer.git,1.5.0,71802,13286,5194,1.08%,3.7452262620978,0,5365,858,6345,5
git@github.com:composer/composer.git,1.5.1,71805,13286,5194,1.08%,3.7452262620978,0,5365,858,6345,5
git@github.com:composer/composer.git,1.5.2,71943,13298,5211,1.11%,3.750914793518,0,5365,858,6356,5
git@github.com:composer/composer.git,1.5.3,72107,13316,5227,1.11%,3.7504567997912,0,5365,858,6369,5
git@github.com:composer/composer.git,1.5.4,72113,13317,5229,1.11%,3.7507178282433,0,5365,858,6370,5
git@github.com:composer/composer.git,1.5.5,72114,13318,5230,1.11%,3.7507178282433,0,5365,858,6370,5
git@github.com:composer/composer.git,1.5.6,72218,13331,5234,1.11%,3.7541753653445,0,5365,858,6385,5
git@github.com:composer/composer.git,1.6.0,72772,13402,5302,1.14%,3.7635275754422,0,5365,858,6419,5
git@github.com:composer/composer.git,1.6.1,72770,13403,5303,1.14%,3.7700910273082,0,5365,858,6420,5
git@github.com:composer/composer.git,1.6.2,72861,13428,5306,1.14%,3.7707304393034,0,5365,858,6424,5
git@github.com:composer/composer.git,1.6.3,72988,13447,5328,1.10%,3.7789036113276,0,5365,858,6438,5
git@github.com:composer/composer.git,1.6.4,73090,13468,5345,1.18%,3.7793926810278,0,5365,858,6457,5
git@github.com:composer/composer.git,1.6.5,73100,13465,5347,1.18%,3.7804308331171,0,5365,858,6459,5
git@github.com:composer/composer.git,1.7.0,73715,13484,5396,1.18%,3.7978198806125,0,5365,858,6575,5
git@github.com:composer/composer.git,1.7.1,73717,13486,5398,1.18%,3.7980794186348,0,5365,858,6576,5
git@github.com:composer/composer.git,1.7.2,73770,13494,5403,1.18%,3.8002075765439,0,5365,858,6583,5
git@github.com:composer/composer.git,1.7.3,73843,13512,5424,1.18%,3.8074727555786,0,5365,858,6598,5
git@github.com:composer/composer.git,1.8.0,74088,13536,5457,1.18%,3.8154962425499,0,5365,858,6643,5
