repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:consolidation/Robo.git,0.1.0,640,40,55,0.00%,3.4390243902439,0,257,137,14,0
git@github.com:consolidation/Robo.git,0.1.1,822,50,60,0.00%,3.0526315789474,0,257,137,17,0
git@github.com:consolidation/Robo.git,0.2.0,1175,60,77,0.00%,2.8617021276596,0,257,137,35,0
git@github.com:consolidation/Robo.git,0.3.0,1391,106,91,0.00%,2.8317757009346,0,257,137,43,0
git@github.com:consolidation/Robo.git,0.3.2,2029,427,129,0.00%,3,0,257,137,92,0
git@github.com:consolidation/Robo.git,0.3.3,2040,427,128,0.00%,3,0,257,137,88,0
git@github.com:consolidation/Robo.git,0.3.4,2086,447,133,0.00%,2.9921875,0,257,137,88,0
git@github.com:consolidation/Robo.git,0.3.5,2088,447,133,0.00%,3.015625,0,257,137,88,0
git@github.com:consolidation/Robo.git,0.3.6,2088,447,133,0.00%,3.015625,0,257,137,88,0
git@github.com:consolidation/Robo.git,0.3.7,2125,447,133,0.00%,2.969696969697,0,257,137,88,0
git@github.com:consolidation/Robo.git,0.4.0,2849,592,175,0.00%,2.8397790055249,0,257,137,135,0
git@github.com:consolidation/Robo.git,0.4.1,4538,1332,183,0.00%,2.3979238754325,0,257,137,250,0
git@github.com:consolidation/Robo.git,0.4.2,4817,1384,199,0.00%,2.4752475247525,0,257,137,279,0
git@github.com:consolidation/Robo.git,0.4.3,5206,1433,206,0.00%,2.4970414201183,0,257,137,318,0
git@github.com:consolidation/Robo.git,0.4.4,6083,1604,241,0.00%,2.5456790123457,0,257,137,352,0
git@github.com:consolidation/Robo.git,0.4.5,6125,1626,243,0.00%,2.5541871921182,0,257,137,350,0
git@github.com:consolidation/Robo.git,0.4.6,6353,1691,253,0.00%,2.5428571428571,0,257,137,366,0
git@github.com:consolidation/Robo.git,0.4.7,7668,2032,317,0.00%,2.5807692307692,0,257,137,400,0
git@github.com:consolidation/Robo.git,0.5.0,9184,2584,339,2.58%,2.4190476190476,0,257,137,400,0
git@github.com:consolidation/Robo.git,0.5.1,9198,2576,342,2.58%,2.4215530903328,0,257,137,401,0
git@github.com:consolidation/Robo.git,0.5.2,9521,2721,347,2.49%,2.4263565891473,0,257,137,425,0
git@github.com:consolidation/Robo.git,0.5.3,10241,3026,368,3.19%,2.4470588235294,0,257,137,475,0
git@github.com:consolidation/Robo.git,0.5.4,10555,3157,394,3.10%,2.478323699422,0,257,137,489,0
git@github.com:consolidation/Robo.git,0.6.0,11581,3472,463,3.29%,2.6208791208791,0,257,137,576,0
git@github.com:consolidation/Robo.git,0.7.0,12915,3547,599,0.42%,2.9842519685039,0,257,137,774,0
git@github.com:consolidation/Robo.git,0.7.1,12916,3547,599,0.42%,2.9855643044619,0,257,137,774,0
git@github.com:consolidation/Robo.git,0.7.2,12946,3553,600,0.42%,2.9908376963351,0,257,137,780,0
git@github.com:consolidation/Robo.git,1.0.0,18749,4948,784,0.50%,2.9303350970018,0,257,137,1167,0
git@github.com:consolidation/Robo.git,1.0.3,22206,8131,791,0.45%,2.9349736379613,0,257,137,1181,0
git@github.com:consolidation/Robo.git,1.0.4,22207,8131,792,0.45%,2.9340949033392,0,257,137,1183,0
git@github.com:consolidation/Robo.git,1.0.5,22348,8176,797,0.45%,2.9458515283843,0,257,137,1192,0
git@github.com:consolidation/Robo.git,1.0.6,23722,8594,863,0.32%,2.9812703583062,0,257,137,1220,0
git@github.com:consolidation/Robo.git,1.0.7,24401,8726,878,0.31%,2.9912767644726,0,257,137,1252,0
git@github.com:consolidation/Robo.git,1.0.8,25142,8922,918,0.30%,2.9610983981693,0,257,137,1292,0
git@github.com:consolidation/Robo.git,1.1.0,24710,8733,899,0.31%,2.9782608695652,0,257,137,1287,0
git@github.com:consolidation/Robo.git,1.1.1,24769,8750,903,0.31%,2.9837335398916,0,257,137,1293,0
git@github.com:consolidation/Robo.git,1.1.2,24845,8782,904,0.31%,2.9876352395672,0,257,137,1295,0
git@github.com:consolidation/Robo.git,1.1.3,25055,8824,915,0.30%,3.0053722179586,0,257,137,1306,0
git@github.com:consolidation/Robo.git,1.1.4,25155,8873,919,0.30%,3.0061022120519,0,257,137,1311,0
git@github.com:consolidation/Robo.git,1.1.5,25252,8896,923,0.30%,3.0053070507961,0,257,137,1314,0
git@github.com:consolidation/Robo.git,1.2.0,25277,8911,930,0.30%,3.0075815011372,0,257,137,3570,0
git@github.com:consolidation/Robo.git,1.2.1,25349,8931,934,0.30%,3.0075585789872,0,257,137,3576,0
git@github.com:consolidation/Robo.git,1.2.2,25865,9091,941,0.29%,2.9962852897474,0,257,137,3711,0
git@github.com:consolidation/Robo.git,1.2.3,25904,9097,943,0.29%,2.9992581602374,0,257,137,3718,0
git@github.com:consolidation/Robo.git,1.2.4,25957,9106,946,0.29%,3.0022222222222,0,257,137,3721,0
git@github.com:consolidation/Robo.git,1.3.0,26049,9143,949,0.29%,3.0014749262537,0,257,137,3727,0
git@github.com:consolidation/Robo.git,1.3.1,25987,9148,944,0.29%,2.9829881656805,0,257,137,3715,0
git@github.com:consolidation/Robo.git,1.3.2,26053,9161,947,0.29%,2.9977859778598,0,257,137,1384,0
git@github.com:consolidation/Robo.git,1.3.3,26111,9167,947,0.29%,2.9970501474926,0,257,137,1391,0
git@github.com:consolidation/Robo.git,1.3.4,26237,9202,953,0.29%,3.0014716703458,0,257,137,1427,0
git@github.com:consolidation/Robo.git,1.4.0,26474,9258,964,0.29%,2.9927325581395,0,257,137,1438,0
git@github.com:consolidation/Robo.git,1.4.1,26474,9258,964,0.29%,2.9927325581395,0,257,137,1438,0
git@github.com:consolidation/Robo.git,1.4.2,26237,9202,953,0.29%,3.0014716703458,0,257,137,1427,0
git@github.com:consolidation/Robo.git,1.4.3,26237,9202,953,0.29%,3.0014716703458,0,257,137,1427,0
