repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:corcel/corcel.git,v1.0.0,2172,683,83,2.58%,2.6328125,0,310,54,94,0
git@github.com:corcel/corcel.git,v1.0.1,2625,845,87,0.00%,2.6233766233766,0,310,54,99,0
git@github.com:corcel/corcel.git,v1.0.2,2740,851,89,0.00%,2.7232704402516,0,310,54,110,0
git@github.com:corcel/corcel.git,v1.0.3,2741,861,89,0.00%,2.6942675159236,0,310,54,108,0
git@github.com:corcel/corcel.git,v1.0.4,2850,871,94,0.00%,2.7621951219512,0,310,54,110,0
git@github.com:corcel/corcel.git,v1.0.5,2852,871,94,0.00%,2.7743902439024,0,310,54,110,0
git@github.com:corcel/corcel.git,v1.0.6,2893,874,96,0.00%,2.7455621301775,0,310,54,113,0
git@github.com:corcel/corcel.git,v1.0.7,2981,923,96,0.00%,2.7455621301775,0,310,54,114,0
git@github.com:corcel/corcel.git,v1.0.8,2979,923,96,0.00%,2.7455621301775,0,310,54,114,0
git@github.com:corcel/corcel.git,v1.0.9,2994,923,99,0.00%,2.7529411764706,0,310,54,115,0
git@github.com:corcel/corcel.git,v1.0.10,3000,923,99,0.00%,2.7485380116959,0,310,54,115,0
git@github.com:corcel/corcel.git,v1.0.11,3041,928,102,0.00%,2.7976878612717,0,310,54,127,0
git@github.com:corcel/corcel.git,v1.1.0,3120,945,106,0.00%,2.7865168539326,0,310,54,131,0
git@github.com:corcel/corcel.git,v1.1.1,3152,950,108,0.00%,2.7845303867403,0,310,54,140,0
git@github.com:corcel/corcel.git,v1.1.2,3175,950,111,0.00%,2.7967032967033,0,310,54,141,0
git@github.com:corcel/corcel.git,v1.1.3,3199,955,113,0.00%,2.804347826087,0,310,54,144,0
git@github.com:corcel/corcel.git,v1.1.4,3207,959,113,0.00%,2.7891891891892,0,310,54,144,0
git@github.com:corcel/corcel.git,v1.1.5,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.1.6,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.1.7,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.2.0,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.2.1,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.2.2,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.2.3,3242,966,113,0.00%,2.7956989247312,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.2.4,3262,981,113,0.00%,2.7860962566845,0,310,54,145,0
git@github.com:corcel/corcel.git,v1.2.5,3290,981,117,0.00%,2.7989417989418,0,310,54,155,0
git@github.com:corcel/corcel.git,v1.3.0,3300,984,117,0.00%,2.7894736842105,0,310,54,155,0
git@github.com:corcel/corcel.git,v1.3.1,3300,984,117,0.00%,2.7894736842105,0,310,54,155,0
git@github.com:corcel/corcel.git,v1.3.2,3300,984,117,0.00%,2.7894736842105,0,310,54,155,0
git@github.com:corcel/corcel.git,v1.3.3,3300,984,117,0.00%,2.7894736842105,0,310,54,155,0
git@github.com:corcel/corcel.git,v1.4.0,3414,1048,124,0.00%,2.774358974359,0,310,54,158,0
git@github.com:corcel/corcel.git,v1.4.1,3418,1048,125,0.00%,2.774358974359,0,310,54,158,0
git@github.com:corcel/corcel.git,v1.4.2,3414,1048,124,0.00%,2.7692307692308,0,310,54,158,0
git@github.com:corcel/corcel.git,v1.4.3,3425,1055,125,0.00%,2.7602040816327,0,310,54,158,0
git@github.com:corcel/corcel.git,v1.4.4,3445,1055,125,0.00%,2.7602040816327,0,310,54,158,0
git@github.com:corcel/corcel.git,v1.4.5,3531,1083,126,0.00%,2.7339901477833,0,310,54,163,0
git@github.com:corcel/corcel.git,v1.4.6,3523,1080,126,0.00%,2.7425742574257,0,310,54,163,0
git@github.com:corcel/corcel.git,v1.4.7,3534,1080,128,0.00%,2.7673267326733,0,310,54,163,0
git@github.com:corcel/corcel.git,v2.1.0,6005,1711,96,1.13%,3.0694444444444,0,310,54,256,0
git@github.com:corcel/corcel.git,v2.1.1,6058,1729,97,1.12%,3.0824742268041,0,310,54,256,0
git@github.com:corcel/corcel.git,v2.2.0,5974,1702,95,1.14%,3.067615658363,0,310,54,256,0
git@github.com:corcel/corcel.git,v2.2.1,6027,1720,96,1.13%,3.080985915493,0,310,54,256,0
git@github.com:corcel/corcel.git,v2.3.0,5973,1702,95,1.14%,3.0535714285714,0,310,54,255,0
git@github.com:corcel/corcel.git,v2.3.1,6026,1720,96,1.13%,3.0671378091873,0,310,54,255,0
git@github.com:corcel/corcel.git,v2.4.0,5968,1702,95,1.14%,3.0535714285714,0,310,54,255,0
git@github.com:corcel/corcel.git,v2.4.1,6021,1720,96,1.13%,3.0671378091873,0,310,54,255,0
git@github.com:corcel/corcel.git,v2.5.0,6091,1752,96,1.12%,2.9862068965517,0,310,54,253,0
git@github.com:corcel/corcel.git,v2.5.1,6220,1777,99,1.09%,3.0135135135135,0,310,54,258,0
git@github.com:corcel/corcel.git,v2.5.2,6245,1784,100,1.09%,3.010067114094,0,310,54,258,0
git@github.com:corcel/corcel.git,v2.5.3,6271,1792,98,1.08%,3.030303030303,0,310,54,263,0
git@github.com:corcel/corcel.git,v2.5.4,6295,1799,99,1.08%,3.0167224080268,0,310,54,264,0
