repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cviebrock/eloquent-sluggable.git,1.0.0,330,126,14,0.00%,5.1666666666667,0,331,53,8,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.2,399,162,25,0.00%,1.2,0,331,53,10,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.3,399,162,25,0.00%,1.2,0,331,53,10,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.4,862,297,28,0.00%,3,0,331,53,18,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.5,861,294,29,0.00%,3.1071428571429,0,331,53,19,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.6,926,306,29,0.00%,2.9677419354839,0,331,53,22,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.7,930,307,29,0.00%,2.9677419354839,0,331,53,22,0
git@github.com:cviebrock/eloquent-sluggable.git,1.0.8,944,312,30,0.00%,3.03125,0,331,53,22,0
git@github.com:cviebrock/eloquent-sluggable.git,2.0.0,1168,331,31,0.00%,4.2222222222222,0,331,53,23,0
git@github.com:cviebrock/eloquent-sluggable.git,2.0.1,1212,341,33,0.00%,4.3617021276596,0,331,53,23,0
git@github.com:cviebrock/eloquent-sluggable.git,2.0.2,1223,341,33,0.00%,4.4166666666667,0,331,53,24,0
git@github.com:cviebrock/eloquent-sluggable.git,2.0.3,1227,341,33,0.00%,4.4375,0,331,53,24,0
git@github.com:cviebrock/eloquent-sluggable.git,2.0.4,1262,348,37,0.00%,4.38,0,331,53,25,0
git@github.com:cviebrock/eloquent-sluggable.git,2.0.5,1264,348,37,0.00%,4.2941176470588,0,331,53,24,0
git@github.com:cviebrock/eloquent-sluggable.git,3.0.0,1574,619,45,0.00%,4.4615384615385,0,331,53,29,0
git@github.com:cviebrock/eloquent-sluggable.git,3.1.0,2046,762,49,0.00%,4.3589743589744,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,3.1.1,2044,761,49,0.00%,4.3461538461538,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,3.1.2,2016,761,49,0.00%,4.3461538461538,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,3.1.3,2016,761,49,0.00%,4.3461538461538,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,3.1.4,2006,757,49,0.00%,4.3333333333333,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.0.0,2090,792,40,0.00%,3.1707317073171,0,331,53,34,0
git@github.com:cviebrock/eloquent-sluggable.git,4.0.1,2093,792,40,0.00%,3.1851851851852,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.0.2,2438,926,42,0.00%,3.1473684210526,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.0.3,2456,932,43,0.00%,3.1666666666667,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.0.4,2549,996,44,0.00%,3.1632653061224,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.1.0,2547,998,44,0.00%,3.1616161616162,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.1.1,2523,937,45,0.00%,3.2475247524752,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.1.2,2536,940,45,0.00%,3.2450980392157,0,331,53,38,0
git@github.com:cviebrock/eloquent-sluggable.git,4.2.1,2579,957,46,0.00%,3.2352941176471,0,331,53,39,0
git@github.com:cviebrock/eloquent-sluggable.git,4.2.2,2641,972,48,0.00%,3.1775700934579,0,331,53,39,0
git@github.com:cviebrock/eloquent-sluggable.git,4.2.3,2654,972,50,0.00%,3.214953271028,0,331,53,42,0
git@github.com:cviebrock/eloquent-sluggable.git,4.2.4,2654,972,50,0.00%,3.214953271028,0,331,53,42,0
git@github.com:cviebrock/eloquent-sluggable.git,4.2.5,2654,972,50,0.00%,3.214953271028,0,331,53,42,0
git@github.com:cviebrock/eloquent-sluggable.git,4.3.0,2646,962,51,0.00%,3.212962962963,0,331,53,43,0
git@github.com:cviebrock/eloquent-sluggable.git,4.4.0,2751,1006,56,0.00%,3.212389380531,0,331,53,46,0
git@github.com:cviebrock/eloquent-sluggable.git,4.4.1,2765,1010,57,0.00%,3.219298245614,0,331,53,47,0
git@github.com:cviebrock/eloquent-sluggable.git,4.5.0,2803,1025,57,0.00%,3.198275862069,0,331,53,47,0
git@github.com:cviebrock/eloquent-sluggable.git,4.5.1,2803,1025,57,0.00%,3.198275862069,0,331,53,47,0
git@github.com:cviebrock/eloquent-sluggable.git,4.6.0,2860,1038,57,0.00%,3.175,0,331,53,47,0
