repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:cydrobolt/polr.git,0.1.1,292,44,26,0.00%,0,0,397,38,17,0
git@github.com:cydrobolt/polr.git,1.1.0,3612,611,390,0.00%,9.0487804878049,0,397,38,310,1
git@github.com:cydrobolt/polr.git,1.2.1,3598,611,391,0.00%,9.0487804878049,0,397,38,310,0
git@github.com:cydrobolt/polr.git,1.3.1,13331,3910,1049,0.00%,8.0079051383399,0,397,38,759,0
git@github.com:cydrobolt/polr.git,1.3.3,13211,3880,1045,0.00%,8.0239043824701,0,397,38,749,2
git@github.com:cydrobolt/polr.git,1.4.1,13339,3889,1067,0.00%,8.0239043824701,0,397,38,754,2
git@github.com:cydrobolt/polr.git,1.5.1,13363,3874,1071,0.00%,8.0239043824701,0,397,38,762,2
git@github.com:cydrobolt/polr.git,2.0.0,438020,120845,15775,1.03%,3.3717401079137,0,397,38,20840,24
git@github.com:cydrobolt/polr.git,2.1.0,3593,442,131,0.00%,5.2261904761905,0,397,38,129,24
git@github.com:cydrobolt/polr.git,2.1.1,3597,442,132,0.00%,5.2380952380952,0,397,38,131,24
git@github.com:cydrobolt/polr.git,2.2.0,4524,613,179,0.00%,5.2142857142857,0,397,38,182,26
